NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ONECUT3	1	390874	
ONECUT1	1	3175	
HTR2B	1	3357	
EDRF1-DT	1	399821	
PPWD1	1	23398	
HTR2C	1	3358	
NENF	1	29937	
HTR2A	1	3356	
TNFSF13B	1	10673	
BOC	1	91653	
SPDL1	1	54908	
NEO1	1	4756	
BCAS2	1	10286	
BCAS1	1	8537	
BOK	1	666	
MBL2	1	4153	
BCAS4	1	55653	
SLC36A1	1	206358	
BCAS3	1	54828	
SLC36A3	1	285641	
SLC36A2	1	153201	
PIANP	1	196500	
HTR3E	1	285242	
VPS13C	1	54832	
DHPS	1	1725	
VPS13D	1	55187	
VPS13A	1	23230	
HTR3C	1	170572	
HTR3D	1	200909	
VPS13B	1	157680	
HTR3A	1	3359	
HTR3B	1	9177	
RABGGTB	1	5876	
RABGGTA	1	5875	
NEMF	1	9147	
C1D	1	10438	
BPI	1	671	
BCAT1	1	586	
BCAT2	1	587	
C1S	1	716	
C1R	1	715	
LRTM2	1	654429	
LRTM1	1	57408	
LENG9	1	94059	
LENG8	1	114823	
U2AF1	1	7307	
IL2RG	1	3561	
DRAM1	1	55332	
AWAT1	1	158833	
U2AF2	1	11338	
AWAT2	1	158835	
DRAM2	1	128338	
KCNJ1	1	3758	
TSPOAP1	1	9256	
SLC36A4	1	120103	
KCNJ2	1	3759	
KCNJ3	1	3760	
KCNJ4	1	3761	
KCNJ5	1	3762	
KCNJ6	1	3763	
COL26A1	1	136227	
KCNJ8	1	3764	
GPKOW	1	27238	
KCNJ9	1	3765	
HTR5A	1	3361	
GSTZ1	1	2954	
IL2RA	1	3559	
IL2RB	1	3560	
KCNK1	1	3775	
KCNK2	1	3776	
KCNK3	1	3777	
BCAR1	1	9564	
CDRT15	1	146822	
KCNK4	1	50801	
SLC23A3	1	151295	
SLC23A2	1	9962	
CERK	1	64781	
SLC23A1	1	9963	
LGALSL	1	29094	
CCP110	1	9738	
PEX26	1	55670	
LGALS4	1	3960	
C4B	1	721	
LGALS3	1	3958	
C4A	1	720	
LGALS2	1	3957	
LGALS1	1	3956	
HMGN2P46	1	283651	
IL36A	1	27179	
IL36B	1	27177	
BSG	1	682	
LGALS9	1	3965	
ATXN7L1	1	222255	
LGALS8	1	3964	
ATXN7L2	1	127002	
BSN	1	8927	
LGALS7	1	3963	
ATXN7L3	1	56970	
CER1	1	9350	
LIMCH1	1	22998	
BSX	1	390259	
GOLPH3L	1	55204	
BTC	1	685	
ZNF542P	1	147947	
CFDP1	1	10428	
BTD	1	686	
CRISPLD1	1	83690	
SOAT1	1	6646	
CRISPLD2	1	83716	
SOAT2	1	8435	
KCNQ1	1	3784	
SUB1	1	10923	
NINJ2	1	4815	
KCNQ2	1	3785	
NINJ1	1	4814	
KCNQ3	1	3786	
BTK	1	695	
KCNQ4	1	9132	
KCNQ5	1	56479	
CES3	1	23491	
CES2	1	8824	
CES1	1	1066	
CETP	1	1071	
GRB7	1	2886	
DHX8	1	1659	
DHX9	1	1660	
RRAD	1	6236	
ZBTB1	1	22890	
ZBTB5	1	9925	
ZBTB4	1	57659	
CFAP126	1	257177	
ZBTB3	1	79842	
ZBTB2	1	57621	
PKHD1	1	5314	
NKAIN2	1	154215	
NEU2	1	4759	
NEU3	1	10825	
NKAIN1	1	79570	
NEU4	1	129807	
NKAIN4	1	128414	
MC2R	1	4158	
MRNIP	1	51149	
NKAIN3	1	286183	
RACGAP1	1	29127	
RRAS	1	6237	
SEPTIN7P9	1	285961	
NEU1	1	4758	
H3C1	1	8350	
KCNN1	1	3780	
KCNN2	1	3781	
H3C3	1	8352	
KCNN3	1	3782	
H3C2	1	8358	
KCNN4	1	3783	
OR7E47P	1	26628	
H3C4	1	8351	
H3C7	1	8968	
H3C6	1	8353	
SLC10A4	1	201780	
NTNG1	1	22854	
BBS2	1	583	
NTNG2	1	84628	
BBS1	1	582	
SLC10A6	1	345274	
XBP1	1	7494	
SLC10A7	1	84068	
YES1	1	7525	
SLC10A1	1	6554	
TRDV3	1	28516	
SLC10A2	1	6555	
SPDYC	1	387778	
SLC10A3	1	8273	
IL36G	1	56300	
SUCO	1	51430	
CPLANE1	1	65250	
CPLANE2	1	79363	
NET1	1	10276	
ZBTB9	1	221504	
PEX5L	1	51555	
ZBTB6	1	10773	
AC011294.1	1	730338	
MC1R	1	4157	
FAM30A	1	9834	
OR4D11	1	219986	
SPDYA	1	245711	
OR4D10	1	390197	
GRB2	1	2885	
GRAP	1	10750	
OR3A4P	1	390756	
C8B	1	732	
TFB1M	1	51106	
C8A	1	731	
MC4R	1	4160	
KCNT1	1	57582	
C8G	1	733	
KCNT2	1	343450	
SUFU	1	51684	
RNF213-AS1	1	100294362	
BBS9	1	27241	
FCER1A	1	2205	
BBS7	1	55212	
BBS5	1	129880	
BBS4	1	585	
EIF5AL1	1	143244	
H3C8	1	8355	
ZHX2	1	22882	
PCYT1B	1	9468	
ZHX3	1	23051	
PCYT1A	1	5130	
FCER1G	1	2207	
AGTRAP	1	57085	
CACYBP	1	27101	
TFB2M	1	64216	
ZHX1	1	11244	
RNF144A	1	9781	
RNF144B	1	255488	
KCNU1	1	157855	
PITPNM1	1	9600	
PITPNM3	1	83394	
PITPNM2	1	57605	
TAX1BP1	1	8887	
FAM193B	1	54540	
TAX1BP3	1	30851	
FAM32A	1	26017	
FAM193A	1	8603	
SSNA1	1	8636	
NEXN	1	91624	
PEX16	1	9409	
PEX19	1	5824	
KLHL1	1	57626	
KLHL2	1	11275	
PEX10	1	5192	
KLHL3	1	26249	
KLHL4	1	56062	
KCNRG	1	283518	
CFAP157	1	286207	
PEX12	1	5193	
PEX13	1	5194	
PEX14	1	5195	
KLHL9	1	55958	
ETAA1	1	54465	
TFAP4	1	7023	
KCNS1	1	3787	
KLHL5	1	51088	
KCNS2	1	3788	
KLHL6	1	89857	
KCNS3	1	3790	
KLHL7	1	55975	
CFAP161	1	161502	
KLHL8	1	57563	
MC5R	1	4161	
AL033523.1	1	100507336	
INPPL1	1	3636	
PLAT	1	5327	
PLB1	1	151056	
TXN2	1	25828	
IGF1R	1	3480	
PPIP5K1	1	9677	
PPIP5K2	1	23262	
PLAU	1	5328	
ENPP2	1	5168	
RXYLT1	1	10329	
ENPP1	1	5167	
ENPP4	1	22875	
ENPP3	1	5169	
ENPP6	1	133121	
ENPP5	1	59084	
ENPP7	1	339221	
CARD10	1	29775	
SNORA59A	1	677885	
SNORA59B	1	677882	
ADAM11	1	4185	
ADAM10	1	102	
DHDDS	1	79947	
ADAM19	1	8728	
ADAM18	1	8749	
ADAM17	1	6868	
BRMS1	1	25855	
ADAM15	1	8751	
CARD19	1	84270	
ADAM12	1	8038	
CARD17	1	440068	
ADAM1A	1	8759	
CARD18	1	59082	
PLAA	1	9373	
CARD16	1	114769	
CARD14	1	79092	
CARD11	1	84433	
HTRA3	1	94031	
HTRA4	1	203100	
PLD5	1	200150	
HTRA1	1	5654	
PLD4	1	122618	
DAPP1	1	27071	
HTRA2	1	27429	
PLD6	1	201164	
PLD1	1	5337	
PLD3	1	23646	
PLD2	1	5338	
GRK1	1	6011	
KCNV1	1	27012	
GRK3	1	157	
KCNV2	1	169522	
GRK2	1	156	
GRK5	1	2869	
GRK4	1	2868	
GRK7	1	131890	
GRK6	1	2870	
PIBF1	1	10464	
SPATA31A7	1	26165	
SPATA31A3	1	727830	
CHCHD10	1	400916	
FAM199X	1	139231	
IGF2R	1	3482	
BSPRY	1	54836	
SPINK13	1	153218	
SPINK14	1	408187	
ZMYND15	1	84225	
ZMYND19	1	116225	
DIAPH2-AS1	1	10824	
PLEK	1	5341	
GRM1	1	2911	
PITPNC1	1	26207	
GRM3	1	2913	
GRM2	1	2912	
GRM5	1	2915	
CA1	1	759	
GRM4	1	2914	
GRM7	1	2917	
ZIC2	1	7546	
CA3	1	761	
GRM6	1	2916	
ZIC3	1	7547	
CA2	1	760	
GRM8	1	2918	
ZIC1	1	7545	
CA4	1	762	
SPATA31C2	1	645961	
CA7	1	766	
MIR103A1	1	406895	
CA6	1	765	
CA9	1	768	
MYBL2	1	4605	
SPATA31C1	1	441452	
CA8	1	767	
MYBL1	1	4603	
SUN3	1	256979	
SUN2	1	25777	
SUN1	1	23353	
ATP6AP1	1	537	
ATP6AP2	1	10159	
CAD	1	790	
HUNK	1	30811	
SEPTIN7P2	1	641977	
SUN5	1	140732	
Z99496.1	1	23629	
ELF1	1	1997	
CFAP100	1	348807	
ELF2	1	1998	
ELF3	1	1999	
GFOD1	1	54438	
ELF4	1	2000	
ELF5	1	2001	
GFOD2	1	81577	
CAT	1	847	
SPATA31D3	1	389762	
SPATA31D4	1	389761	
SPATA31D1	1	389763	
ZMYND10	1	51364	
ZMYND11	1	10771	
SHANK3	1	85358	
ZMYND12	1	84217	
SHANK2	1	22941	
SHANK1	1	50944	
PLEC	1	5339	
RRN3	1	54700	
DAPL1	1	92196	
CBL	1	867	
FBXL21P	1	26223	
SV2C	1	22987	
SV2B	1	9899	
TBX22	1	50945	
SV2A	1	9900	
CBS	1	875	
TBX21	1	30009	
TBX20	1	57057	
CLVS2	1	134829	
SPATA31E1	1	286234	
CLVS1	1	157807	
RRM1	1	6240	
RRM2	2	6241:348738	
ZIC4	1	84107	
HS3ST5	1	222537	
CCK	1	885	
ZIC5	1	85416	
HS3ST6	1	64711	
SUOX	1	6821	
TBX19	1	9095	
HS3ST4	1	9951	
TBX18	1	9096	
HS3ST1	1	9957	
CFC1	1	55997	
HS3ST2	1	9956	
CD2	1	914	
CCS	1	9973	
CD4	1	920	
CD6	1	923	
CD5	1	921	
TBX10	1	347853	
CD7	1	924	
ZNF259P1	1	442240	
