NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
LARGE1	1	9215	
POGLUT3	1	143888	
KIRREL3-AS3	1	283165	
AP5S1	1	55317	
LARGE2	1	120071	
IFNAR2	1	3455	
SSUH2	1	51066	
THOC1	1	9984	
TRAFD1	1	10906	
KERA	1	11081	
THOC3	1	84321	
THOC2	1	57187	
THOC5	1	8563	
THOC7	1	80145	
THOC6	1	79228	
MORF4L1	1	10933	
MORF4L2	1	9643	
MROH3P	1	647215	
ADTRP	1	84830	
C20orf96	1	140680	
IFNAR1	1	3454	
DRC7	1	84229	
PARM1	1	25849	
FAM149B1	1	317662	
UBR4	1	23352	
UBR3	1	130507	
SLC38A10	1	124565	
UBR2	1	23304	
SLC38A11	1	151258	
UBR1	1	197131	
ORC5	1	5001	
ORC4	1	5000	
ORC6	1	23594	
ORC1	1	4998	
UBR7	1	55148	
ORC3	1	23595	
ORC2	1	4999	
UBR5	1	51366	
MAP3K20	1	51776	
PPDPFL	1	492307	
TTLL13P	1	440307	
DRD1	1	1812	
DRD2	1	1813	
DRD3	1	1814	
DRD4	1	1815	
DRD5	1	1816	
OSBPL9	1	114883	
FANCI	1	55215	
COA4	1	51287	
OSBPL8	1	114882	
UVRAG	1	7405	
COA3	1	28958	
OSBPL7	1	114881	
CHTOP	1	26097	
OSBPL6	1	114880	
COA1	1	55744	
OSBPL5	1	114879	
FANCM	1	57697	
FANCL	1	55120	
OSBPL3	1	26031	
OSBPL2	1	9885	
FANCA	1	2175	
FANCC	1	2176	
FANCB	1	2187	
CRIM1-DT	1	100288911	
FANCE	1	2178	
FANCG	1	2189	
FANCF	1	2188	
OTOL1	1	131149	
MAP3K15	1	389840	
LHX3	1	8022	
PUDP	1	8226	
LHX2	1	9355	
LHX1	1	3975	
MAP3K19	1	80122	
MAP3K10	1	4294	
LHX6	1	26468	
LHX5	1	64211	
LHX4	1	89884	
MAP3K13	1	9175	
DRC1	1	92749	
MAP3K14	1	9020	
DRC3	1	83450	
LHX9	1	56956	
BCL2L2	1	599	
LAT	1	27040	
MAP3K11	1	4296	
PTTG3P	1	26255	
LHX8	1	431707	
BCL2L1	1	598	
MAP3K12	1	7786	
AC010198.1	1	645485	
OR4N3P	1	390539	
LBH	1	81606	
NOB1	1	28987	
PHACTR3	1	116154	
UBTF	1	7343	
KRTAP5-3	1	387266	
KRTAP5-2	1	440021	
PHACTR2	1	9749	
PHACTR1	1	221692	
KRTAP5-1	1	387264	
LBP	1	3929	
COA8	1	84334	
LBR	1	3930	
COA7	1	65260	
CSTL1	1	128817	
COA6	1	388753	
COA5	1	493753	
PHACTR4	1	65979	
KRTAP5-9	1	3846	
PLA2G12A	1	81579	
PLA2G12B	1	84647	
KRTAP5-8	1	57830	
KRTAP5-7	1	440050	
KRTAP5-6	1	440023	
CKAP2L	1	150468	
KRTAP5-5	1	439915	
KRTAP5-4	1	387267	
COBL	1	23242	
PLRG1	1	5356	
SMC1A	1	8243	
C1QL4	1	338761	
C1QL3	1	389941	
C1QL2	1	165257	
TIRAP	1	114609	
C1QL1	1	10882	
SMC1B	1	27127	
DNAJC3	1	5611	
DNAJC2	1	27000	
DNAJC1	1	64215	
ACTBL2	1	345651	
DNAJC7	1	7266	
MEP1B	1	4225	
NOA1	1	84273	
LCK	1	3932	
DNAJC6	1	9829	
MEP1A	1	4224	
RNU5B-1	1	26832	
DNAJC5	1	80331	
DNAJC4	1	3338	
DNAJC9	1	23234	
DNAJC8	1	22826	
NSRP1	1	84081	
LCT	1	3938	
LCORL	1	254251	
HCG18	1	414777	
FAM136BP	1	387071	
EEF1A1P9	1	441032	
NOD1	1	10392	
NOD2	1	64127	
COCH	1	1690	
LEUTX	1	342900	
DNAJB2	1	3300	
DNAJB1	1	3337	
DNAJB6	1	10049	
DNAJB5	1	25822	
DNAJB4	1	11080	
NOCT	1	25819	
DNAJB3	1	414061	
DNAJB9	1	4189	
DNAJB8	1	165721	
HCG11	1	493812	
DNAJB7	1	150353	
DRGX	1	644168	
ITPK1-AS1	1	319085	
MACC1	1	346389	
HCG27	1	253018	
WDR97	1	340390	
RPRD2	1	23248	
OTOGL	1	283310	
BCKDK	1	10295	
FAM25BP	1	100132929	
DNAJA1	1	3301	
DNAJA4	1	55466	
LEP	1	3952	
DNAJA3	1	9093	
DNAJA2	1	10294	
DRG1	1	4733	
DRG2	1	1819	
HCG22	1	285834	
IFITM3	1	10410	
VEZT	1	55591	
RSC1A1	1	6248	
IFITM1	1	8519	
IFITM2	1	10581	
PARS2	1	25973	
IFIT5	1	24138	
MLC1	1	23209	
IFIT1	1	3434	
HS6ST1	1	9394	
HS6ST2	1	90161	
IFIT3	1	3437	
FERD3L	1	222894	
IFIT2	1	3433	
HS6ST3	1	266722	
RPS15	1	6209	
RPS14	1	6208	
RPS17	1	6218	
RPS16	1	6217	
RPS19	1	6223	
RPS18	1	6222	
PART1	1	25859	
HMCN2	1	256158	
HMCN1	1	83872	
AP003071.2	1	338694	
RPS11	1	6205	
RPS10	1	6204	
RPS13	1	6207	
IFITM5	1	387733	
RPS12	1	6206	
SRRM2	1	23524	
ARRDC4	1	91947	
SRRM3	1	222183	
ARRDC5	1	645432	
COG8	1	84342	
SRRM4	1	84530	
SRRM5	1	100170229	
COG7	1	91949	
COG6	1	57511	
COG5	1	10466	
ARRDC1	1	92714	
COG4	1	25839	
ARRDC2	1	27106	
HLA-L	1	3139	
COG3	1	83548	
ARRDC3	1	57561	
PRAMEF20	1	645425	
COG2	1	22796	
P3H2	1	55214	
HLA-B	1	3106	
COG1	1	9382	
P3H1	1	64175	
P3H4	1	10609	
YOD1	1	55432	
P3H3	1	10536	
HCG4B	1	80868	
HLA-F	1	3134	
CRNKL1	1	51340	
SRRM1	1	10250	
HLA-E	1	3133	
NEIL3	1	55247	
AL445433.2	1	100129620	
NEIL2	1	252969	
MIR135A2	1	406926	
MTHFD2L	1	441024	
RUBCNL	1	80183	
NEIL1	1	79661	
KRTAP20-1	1	337975	
KRTAP20-2	1	337976	
MACF1	1	23499	
CSTF3	1	1479	
LHB	1	3972	
CSTF2	1	1478	
AC097382.2	1	100129931	
PRAMEF11	1	440560	
PRAMEF10	1	343071	
LIAS	1	11019	
APCDD1	1	147495	
CBARP	1	255057	
MIR92A2	1	407049	
HELZ2	1	85441	
FXR1	1	8087	
SCFD1	1	23256	
FXR2	1	9513	
PRAMEF18	1	391003	
AP5M1	1	55745	
CHTF8	1	54921	
PRAMEF13	1	400736	
SCFD2	1	152579	
PRAMEF12	1	390999	
GJA10	1	84694	
PRAMEF15	1	653619	
CSTF1	1	1477	
MLEC	1	9761	
TMEM74B	1	55321	
AC090282.1	1	100288728	
LIF	1	3976	
PARVA	1	55742	
PARVB	1	29780	
PUM1	1	9698	
TRERF1	1	55809	
PUM3	1	9933	
PUM2	1	23369	
RPS26	1	6231	
MIR92A1	1	407048	
RPS25	1	6230	
RPS28	1	6234	
RPS27	1	6232	
PARVG	1	64098	
RPS29	1	6235	
OR7E156P	1	283491	
RPS20	1	6224	
RPS21	1	6227	
RPS24	1	6229	
RPS23	1	6228	
HOTAIR	1	100124700	
AHCTF1	1	25909	
ORM1	1	5004	
UBXN1	1	51035	
MEOX2	1	4223	
ORM2	1	5005	
MEOX1	1	4222	
COIL	1	8161	
HSD3BP4	1	128102	
C1QBP	1	708	
UBXN8	1	7993	
UBXN7	1	26043	
UBXN4	1	23190	
FEZF2	1	55079	
FEZF1	1	389549	
PWRN1	1	791114	
UBXN6	1	80700	
LRRCC1	1	85444	
PWRN2	1	791115	
PARP6	1	56965	
PARP3	1	10039	
PARP4	1	143	
PARP1	1	142	
PARP2	1	10038	
GP1BB	1	2812	
STRADA	1	92335	
STRADB	1	55437	
OR7E154P	1	403296	
ZDHHC12	1	84885	
ZDHHC13	1	54503	
GP1BA	1	2811	
ZDHHC11	1	79844	
ZDHHC16	1	84287	
PARP9	1	83666	
ZDHHC17	1	23390	
ZDHHC14	1	79683	
MLF1	1	4291	
MLF2	1	8079	
PARP8	1	79668	
ZDHHC15	1	158866	
AIDA	1	64853	
FYTTD1	1	84248	
SLC66A3	1	130814	
MACIR	1	90355	
SLC66A2	1	80148	
AMIGO3	1	386724	
SLC66A1	1	54896	
ZDHHC20	1	253832	
AMIGO1	1	57463	
ICA1L	1	130026	
AMIGO2	1	347902	
GDPD1	1	284161	
NOL7	1	51406	
ZDHHC23	1	254887	
NOL8	1	55035	
ZDHHC24	1	254359	
GDPD2	1	54857	
GDPD3	1	79153	
NOL9	1	79707	
ZDHHC21	1	340481	
ZDHHC22	1	283576	
GDPD4	1	220032	
GDPD5	1	81544	
NOL3	1	8996	
AIF1	1	199	
NOL4	1	8715	
NOL6	1	65083	
DRP2	1	1821	
PPP2CA	1	5515	
PURB	1	5814	
PPP2CB	1	5516	
PURA	1	5813	
ZDHHC18	1	84243	
ZDHHC19	1	131540	
EGFLAM	1	133584	
MTHFD1L	1	25902	
WIF1	1	11197	
KISS1R	1	84634	
LAIR2	1	3904	
RPRML	1	388394	
LAIR1	1	3903	
PURG	1	29942	
OTOP1	1	133060	
OTOP2	1	92736	
MLH1	1	4292	
AIG1	1	51390	
OTOP3	1	347741	
COLQ	1	8292	
MLH3	1	27030	
ATAT1	1	79969	
CD40LG	1	959	
DBIL5P2	1	100169989	
BLID	1	414899	
PCGEM1	1	64002	
NDUFA13	1	51079	
NDUFA11	1	126328	
TAMM41	1	132001	
NDUFA12	1	55967	
ZSCAN9	1	7746	
NDUFA10	1	4705	
ARHGDIG	1	398	
COMT	1	1312	
CNDP1	1	84735	
CNDP2	1	55748	
COMP	1	1311	
DOCK10	1	55619	
DOCK11	1	139818	
ARHGDIA	1	396	
ARHGDIB	1	397	
PUS3	1	83480	
NOM1	1	64434	
MLIP	1	90523	
LIG1	1	3978	
PUS1	1	80324	
LIG4	1	3981	
ATP1B4	1	23439	
LIG3	1	3980	
LIFR	1	3977	
ATP1B3	1	483	
ATP1B2	1	482	
ATP1B1	1	481	
PUS7	1	54517	
LOX	1	4015	
CERCAM	1	51148	
UCA1	1	652995	
LPA	1	4018	
JCAD	1	57608	
MRPL45P2	1	653479	
COPA	1	1314	
NOP2	1	4839	
LPL	1	4023	
LPO	1	4025	
PSG11	1	5680	
CUZD1	1	50624	
LPP	1	4026	
NOP9	1	161424	
COP1	1	64326	
CDH20	1	28316	
CDH22	1	64405	
CDH23	1	64072	
CDH24	1	64403	
GAGE2A	1	729447	
CDH26	1	60437	
UQCC3	1	790955	
MLKL	1	197259	
UQCC2	1	84300	
UQCC1	1	55245	
NONO	1	4841	
MACO1	1	55219	
COQ9	1	57017	
COQ7	1	10229	
COQ6	1	51004	
COQ5	1	84274	
COQ4	1	51117	
COQ3	1	51805	
COQ2	1	27235	
ZSCAN4	1	201516	
BLMH	1	642	
BRWD1	1	54014	
AQP4-AS1	1	147429	
COPE	1	11316	
BRWD3	1	254065	
ZSCAN2	1	54993	
ZSCAN1	1	284312	
GPSM1	1	26086	
GPSM2	1	29899	
ASNSD1	1	54529	
MLNR	1	2862	
GAGE13	1	645051	
SLC40A1	1	30061	
GAGE10	1	102724473	
CMAHP	1	8418	
FHAD1	1	114827	
RPS4X	1	6191	
MFSD8	1	256471	
MFSD9	1	84804	
MFSD6	1	54842	
MFSD5	1	84975	
MFSD3	1	113655	
BLNK	1	29760	
MFSD1	1	64747	
TOPBP1	1	11073	
NOS1	1	4842	
ATP5F1EP2	1	432369	
GPSM3	1	63940	
MAPK1IP1L	1	93487	
HGSNAT	1	138050	
CYP3A43	1	64816	
RPS3A	1	6189	
LSR	1	51599	
PRODH2	1	58510	
LSS	1	4047	
FCHSD1	1	89848	
CORT	1	1325	
AIM2	1	9447	
FCHSD2	1	9873	
DDAH1	1	23576	
DDAH2	1	23564	
CDH10	1	1008	
COL6A2	1	1292	
CDH11	1	1009	
COL6A1	1	1291	
AKT1S1	1	84335	
ZPBP2	1	124626	
CDH12	1	1010	
LTA	1	4049	
CDH13	1	1012	
COL6A3	1	1293	
TERF2IP	1	54386	
AKNAD1	1	254268	
CDH15	1	1013	
COL6A5	1	256076	
LTB	1	4050	
CDH16	1	1014	
CDH17	1	1015	
THOP1	1	7064	
CDH18	1	1016	
UBE2Q2P2	1	100134869	
UBE2Q2P1	1	388165	
CDH19	1	28513	
LTF	1	4057	
CST9L	1	128821	
HEMGN	1	55363	
LTK	1	4058	
ATP1A4	1	480	
ATP1A3	1	478	
ATP1A2	1	477	
LIN9	1	286826	
ATP1A1	1	476	
CHSY1	1	22856	
FAM120C	1	54954	
FAM120B	1	84498	
FAM120A	1	23196	
CHSY3	1	337876	
OPCML	1	4978	
LIM2	1	3982	
NOS2	1	4843	
LUM	1	4060	
NOS3	1	4846	
MLPH	1	79083	
OSTCP1	1	202459	
KANSL1	1	284058	
SLFNL1	1	200172	
PITHD1	1	57095	
PMS2P11	1	107161145	
KANSL2	1	54934	
KANSL3	1	55683	
PAXBP1	1	94104	
GAGE1	1	2543	
USP6NL	1	9712	
OR4K17	1	390436	
LIPA	1	3988	
TSEN54	1	283989	
ZDBF2	1	57683	
PREX2	1	80243	
LIPF	1	8513	
ATP5IF1	1	93974	
LIPE	1	3991	
PREX1	1	57580	
SAMD14	1	201191	
LIPC	1	3990	
LIPJ	1	142910	
MPRIP	1	23164	
LIPI	1	149998	
LIPH	1	200879	
LIPG	1	9388	
LIPN	1	643418	
NKX1-2	1	390010	
LIPM	1	340654	
LIPK	1	643414	
SAMD12	1	401474	
SAMD13	1	148418	
SAMD10	1	140700	
SAMD11	1	148398	
GABARAPL3	1	23766	
GABARAPL2	1	11345	
STARD3	1	10948	
GABARAPL1	1	23710	
STARD4	1	134429	
STARD5	1	80765	
CSNK2A1	1	1457	
STARD6	1	147323	
STARD7	1	56910	
CFAP92	1	57501	
CSNK2A3	1	283106	
STARD8	1	9754	
CSNK2A2	1	1459	
STARD9	1	57519	
CFAP91	1	89876	
DNTTIP1	1	116092	
DNTTIP2	1	30836	
FLJ31356	1	403150	
ROCK1P1	1	727758	
OR4K15	1	81127	
CLNS1A	1	1207	
OR4K14	1	122740	
OR4K13	1	390433	
AKIP1	1	56672	
CDIP1	1	29965	
PRKXP1	1	441733	
ENTHD1	1	150350	
MCM3AP-AS1	1	114044	
CFAP97	1	57587	
CFAP61	1	26074	
HACD1	1	9200	
AC009060.1	1	400541	
PARPBP	1	55010	
HS3ST3A1	1	9955	
LXN	1	56925	
RETSAT	1	54884	
AIRE	1	326	
HACD3	1	51495	
HACD2	1	201562	
LY9	1	4063	
HACD4	1	401494	
FAM221B	1	392307	
FAM221A	1	340277	
GUCD1	1	83606	
KLRK1	1	22914	
CFAP69	1	79846	
VTI1A	1	143187	
CFAP65	1	255101	
PPARGC1A	1	10891	
PPARGC1B	1	133522	
VTI1B	1	10490	
GPIHBP1	1	338328	
LYN	1	4067	
CFAP74	1	85452	
FYB2	1	199920	
FYB1	1	2533	
HACE1	1	57531	
CFAP73	1	387885	
CFAP70	1	118491	
APCDD1L	1	164284	
INCA1	1	388324	
NR0B1	1	190	
BBIP1	1	92482	
LYZ	1	4069	
NR0B2	1	8431	
FAM220A	1	84792	
PCDHGA10	1	56106	
PCDHGA11	1	56105	
UCK2	1	7371	
PCDHGA12	1	26025	
UCK1	1	83549	
NOX3	1	50508	
NOX4	1	50507	
NOX5	1	79400	
EFCC1	1	79825	
NOX1	1	27035	
CFAP77	1	389799	
UCMA	1	221044	
C7orf50	1	84310	
ATF7IP2	1	80063	
DIS3L	1	115752	
FAM224A	1	401630	
PQBP1	1	10084	
FAM223A	1	100132967	
UCN3	1	114131	
UCN2	1	90226	
FLVCR1	1	28982	
FLVCR2	1	55640	
NELFB	1	25920	
NELFA	1	7469	
C7orf57	1	136288	
NELFE	1	7936	
HLA-DPA1	1	3113	
C20orf197	1	284756	
C20orf194	1	25943	
NSUN4	1	387338	
NSUN5	1	55695	
KU-MEL-3	1	497048	
NSUN2	1	54888	
NSUN3	1	63899	
NSUN6	1	221078	
NSUN7	1	79730	
DYNLL1	1	8655	
DYNLL2	1	140735	
FAM222B	1	55731	
FAM222A	1	84915	
ACRV1	1	56	
C7orf31	1	136895	
C7orf33	1	202865	
KARS1	1	3735	
C20orf181	1	100128998	
DOCK8-AS1	1	157983	
UCP1	1	7350	
RPS27L	1	51065	
PROCA1	1	147011	
FAM226B	1	653687	
STYXL1	1	51657	
FOXS1	1	2307	
UCP3	1	7352	
UCP2	1	7351	
RPS27A	1	6233	
EVC2	1	132884	
MIR600HG	1	81571	
ANKIB1	1	54467	
OR14A16	1	284532	
C20orf173	1	140873	
SAMD4A	1	23034	
SAMD4B	1	55095	
LYRM9	1	201229	
MIR199B	1	406978	
FAM225B	1	100128385	
FAM225A	1	286333	
GATAD2B	1	57459	
STXBP5L	1	9515	
GATAD2A	1	54815	
FOXR2	1	139628	
LYRM1	1	57149	
FOXR1	1	283150	
LYRM2	1	57226	
LYRM4	1	57128	
LYRM7	1	90624	
HLA-DPB1	1	3115	
MPLKIP	1	136647	
C7orf26	1	79034	
C7orf25	1	79020	
HLA-DPB2	1	3116	
CCDC144CP	1	348254	
MYLK2	1	85366	
NRROS	1	375387	
CXCL17	1	284340	
FAM228A	1	653140	
DEFB1	1	1672	
CXCL13	1	10563	
CXCL14	1	9547	
MYLK3	1	91807	
CXCL16	1	58191	
MYLK4	1	340156	
FOXQ1	1	94234	
SLC25A48	1	153328	
ATCAY	1	85300	
OSBP	1	5007	
SLC25A41	1	284427	
FBRSL1	1	57666	
SLC25A40	1	55972	
SLC25A43	1	203427	
SLC25A42	1	284439	
SLC25A45	1	283130	
SLC25A44	1	9673	
SLC25A47	1	283600	
SLC25A46	1	91137	
CPA3	1	1359	
CPA2	1	1358	
MYLIP	1	29116	
CPA1	1	1357	
TICAM2	1	353376	
PRPF4B	1	8899	
FOXP4	1	116113	
TICAM1	1	148022	
FOXP3	1	50943	
FOXP2	1	93986	
FAM227B	1	196951	
FOXP1	1	27086	
MAG	1	4099	
MAF	1	4094	
GVINP1	1	387751	
CR769775.2	1	100132874	
LIX1	1	167410	
MAK	1	4117	
SLC25A52	1	147407	
FSCN1	1	6624	
SLC25A51	1	92014	
MAL	1	4118	
FSCN3	1	29999	
FSCN2	1	25794	
SLC25A53	1	401612	
DSC1	1	1823	
DSC2	1	1824	
DSC3	1	1825	
RNASEH2C	1	84153	
CPB2	1	1361	
RNASEH2B	1	79621	
CPB1	1	1360	
RNASEH2A	1	10535	
MAX	1	4149	
TROAP	1	10024	
MAZ	1	4150	
GLIS3	1	169792	
FOXO6	1	100132074	
FOXO4	1	4303	
FOXO3	1	2309	
KRCC1	1	51315	
FOXO1	1	2308	
GLIS1	1	148979	
GLIS2	1	84662	
NPAT	1	4863	
CNTNAP3B	1	728577	
DSEL	1	92126	
CLTCL1	1	8218	
E4F1	1	1877	
HACL1	1	26061	
MBP	1	4155	
CPA6	1	57094	
EVI5	1	7813	
CPA5	1	93979	
AL162457.1	1	100128310	
CPA4	1	51200	
C7orf66	1	154907	
C7orf65	1	401335	
DEFA6	1	1671	
DEFA4	1	1669	
DEFA5	1	1670	
C7orf61	1	402573	
FAM229B	1	619208	
DEFA3	1	1668	
FOXN4	1	121643	
FOXN3	1	1112	
MCC	1	4163	
FOXN2	1	3344	
FOXN1	1	8456	
AICDA	1	57379	
CXCL10	1	3627	
CXCL11	1	6373	
CXCL12	1	6387	
SCGB3A2	1	117156	
SCGB3A1	1	92304	
MCU	1	90550	
C7orf69	1	80099	
ARHGAP11A	1	9824	
ARHGAP11B	1	89839	
MAFIP	1	727764	
CELF1	1	10658	
CELF2	1	10659	
CDCA7L	1	55536	
SCHIP1	1	29970	
CELF3	1	11189	
CELF4	1	56853	
CELF5	1	60680	
CELF6	1	60677	
MCM10	1	55388	
FOXM1	1	2305	
FSD1L	1	83856	
MDK	1	4192	
MYADML2	1	255275	
ME1	1	4199	
ME3	1	10873	
ME2	1	4200	
PVRIG	1	79037	
FOXL2	1	668	
FOXL1	1	2300	
AC010186.2	1	374443	
SLC25A16	1	8034	
ZNF861P	1	100302737	
SLC25A15	1	10166	
SLC25A18	1	83733	
SLC25A17	1	10478	
NPC1	1	4864	
SLC25A19	1	60386	
NPC2	1	10577	
MIR124-1	1	406907	
DSG1	1	1828	
MIR124-2	1	406908	
SLC25A10	1	1468	
DSG2	1	1829	
MIR124-3	1	406909	
DSG3	1	1830	
SLC25A12	1	8604	
DSG4	1	147409	
SLC25A11	1	8402	
MET	1	4233	
SLC25A14	1	9016	
SLC25A13	1	10165	
FOXK2	1	3607	
FOXK1	1	221937	
MFF	1	56947	
SLC25A27	1	9481	
SLC25A26	1	115286	
SLC25A29	1	123096	
SLC25A28	1	81894	
KRTAP6-2	1	337967	
KRTAP6-1	1	337966	
SLC25A21	1	89874	
SLC25A20	1	788	
SLC25A23	1	79085	
SLC25A22	1	79751	
SLC25A25	1	114789	
CTHRC1	1	115908	
SLC25A24	1	29957	
MIR19B1	1	406980	
MIR19B2	1	406981	
MMAA	1	166785	
MMAB	1	326625	
MGA	1	23269	
FOXJ3	1	22887	
KRTAP6-3	1	337968	
FOXJ2	1	55810	
FOXJ1	1	2302	
MERTK	1	10461	
DHODH	1	1723	
SLC25A38	1	54977	
NELL2	1	4753	
SLC25A37	1	51312	
NELL1	1	4745	
SLC25A39	1	51629	
MGP	1	4256	
SLC25A30	1	253512	
SLC25A32	1	81034	
SLC25A31	1	83447	
P4HB	1	5034	
SLC25A34	1	284723	
SLC25A33	1	84275	
SLC25A36	1	55186	
SLC25A35	1	399512	
SPON2	1	10417	
SPON1	1	10418	
FOXI3	1	344167	
FOXI2	1	399823	
ZDHHC5	1	25921	
CCT6P1	1	643253	
FOXI1	1	2299	
ZDHHC6	1	64429	
AC012236.1	1	283710	
ZDHHC7	1	55625	
ZDHHC8	1	29801	
ZDHHC1	1	29800	
ZDHHC2	1	51201	
CCT6P3	1	643180	
ZDHHC3	1	51304	
ZDHHC4	1	55146	
GOLGA6L10	1	647042	
CHORDC1	1	26973	
RESP18	1	389075	
TMEM88B	1	643965	
MIA	1	8190	
NSMCE3	1	56160	
ANKRD20A11P	1	391267	
NPFF	1	8620	
FOXH1	1	8928	
NSMCE2	1	286053	
MIR519A2	1	574500	
NSMCE1	1	197370	
MIF	1	4282	
HASPIN	1	83903	
GNPAT	1	8443	
SFRP4	1	6424	
SFRP1	1	6422	
SFRP2	1	6423	
MIP	1	4284	
SFRP5	1	6425	
CTXN3	1	613212	
CTXN2	1	399697	
DAOA-AS1	1	282706	
CTXN1	1	404217	
TMEM87A	1	25963	
TMEM87B	1	84910	
FOXG1	1	2290	
EVPL	1	2125	
DSN1	1	79980	
RBM12	1	10137	
RIMKLA	1	284716	
RIMKLB	1	57494	
RBM10	1	8241	
RBM11	1	54033	
TMEM86A	1	144110	
TMEM86B	1	255043	
FOXF2	1	2295	
FOXF1	1	2294	
C20orf27	1	54976	
CELA1	1	1990	
PILRB	1	29990	
PILRA	1	29992	
CCDC144NL	1	339184	
MYLPF	1	29895	
RPS26P11	1	441502	
COL9A1	1	1297	
COL9A3	1	1299	
CYSTM1	1	84418	
MKX	1	283078	
COL9A2	1	1298	
RCOR3	1	55758	
GLIPR1L1	1	256710	
RCOR2	1	283248	
GLIPR1L2	1	144321	
RCOR1	1	23186	
FKBP11	1	51303	
FKBP10	1	60681	
SUV39H2	1	79723	
FOXE3	1	2301	
ZNF22-AS1	1	220979	
FOXE1	1	2304	
FKBP15	1	23307	
MOGAT3	1	346606	
DOC2A	1	8448	
FKBP14	1	55033	
MOGAT2	1	80168	
MOGAT1	1	116255	
SUV39H1	1	6839	
DOC2B	1	8447	
BMI1	1	648	
MLN	1	4295	
MLX	1	6945	
REV3L	1	5980	
DIRC1	1	116093	
UTP14A	1	10813	
DIRC3	1	729582	
PDZK1P1	1	100034743	
UTP14C	1	9724	
SBSPON	1	157869	
FOXD4	1	2298	
ANKDD1A	1	348094	
FOXD3	1	27022	
FOXD2	1	2306	
FOXD1	1	2297	
MME	1	4311	
MMD	1	23531	
OSMR	1	9180	
MN1	1	4330	
KIAA1671-AS1	1	100128531	
FOXC2	1	2303	
FOXC1	1	2296	
RABGAP1	1	23637	
SPINDOC	1	144097	
PVT1	1	5820	
IBA57	1	200205	
CPN2	1	1370	
CPN1	1	1369	
PGRMC1	1	10857	
MNT	1	4335	
PGRMC2	1	10424	
CYP2A13	1	1553	
C20orf85	1	128602	
FOXB2	1	442425	
FOXB1	1	27023	
NPM1	1	4869	
NPM2	1	10361	
CAVIN1	1	284119	
MOG	1	4340	
CAVIN2	1	8436	
CAVIN3	1	112464	
CAVIN4	1	347273	
NPM3	1	10360	
CABCOCO1	1	219621	
DSPP	1	1834	
PPP1CA	1	5499	
MOS	1	4342	
FKBP1A	1	2280	
ZDHHC9	1	51114	
FKBP1C	1	642489	
FKBP1B	1	2281	
FOXA3	1	3171	
FOXA2	1	3170	
ENGASE	1	64772	
PCDHB18P	1	54660	
FOXA1	1	3169	
PLVAP	1	83483	
SAMD9L	1	219285	
MIR190A	1	406965	
MPG	1	4350	
MPI	1	4351	
MPL	1	4352	
CPOX	1	1371	
WBP1L	1	54838	
CCER1	1	196477	
MIR1909	1	100302210	
ACRBP	1	84519	
MPO	1	4353	
IFI44L	1	10964	
NPPB	1	4879	
NPPC	1	4880	
MPZ	1	4359	
NPPA	1	4878	
SNIP1	1	79753	
PCDHB17P	1	54661	
OSR2	1	116039	
ADPRHL1	1	113622	
OSR1	1	130497	
THEMIS	1	387357	
RPGRIP1L	1	23322	
NPNT	1	255743	
WBP11	1	51729	
MR1	1	3140	
TFAMP1	1	260341	
DPEP2	1	64174	
DPEP1	1	1800	
LY86-AS1	1	285780	
DPEP3	1	64180	
HOMEZ	1	57594	
C20orf144	1	128864	
UTP25	1	27042	
C20orf141	1	128653	
KRTAP23-1	1	337963	
RBM8A	1	9939	
NPR1	1	4881	
NPR2	1	4882	
UTP23	1	84294	
NPR3	1	4883	
MRO	1	83876	
KASH5	1	147872	
TAC4	1	255061	
UTP20	1	27340	
TAC3	1	6866	
MIR1233-1	1	100302160	
VARS2	1	57176	
MSC	1	9242	
TAC1	1	6863	
BCL9L	1	283149	
VARS1	1	7407	
OST4	1	100128731	
ZFHX3	2	463:388289	
PCDHB19P	1	84054	
ZFHX2	1	85446	
SLC52A2	1	79581	
SLC52A3	1	113278	
HMGA1	1	3159	
DSTN	1	11034	
HMGA2	1	8091	
SLC52A1	1	55065	
MSN	1	4478	
SHISAL1	1	85352	
EVX1	1	2128	
EVX2	1	344191	
MT4	1	84560	
ZFHX4	1	79776	
BMP7	1	655	
MT3	1	4504	
BMP6	1	654	
ANKHD1	1	54882	
BMP5	1	653	
BMP4	1	652	
BMP3	1	651	
BMP2	1	650	
BMP1	1	649	
AJM1	1	389813	
CPS1	1	1373	
OSTC	1	58505	
TAB3	1	257397	
TAB2	1	23118	
TAB1	1	10454	
OSTN	1	344901	
LSM14B	1	149986	
LSM14A	1	26065	
RBM27	1	54439	
PNLIPRP1	1	5407	
RBM28	1	55131	
PNLIPRP2	1	5408	
RHOXF2	1	84528	
RBM25	1	58517	
CD164L2	1	388611	
NAA40	1	79829	
RBM26	1	64062	
RHOXF1	1	158800	
LAMC3	1	10319	
ATP2A3	1	489	
HMGB2	1	3148	
PSIP1	1	11168	
ATP2A2	1	488	
HMGB3	1	3149	
LAMC2	1	3918	
ATP2A1	1	487	
MTR	1	4548	
LAMC1	1	3915	
HMGB1	1	3146	
HMGB4	1	127540	
SEC61A2	1	55176	
SEC61A1	1	29927	
CPT2	1	1376	
BCL7A	1	605	
BCL7C	1	9274	
BCL7B	1	9275	
CFAP47	1	286464	
CD200R1L	1	344807	
NPTN	1	27020	
