"","x"
"6019","FAM120AOS"
"6020","FAM120B"
"6021","FAM120C"
"6022","FAM122A"
"6023","FAM122B"
"6024","FAM122C"
"6025","FAM123A"
"6026","FAM123B"
"6027","FAM123C"
"6028","FAM124A"
"6029","FAM124B"
"6030","FAM125A"
"6031","FAM125B"
"6032","FAM126A"
"6033","FAM126B"
"6034","FAM127A"
"6035","FAM127B"
"6036","FAM127C"
"6037","FAM129A"
"6038","FAM129B"
"6039","FAM129C"
"6040","FAM131A"
"6041","FAM131B"
"6042","FAM131C"
"6043","FAM132A"
"6044","FAM132B"
"6045","FAM133A"
"6046","FAM133B"
"6047","FAM134A"
"6048","FAM134B"
"6049","FAM134C"
"6050","FAM135A"
"6051","FAM135B"
"6052","FAM136A"
"6053","FAM136B"
"6054","FAM138A"
"6055","FAM138B"
"6056","FAM138D"
"6057","FAM13A"
"6058","FAM13AOS"
"6059","FAM13B"
"6060","FAM13C"
"6061","FAM149A"
"6062","FAM149B1"
"6063","FAM149B2"
"6064","FAM150A"
"6065","FAM150B"
"6066","FAM151A"
"6067","FAM151B"
"6068","FAM153A"
"6069","FAM153B"
"6070","FAM153C"
"6071","FAM154A"
"6072","FAM154B"
"6073","FAM155A"
"6074","FAM155B"
"6075","FAM156A"
"6076","FAM156B"
"6077","FAM157B"
"6078","FAM157C"
"6079","FAM158A"
"6080","FAM159A"
"6081","FAM159B"
"6082","FAM160A1"
"6083","FAM160A2"
"6084","FAM160B1"
"6085","FAM160B2"
"6086","FAM161A"
"6087","FAM161B"
"6088","FAM162A"
"6089","FAM162B"
"6090","FAM163A"
"6091","FAM164A"
"6092","FAM164C"
"6093","FAM165B"
"6094","FAM166A"
"6095","FAM166B"
"6096","FAM167A"
"6097","FAM167B"
"6098","FAM168A"
"6099","FAM168B"
"6100","FAM169A"
"6101","FAM169B"
"6102","FAM170A"
"6103","FAM170B"
"6104","FAM171A1"
"6105","FAM171A2"
"6106","FAM171B"
"6107","FAM172A"
"6108","FAM172B"
"6109","FAM173A"
"6110","FAM173B"
"6111","FAM174A"
"6112","FAM174B"
"6113","FAM175A"
"6114","FAM175B"
"6115","FAM176A"
"6116","FAM176B"
"6117","FAM177A1"
"6118","FAM177B"
"6119","FAM178A"
"6120","FAM178B"
"6121","FAM179A"
"6122","FAM179B"
"6123","FAM180A"
"6124","FAM180B"
"6125","FAM181A"
"6126","FAM181B"
"6127","FAM182A"
"6128","FAM182B"
"6129","FAM183A"
"6130","FAM184A"
"6131","FAM184B"
"6132","FAM185A"
"6133","FAM186A"
"6134","FAM186B"
"6135","FAM187B"
"6136","FAM188A"
"6137","FAM188B"
"6138","FAM189A1"
"6139","FAM189A2"
"6140","FAM189B"
"6141","FAM18A"
"6142","FAM18B1"
"6143","FAM18B2"
"6144","FAM190A"
"6145","FAM190B"
"6146","FAM192A"
"6147","FAM193A"
"6148","FAM193B"
"6149","FAM194A"
"6150","FAM194B"
"6151","FAM195A"
"6152","FAM195B"
"6153","FAM196A"
"6154","FAM196B"
"6155","FAM197Y2P"
"6156","FAM198A"
"6157","FAM198B"
"6158","FAM199X"
"6159","FAM19A1"
"6160","FAM19A2"
"6161","FAM19A3"
"6162","FAM19A4"
"6163","FAM19A5"
"6164","FAM200A"
"6165","FAM200B"
"6166","FAM201A"
"6167","FAM201B"
"6168","FAM20A"
"6169","FAM20B"
"6170","FAM21A"
"6171","FAM21B"
"6172","FAM21C"
"6173","FAM22A"
"6174","FAM22B"
"6175","FAM22D"
"6176","FAM22F"
"6177","FAM22G"
"6178","FAM23A"
"6179","FAM24B"
"6180","FAM25A"
"6181","FAM25B"
"6182","FAM26D"
"6183","FAM26E"
"6184","FAM26F"
"6185","FAM27A"
"6186","FAM27B"
"6187","FAM27E2"
"6188","FAM27E3"
"6189","FAM27L"
"6190","FAM30A"
"6191","FAM32A"
"6192","FAM35A"
"6193","FAM35B"
"6194","FAM36A"
"6195","FAM38A"
"6196","FAM38B"
"6197","FAM3A"
"6198","FAM3B"
"6199","FAM3C"
"6200","FAM3D"
"6201","FAM40A"
"6202","FAM40B"
"6203","FAM41AY1"
"6204","FAM41C"
"6205","FAM43A"
"6206","FAM43B"
"6207","FAM45A"
"6208","FAM45B"
"6209","FAM46A"
"6210","FAM46B"
"6211","FAM46C"
"6212","FAM46D"
"6213","FAM47A"
"6214","FAM47B"
"6215","FAM47C"
"6216","FAM47E"
"6217","FAM48A"
"6218","FAM48B1"
"6219","FAM48B2"
"6220","FAM49A"
"6221","FAM49B"
"6222","FAM50A"
"6223","FAM50B"
"6224","FAM53A"
"6225","FAM53B"
"6226","FAM53C"
"6227","FAM54A"
"6228","FAM54B"
"6229","FAM55A"
"6230","FAM55B"
"6231","FAM55C"
"6232","FAM55D"
"6233","FAM57A"
"6234","FAM57B"
"6235","FAM58A"
"6236","FAM59A"
"6237","FAM59B"
"6238","FAM5B"
"6239","FAM5C"
"6240","FAM60A"
"6241","FAM63A"
"6242","FAM63B"
"6243","FAM64A"
"6244","FAM65A"
"6245","FAM65B"
"6246","FAM65C"
"6247","FAM66B"
"6248","FAM66C"
"6249","FAM66D"
"6250","FAM69A"
"6251","FAM69B"
"6252","FAM69C"
"6253","FAM70A"
"6254","FAM70B"
"6255","FAM71A"
"6256","FAM71B"
"6257","FAM71C"
"6258","FAM71D"
"6259","FAM71E1"
"6260","FAM71E2"
"6261","FAM71F1"
"6262","FAM71F2"
"6263","FAM72A"
"6264","FAM72D"
"6265","FAM73A"
"6266","FAM73B"
"6267","FAM74A3"
"6268","FAM75A3"
"6269","FAM75A7"
"6270","FAM75B"
"6271","FAM75C1"
"6272","FAM75C2"
"6273","FAM75D1"
"6274","FAM75D3"
"6275","FAM75D4"
"6276","FAM75D5"
"6277","FAM76A"
"6278","FAM76B"
"6279","FAM78A"
"6280","FAM78B"
"6281","FAM7A1"
"6282","FAM7A2"
"6283","FAM7A3"
"6284","FAM81A"
"6285","FAM81B"
"6286","FAM82A1"
"6287","FAM82A2"
"6288","FAM82B"
"6289","FAM83A"
"6290","FAM83B"
"6291","FAM83C"
"6292","FAM83D"
"6293","FAM83E"
"6294","FAM83F"
"6295","FAM83G"
"6296","FAM83H"
"6297","FAM84A"
"6298","FAM84B"
"6299","FAM85A"
"6300","FAM86A"
"6301","FAM86B1"
"6302","FAM86B2"
"6303","FAM86C"
"6304","FAM86DP"
"6305","FAM87A"
"6306","FAM89A"
"6307","FAM89B"
"6308","FAM8A1"
"6309","FAM90A1"
"6310","FAM90A13"
"6311","FAM90A20"
"6312","FAM90A25P"
"6313","FAM90A5"
"6314","FAM91A1"
"6315","FAM91A2"
"6316","FAM92A1"
"6317","FAM92A2"
"6318","FAM92A3"
"6319","FAM92B"
"6320","FAM93B"
"6321","FAM95B1"
"6322","FAM96A"
"6323","FAM96B"
"6324","FAM98A"
"6325","FAM98B"
"6326","FAM98C"
"6327","FAM99A"
"6328","FAM9A"
"6329","FAM9B"
"6330","FAM9C"
"6331","FAN1"
"6332","FANCA"
"6333","FANCB"
"6334","FANCC"
"6335","FANCD2"
"6336","FANCE"
"6337","FANCF"
"6338","FANCG"
"6339","FANCI"
"6340","FANCL"
"6341","FANCM"
"6342","FANK1"
"6343","FAP"
"6344","FAR1"
"6345","FAR2"
"6346","FARP1"
"6347","FARP2"
"6348","FARS2"
"6349","FARSA"
"6350","FARSB"
"6351","FAS"
"6352","FAS-AS"
"6353","FASLG"
"6354","FASN"
"6355","FASTK"
"6356","FASTKD1"
"6357","FASTKD2"
"6358","FASTKD3"
"6359","FASTKD5"
"6360","FAT1"
"6361","FAT2"
"6362","FAT3"
"6363","FAT4"
"6364","FATE1"
"6365","FAU"
"6366","FBF1"
"6367","FBL"
"6368","FBLIM1"
"6369","FBLL1"
"6370","FBLN1"
"6371","FBLN2"
"6372","FBLN5"
"6373","FBLN7"
"6374","FBN1"
"6375","FBN2"
"6376","FBN3"
"6377","FBP1"
"6378","FBP2"
"6379","FBRS"
"6380","FBRSL1"
"6381","FBXL12"
"6382","FBXL13"
"6383","FBXL14"
"6384","FBXL15"
"6385","FBXL16"
"6386","FBXL17"
"6387","FBXL18"
"6388","FBXL19"
"6389","FBXL2"
"6390","FBXL20"
"6391","FBXL21"
"6392","FBXL22"
"6393","FBXL3"
"6394","FBXL4"
"6395","FBXL5"
"6396","FBXL6"
"6397","FBXL7"
"6398","FBXL8"
"6399","FBXO10"
"6400","FBXO11"
"6401","FBXO15"
"6402","FBXO16"
"6403","FBXO17"
"6404","FBXO18"
"6405","FBXO2"
"6406","FBXO21"
"6407","FBXO22"
"6408","FBXO22OS"
"6409","FBXO24"
"6410","FBXO25"
"6411","FBXO27"
"6412","FBXO28"
"6413","FBXO3"
"6414","FBXO30"
"6415","FBXO31"
"6416","FBXO32"
"6417","FBXO33"
"6418","FBXO34"
"6419","FBXO36"
"6420","FBXO38"
"6421","FBXO39"
"6422","FBXO4"
"6423","FBXO40"
"6424","FBXO41"
"6425","FBXO42"
"6426","FBXO43"
"6427","FBXO44"
"6428","FBXO45"
"6429","FBXO46"
"6430","FBXO47"
"6431","FBXO48"
"6432","FBXO5"
"6433","FBXO6"
"6434","FBXO7"
"6435","FBXO8"
"6436","FBXO9"
"6437","FBXW10"
"6438","FBXW11"
"6439","FBXW12"
"6440","FBXW2"
"6441","FBXW4"
"6442","FBXW4P1"
"6443","FBXW5"
"6444","FBXW7"
"6445","FBXW8"
"6446","FBXW9"
"6447","FCAMR"
"6448","FCAR"
"6449","FCER1A"
"6450","FCER1G"
"6451","FCER2"
"6452","FCF1"
"6453","FCGBP"
"6454","FCGR1A"
"6455","FCGR2A"
"6456","FCGR2B"
"6457","FCGR3A"
"6458","FCGRT"
"6459","FCHO1"
"6460","FCHO2"
"6461","FCHSD1"
"6462","FCHSD2"
"6463","FCN1"
"6464","FCN2"
"6465","FCN3"
"6466","FCRL1"
"6467","FCRL2"
"6468","FCRL3"
"6469","FCRL4"
"6470","FCRL5"
"6471","FCRL6"
"6472","FCRLA"
"6473","FCRLB"
"6474","FDFT1"
"6475","FDPS"
"6476","FDPSL2A"
"6477","FDX1"
"6478","FDX1L"
"6479","FDXACB1"
"6480","FDXR"
"6481","FECH"
"6482","FEM1A"
"6483","FEM1B"
"6484","FEM1C"
"6485","FEN1"
"6486","FER"
"6487","FER1L4"
"6488","FER1L5"
"6489","FER1L6"
"6490","FERD3L"
"6491","FERMT1"
"6492","FERMT2"
"6493","FERMT3"
"6494","FES"
"6495","FETUB"
"6496","FEV"
"6497","FEZ1"
"6498","FEZ2"
"6499","FEZF1"
"6500","FEZF2"
"6501","FFAR1"
"6502","FFAR2"
"6503","FFAR3"
"6504","FGA"
"6505","FGB"
"6506","FGD1"
"6507","FGD2"
"6508","FGD3"
"6509","FGD4"
"6510","FGD5"
"6511","FGD6"
"6512","FGF1"
"6513","FGF10"
"6514","FGF11"
"6515","FGF12"
"6516","FGF13"
"6517","FGF14"
"6518","FGF17"
"6519","FGF18"
"6520","FGF19"
"6521","FGF2"
"6522","FGF20"
"6523","FGF21"
"6524","FGF22"
"6525","FGF23"
"6526","FGF3"
"6527","FGF4"
"6528","FGF5"
"6529","FGF6"
"6530","FGF7"
"6531","FGF8"
"6532","FGF9"
"6533","FGFBP1"
"6534","FGFBP2"
"6535","FGFBP3"
"6536","FGFR1"
"6537","FGFR1OP"
"6538","FGFR1OP2"
"6539","FGFR2"
"6540","FGFR3"
"6541","FGFR4"
"6542","FGFRL1"
"6543","FGG"
"6544","FGGY"
"6545","FGL1"
"6546","FGL2"
"6547","FGR"
"6548","FH"
"6549","FHAD1"
"6550","FHDC1"
"6551","FHIT"
"6552","FHL1"
"6553","FHL2"
"6554","FHL3"
"6555","FHL5"
"6556","FHOD1"
"6557","FHOD3"
"6558","FIBCD1"
"6559","FIBIN"
"6560","FIBP"
"6561","FICD"
"6562","FIG4"
"6563","FIGF"
"6564","FIGLA"
"6565","FIGN"
"6566","FIGNL1"
"6567","FIGNL2"
"6568","FILIP1"
"6569","FILIP1L"
"6570","FIP1L1"
"6571","FIS1"
"6572","FITM1"
"6573","FITM2"
"6574","FIZ1"
"6575","FJX1"
"6576","FKBP10"
"6577","FKBP11"
"6578","FKBP14"
"6579","FKBP15"
"6580","FKBP1A"
"6581","FKBP1AP1"
"6582","FKBP1B"
"6583","FKBP1C"
"6584","FKBP2"
"6585","FKBP3"
"6586","FKBP4"
"6587","FKBP5"
"6588","FKBP6"
"6589","FKBP7"
"6590","FKBP8"
"6591","FKBP9"
"6592","FKBP9L"
"6593","FKBPL"
"6594","FKRP"
"6595","FKSG2"
"6596","FKSG29"
"6597","FKSG43"
"6598","FKSG49"
"6599","FKSG83"
"6600","FKTN"
"6601","FLAD1"
"6602","FLCN"
"6603","FLG"
"6604","FLG2"
"6605","FLI1"
"6606","FLII"
"6607","FLJ00290"
"6608","FLJ10038"
"6609","FLJ10489"
"6610","FLJ10661"
"6611","FLJ11235"
"6612","FLJ11292"
"6613","FLJ11710"
"6614","FLJ12120"
"6615","FLJ12334"
"6616","FLJ12825"
"6617","FLJ13197"
"6618","FLJ13224"
"6619","FLJ13439"
"6620","FLJ13744"
"6621","FLJ13773"
"6622","FLJ14107"
"6623","FLJ14186"
"6624","FLJ16124"
"6625","FLJ16171"
"6626","FLJ16341"
"6627","FLJ16734"
"6628","FLJ16779"
"6629","FLJ20021"
"6630","FLJ20444"
"6631","FLJ20464"
"6632","FLJ20712"
"6633","FLJ21369"
"6634","FLJ21408"
"6635","FLJ22184"
"6636","FLJ22447"
"6637","FLJ22536"
"6638","FLJ22763"
"6639","FLJ23152"
"6640","FLJ23865"
"6641","FLJ25328"
"6642","FLJ25363"
"6643","FLJ25694"
"6644","FLJ25715"
"6645","FLJ25758"
"6646","FLJ25917"
"6647","FLJ26245"
"6648","FLJ26332"
"6649","FLJ26484"
"6650","FLJ26850"
"6651","FLJ27243"
"6652","FLJ27255"
"6653","FLJ27352"
"6654","FLJ27354"
"6655","FLJ27502"
"6656","FLJ30064"
"6657","FLJ30403"
"6658","FLJ30430"
"6659","FLJ30679"
"6660","FLJ30838"
"6661","FLJ30901"
"6662","FLJ31104"
"6663","FLJ31306"
"6664","FLJ31356"
"6665","FLJ31485"
"6666","FLJ31662"
"6667","FLJ31713"
"6668","FLJ31715"
"6669","FLJ31813"
"6670","FLJ31958"
"6671","FLJ32063"
"6672","FLJ32154"
"6673","FLJ32224"
"6674","FLJ32742"
"6675","FLJ32756"
"6676","FLJ32790"
"6677","FLJ32955"
"6678","FLJ33065"
"6679","FLJ33360"
"6680","FLJ33534"
"6681","FLJ33544"
"6682","FLJ33581"
"6683","FLJ33630"
"6684","FLJ33996"
"6685","FLJ34208"
"6686","FLJ34223"
"6687","FLJ34503"
"6688","FLJ34521"
"6689","FLJ34690"
"6690","FLJ34747"
"6691","FLJ35024"
"6692","FLJ35220"
"6693","FLJ35282"
"6694","FLJ35390"
"6695","FLJ35409"
"6696","FLJ35424"
"6697","FLJ35700"
"6698","FLJ35776"
"6699","FLJ35816"
"6700","FLJ35934"
"6701","FLJ35946"
"6702","FLJ36000"
"6703","FLJ36031"
"6704","FLJ36116"
"6705","FLJ36644"
"6706","FLJ36665"
"6707","FLJ36777"
"6708","FLJ36848"
"6709","FLJ37035"
"6710","FLJ37201"
"6711","FLJ37396"
"6712","FLJ37448"
"6713","FLJ37453"
"6714","FLJ37505"
"6715","FLJ37543"
"6716","FLJ37638"
"6717","FLJ37644"
"6718","FLJ37786"
"6719","FLJ37798"
"6720","FLJ38109"
"6721","FLJ38122"
"6722","FLJ38379"
"6723","FLJ38576"
"6724","FLJ38668"
"6725","FLJ38717"
"6726","FLJ38723"
"6727","FLJ38773"
"6728","FLJ38894"
"6729","FLJ39051"
"6730","FLJ39061"
"6731","FLJ39080"
"6732","FLJ39095"
"6733","FLJ39534"
"6734","FLJ39582"
"6735","FLJ39609"
"6736","FLJ39632"
"6737","FLJ39639"
"6738","FLJ39653"
"6739","FLJ39739"
"6740","FLJ40194"
"6741","FLJ40288"
"6742","FLJ40292"
"6743","FLJ40434"
"6744","FLJ40448"
"6745","FLJ40453"
"6746","FLJ40504"
"6747","FLJ40536"
"6748","FLJ40606"
"6749","FLJ40712"
"6750","FLJ40852"
"6751","FLJ41130"
"6752","FLJ41170"
"6753","FLJ41200"
"6754","FLJ41278"
"6755","FLJ41309"
"6756","FLJ41327"
"6757","FLJ41350"
"6758","FLJ41423"
"6759","FLJ41455"
"6760","FLJ41481"
"6761","FLJ41484"
"6762","FLJ41649"
"6763","FLJ41733"
"6764","FLJ41757"
"6765","FLJ41941"
"6766","FLJ42022"
"6767","FLJ42102"
"6768","FLJ42200"
"6769","FLJ42220"
"6770","FLJ42258"
"6771","FLJ42280"
"6772","FLJ42289"
"6773","FLJ42291"
"6774","FLJ42351"
"6775","FLJ42392"
"6776","FLJ42393"
"6777","FLJ42418"
"6778","FLJ42627"
"6779","FLJ42709"
"6780","FLJ42842"
"6781","FLJ42875"
"6782","FLJ42953"
"6783","FLJ42969"
"6784","FLJ43315"
"6785","FLJ43390"
"6786","FLJ43585"
"6787","FLJ43663"
"6788","FLJ43681"
"6789","FLJ43763"
"6790","FLJ43826"
"6791","FLJ43860"
"6792","FLJ43879"
"6793","FLJ43903"
"6794","FLJ43944"
"6795","FLJ43963"
"6796","FLJ44006"
"6797","FLJ44054"
"6798","FLJ44087"
"6799","FLJ44124"
"6800","FLJ44253"
"6801","FLJ44255"
"6802","FLJ44313"
"6803","FLJ44342"
"6804","FLJ44385"
"6805","FLJ44477"
"6806","FLJ44511"
"6807","FLJ44606"
"6808","FLJ44635"
"6809","FLJ44674"
"6810","FLJ44715"
"6811","FLJ44790"
"6812","FLJ44838"
"6813","FLJ44874"
"6814","FLJ44881"
"6815","FLJ44896"
"6816","FLJ45079"
"6817","FLJ45139"
"6818","FLJ45244"
"6819","FLJ45256"
"6820","FLJ45340"
"6821","FLJ45445"
"6822","FLJ45482"
"6823","FLJ45508"
"6824","FLJ45513"
"6825","FLJ45671"
"6826","FLJ45684"
"6827","FLJ45721"
"6828","FLJ45743"
"6829","FLJ45825"
"6830","FLJ45831"
"6831","FLJ45832"
"6832","FLJ45872"
"6833","FLJ45949"
"6834","FLJ45950"
"6835","FLJ45964"
"6836","FLJ45974"
"6837","FLJ45983"
"6838","FLJ46010"
"6839","FLJ46020"
"6840","FLJ46026"
"6841","FLJ46066"
"6842","FLJ46111"
"6843","FLJ46120"
"6844","FLJ46134"
"6845","FLJ46257"
"6846","FLJ46284"
"6847","FLJ46300"
"6848","FLJ46320"
"6849","FLJ46358"
"6850","FLJ46361"
"6851","FLJ46363"
"6852","FLJ46365"
"6853","FLJ46446"
"6854","FLJ46836"
"6855","FLJ46838"
"6856","FLJ46875"
"6857","FLJ46906"
"6858","FLJ90680"
"6859","FLJ90757"
"6860","FLNA"
"6861","FLNB"
"6862","FLNC"
"6863","FLOT1"
"6864","FLOT2"
"6865","FLRT1"
"6866","FLRT2"
"6867","FLRT3"
"6868","FLT1"
"6869","FLT3"
"6870","FLT3LG"
"6871","FLT4"
"6872","FLVCR1"
"6873","FLVCR2"
"6874","FLYWCH1"
"6875","FLYWCH2"
"6876","FMN1"
"6877","FMN2"
"6878","FMNL1"
"6879","FMNL2"
"6880","FMNL3"
"6881","FMO1"
"6882","FMO3"
"6883","FMO4"
"6884","FMO5"
"6885","FMO6P"
"6886","FMO9P"
"6887","FMOD"
"6888","FMR1"
"6889","FMR1-AS"
"6890","FMR1NB"
"6891","FN1"
"6892","FN3K"
"6893","FN3KRP"
"6894","FNBP1"
"6895","FNBP1L"
"6896","FNBP4"
"6897","FNDC1"
"6898","FNDC3A"
"6899","FNDC3B"
"6900","FNDC4"
"6901","FNDC5"
"6902","FNDC7"
"6903","FNDC8"
"6904","FNIP1"
"6905","FNIP2"
"6906","FNTA"
"6907","FNTB"
"6908","FOLH1"
"6909","FOLH1B"
"6910","FOLR1"
"6911","FOLR2"
"6912","FOLR3"
"6913","FOLR4"
"6914","FOS"
"6915","FOSB"
"6916","FOSL1"
"6917","FOSL2"
"6918","FOXA1"
"6919","FOXA2"
"6920","FOXA3"
"6921","FOXB1"
"6922","FOXB2"
"6923","FOXC1"
"6924","FOXC2"
"6925","FOXD1"
"6926","FOXD2"
"6927","FOXD3"
"6928","FOXD4"
"6929","FOXD4L1"
"6930","FOXD4L2"
"6931","FOXD4L3"
"6932","FOXE1"
"6933","FOXE3"
"6934","FOXF1"
"6935","FOXF2"
"6936","FOXG1"
"6937","FOXH1"
"6938","FOXI1"
"6939","FOXI2"
"6940","FOXI3"
"6941","FOXJ1"
"6942","FOXJ2"
"6943","FOXJ3"
"6944","FOXK1"
"6945","FOXK2"
"6946","FOXL1"
"6947","FOXL2"
"6948","FOXM1"
"6949","FOXN1"
"6950","FOXN2"
"6951","FOXN3"
"6952","FOXN4"
"6953","FOXO1"
"6954","FOXO3"
"6955","FOXO3B"
"6956","FOXO4"
"6957","FOXO6"
"6958","FOXP1"
"6959","FOXP2"
"6960","FOXP3"
"6961","FOXP4"
"6962","FOXQ1"
"6963","FOXR1"
"6964","FOXR2"
"6965","FOXRED1"
"6966","FOXRED2"
"6967","FOXS1"
"6968","FP6628"
"6969","FPGS"
"6970","FPGT"
"6971","FPR1"
"6972","FPR2"
"6973","FPR3"
"6974","FRA10AC1"
"6975","FRAS1"
"6976","FRAT1"
"6977","FRAT2"
"6978","FREM1"
"6979","FREM2"
"6980","FREM3"
"6981","FRG1"
"6982","FRG1B"
"6983","FRG2"
"6984","FRG2B"
"6985","FRG2C"
"6986","FRK"
"6987","FRMD1"
"6988","FRMD3"
"6989","FRMD4A"
"6990","FRMD4B"
"6991","FRMD5"
"6992","FRMD6"
"6993","FRMD7"
"6994","FRMD8"
"6995","FRMPD1"
"6996","FRMPD2"
"6997","FRMPD2P1"
"6998","FRMPD3"
"6999","FRMPD4"
"7000","FRRS1"
"7001","FRS2"
"7002","FRS3"
"7003","FRY"
"7004","FRYL"
"7005","FRZB"
"7006","FSCB"
"7007","FSCN1"
"7008","FSCN2"
"7009","FSCN3"
"7010","FSD1"
"7011","FSD1L"
"7012","FSD2"
"7013","FSHB"
"7014","FSHR"
"7015","FSIP1"
"7016","FSIP2"
"7017","FST"
"7018","FSTL3"
"7019","FSTL4"
"7020","FSTL5"
"7021","FTCD"
"7022","FTH1"
"7023","FTH1P3"
"7024","FTH1P5"
"7025","FTHL17"
"7026","FTL"
"7027","FTMT"
"7028","FTO"
"7029","FTSJ1"
"7030","FTSJ2"
"7031","FTSJ3"
"7032","FTSJD1"
"7033","FTSJD2"
"7034","FUBP1"
"7035","FUBP3"
"7036","FUCA1"
"7037","FUCA2"
"7038","FUK"
"7039","FUNDC1"
"7040","FUNDC2"
"7041","FUNDC2P2"
"7042","FURIN"
"7043","FUS"
"7044","FUT1"
"7045","FUT10"
"7046","FUT11"
"7047","FUT2"
"7048","FUT3"
"7049","FUT4"
"7050","FUT5"
"7051","FUT6"
"7052","FUT7"
"7053","FUT8"
"7054","FUT9"
"7055","FUZ"
"7056","FXC1"
"7057","FXN"
"7058","FXR1"
"7059","FXR2"
"7060","FXYD1"
"7061","FXYD2"
"7062","FXYD3"
"7063","FXYD4"
"7064","FXYD5"
"7065","FXYD6"
"7066","FXYD7"
"7067","FYB"
"7068","FYCO1"
"7069","FYN"
"7070","FYTTD1"
"7071","FZD1"
"7072","FZD10"
"7073","FZD2"
"7074","FZD3"
"7075","FZD4"
"7076","FZD5"
"7077","FZD6"
"7078","FZD7"
"7079","FZD8"
"7080","FZD9"
"7081","FZR1"
"7082","G0S2"
"7083","G2E3"
"7084","G3BP1"
"7085","G3BP2"
"7086","G6PC"
"7087","G6PC2"
"7088","G6PC3"
"7089","G6PD"
"7090","GAA"
"7091","GAB1"
"7092","GAB2"
"7093","GAB3"
"7094","GAB4"
"7095","GABARAP"
"7096","GABARAPL1"
"7097","GABARAPL2"
"7098","GABARAPL3"
"7099","GABBR1"
"7100","GABBR2"
"7101","GABPA"
"7102","GABPB1"
"7103","GABPB2"
"7104","GABRA1"
"7105","GABRA2"
"7106","GABRA3"
"7107","GABRA4"
"7108","GABRA5"
"7109","GABRA6"
"7110","GABRB1"
"7111","GABRB2"
"7112","GABRB3"
"7113","GABRD"
"7114","GABRE"
"7115","GABRG1"
"7116","GABRG2"
"7117","GABRG3"
"7118","GABRP"
"7119","GABRQ"
"7120","GABRR1"
"7121","GABRR2"
"7122","GABRR3"
"7123","GAD1"
"7124","GAD2"
"7125","GADD45A"
"7126","GADD45B"
"7127","GADD45G"
"7128","GADD45GIP1"
"7129","GADL1"
"7130","GAFA1"
"7131","GAFA2"
"7132","GAFA3"
"7133","GAGE1"
"7134","GAGE10"
"7135","GAGE12B"
"7136","GAGE12F"
"7137","GAGE13"
"7138","GAGE2A"
"7139","GAK"
"7140","GAL"
"7141","GAL3ST1"
"7142","GAL3ST2"
"7143","GAL3ST3"
"7144","GAL3ST4"
"7145","GALC"
"7146","GALE"
"7147","GALK1"
"7148","GALK2"
"7149","GALM"
"7150","GALNS"
"7151","GALNT1"
"7152","GALNT10"
"7153","GALNT11"
"7154","GALNT12"
"7155","GALNT13"
"7156","GALNT14"
"7157","GALNT2"
"7158","GALNT3"
"7159","GALNT4"
"7160","GALNT5"
"7161","GALNT6"
"7162","GALNT7"
"7163","GALNT8"
"7164","GALNT9"
"7165","GALNTL1"
"7166","GALNTL2"
"7167","GALNTL4"
"7168","GALNTL5"
"7169","GALNTL6"
"7170","GALP"
"7171","GALR1"
"7172","GALR2"
"7173","GALR3"
"7174","GALT"
"7175","GAMT"
"7176","GAN"
"7177","GANAB"
"7178","GANC"
"7179","GAP43"
"7180","GAPDH"
"7181","GAPDHP62"
"7182","GAPDHS"
"7183","GAPT"
"7184","GAPVD1"
"7185","GAR1"
"7186","GARNL3"
"7187","GARS"
"7188","GART"
"7189","GAS1"
"7190","GAS2"
"7191","GAS2L1"
"7192","GAS2L2"
"7193","GAS2L3"
"7194","GAS5"
"7195","GAS6"
"7196","GAS7"
"7197","GAS8"
"7198","GAST"
"7199","GATA1"
"7200","GATA2"
"7201","GATA3"
"7202","GATA4"
"7203","GATA5"
"7204","GATA6"
"7205","GATAD1"
"7206","GATAD2A"
"7207","GATAD2B"
"7208","GATC"
"7209","GATM"
"7210","GATS"
"7211","GATSL1"
"7212","GATSL3"
"7213","GBA"
"7214","GBA2"
"7215","GBA3"
"7216","GBAP1"
"7217","GBAS"
"7218","GBE1"
"7219","GBF1"
"7220","GBGT1"
"7221","GBP1"
"7222","GBP2"
"7223","GBP3"
"7224","GBP4"
"7225","GBP5"
"7226","GBP6"
"7227","GBP7"
"7228","GBX1"
"7229","GBX2"
"7230","GC"
"7231","GCA"
"7232","GCAT"
"7233","GCC1"
"7234","GCC2"
"7235","GCDH"
"7236","GCET2"
"7237","GCFC1"
"7238","GCG"
"7239","GCGR"
"7240","GCH1"
"7241","GCHFR"
"7242","GCK"
"7243","GCKR"
"7244","GCLC"
"7245","GCLM"
"7246","GCM1"
"7247","GCM2"
"7248","GCN1L1"
"7249","GCNT1"
"7250","GCNT2"
"7251","GCNT3"
"7252","GCNT4"
"7253","GCNT7"
"7254","GCOM1"
"7255","GCSH"
"7256","GDA"
"7257","GDAP1"
"7258","GDAP1L1"
"7259","GDAP2"
"7260","GDE1"
"7261","GDEP"
"7262","GDF1"
"7263","GDF10"
"7264","GDF11"
"7265","GDF15"
"7266","GDF2"
"7267","GDF3"
"7268","GDF5"
"7269","GDF5OS"
"7270","GDF6"
"7271","GDF7"
"7272","GDF9"
"7273","GDI1"
"7274","GDI2"
"7275","GDNF"
"7276","GDPD1"
"7277","GDPD2"
"7278","GDPD3"
"7279","GDPD4"
"7280","GDPD5"
"7281","GEM"
