NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MODULE_414	17	17		
MODULE_415	13		Rejected!	
MODULE_416	23	23		
MODULE_417	22	22		
MODULE_418	60	59		
MODULE_419	34	34		
MODULE_421	28	28		
MODULE_424	18	18		
MODULE_426	88	88		
MODULE_427	116	115		
MODULE_429	14		Rejected!	
MODULE_430	55	55		
MODULE_431	15	15		
MODULE_432	15	15		
MODULE_433	61	61		
MODULE_436	138	130		
MODULE_438	68	66		
MODULE_439	21	21		
MODULE_440	19	19		
MODULE_444	18	18		
MODULE_445	15	15		
MODULE_447	38	38		
MODULE_448	45	45		
MODULE_451	33	33		
MODULE_453	44	44		
MODULE_454	10		Rejected!	
MODULE_455	39	39		
MODULE_456	112	110		
MODULE_457	10		Rejected!	
MODULE_458	38	38		
MODULE_459	431	425		
MODULE_462	15	15		
MODULE_464	14		Rejected!	
MODULE_465	16	16		
MODULE_470	16	16		
MODULE_471	10		Rejected!	
MODULE_474	17	17		
MODULE_478	19	19		
MODULE_480	98	97		
MODULE_481	89	89		
MODULE_484	42	42		
MODULE_485	52	52		
MODULE_486	100	99		
MODULE_488	29	29		
MODULE_489	32	32		
MODULE_491	79	79		
MODULE_492	17	17		
MODULE_493	69	68		
MODULE_495	16	16		
MODULE_497	29	29		
MODULE_500	29	29		
MODULE_501	15	15		
MODULE_503	112	111		
MODULE_505	16	16		
MODULE_509	14		Rejected!	
MODULE_511	39	38		
MODULE_512	37	37		
MODULE_514	10		Rejected!	
MODULE_516	16	16		
MODULE_519	15	15		
MODULE_521	36	36		
MODULE_522	34	34		
MODULE_524	30	30		
MODULE_525	66	64		
MODULE_528	11		Rejected!	
MODULE_530	16	16		
MODULE_532	407	401		
MODULE_533	45	43		
MODULE_534	18	18		
MODULE_537	17	17		
MODULE_539	16	16		
MODULE_540	10		Rejected!	
MODULE_543	17	16		
MODULE_544	88	88		
MODULE_545	20	20		
MODULE_547	16	15		
MODULE_552	18	18		
MODULE_557	11		Rejected!	
MODULE_560	12		Rejected!	
MODULE_562	21	21		
MODULE_563	15	15		
MODULE_567	97	97		
MODULE_568	73	73		
MODULE_571	15	15		
MODULE_573	25	25		
MODULE_575	12		Rejected!	
MODULE_576	110	109		
