NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_563	MODULE_563		15	0.46811005	1.0374551	0.44	1.0	0.988	6463	tags=60%, list=32%, signal=88%	
MODULE_267	MODULE_267		15	0.46160784	1.0354534	0.41401273	1.0	0.988	4899	tags=40%, list=24%, signal=53%	
MODULE_470	MODULE_470		16	0.48972788	1.0351561	0.4215886	1.0	0.988	4015	tags=38%, list=20%, signal=47%	
MODULE_366	MODULE_366		32	0.33403963	1.0317966	0.4497992	1.0	0.989	2944	tags=19%, list=15%, signal=22%	
MODULE_113	MODULE_113		107	0.31738752	1.0216889	0.39370078	1.0	0.989	2902	tags=21%, list=14%, signal=25%	
MODULE_20	MODULE_20		81	0.2780844	0.9996532	0.4625984	1.0	0.991	1549	tags=9%, list=8%, signal=9%	
MODULE_448	MODULE_448		45	0.27526206	0.99620116	0.4631783	1.0	0.993	2774	tags=18%, list=14%, signal=21%	
MODULE_379	MODULE_379		202	0.2498732	0.99467987	0.44990176	1.0	0.993	1107	tags=9%, list=5%, signal=9%	
MODULE_277	MODULE_277		55	0.34278378	0.9927249	0.4920635	1.0	0.993	4269	tags=33%, list=21%, signal=41%	
MODULE_202	MODULE_202		28	0.36045504	0.99100035	0.46640316	1.0	0.993	1582	tags=11%, list=8%, signal=12%	
MODULE_368	MODULE_368		18	0.38873574	0.98779124	0.48235294	1.0	0.993	1196	tags=11%, list=6%, signal=12%	
MODULE_294	MODULE_294		18	0.4198551	0.9834152	0.47686118	1.0	0.993	2415	tags=28%, list=12%, signal=32%	
MODULE_7	MODULE_7		235	0.24555114	0.9790747	0.5029703	1.0	0.993	3229	tags=19%, list=16%, signal=23%	
MODULE_242	MODULE_242		212	0.24521002	0.9788565	0.47470817	1.0	0.993	1196	tags=9%, list=6%, signal=9%	
MODULE_249	MODULE_249		22	0.38753498	0.96325016	0.51581025	1.0	0.993	795	tags=14%, list=4%, signal=14%	
MODULE_568	MODULE_568		73	0.34138548	0.9575162	0.53100777	1.0	0.993	3736	tags=33%, list=18%, signal=40%	
MODULE_257	MODULE_257		156	0.23231478	0.94803095	0.51417005	1.0	0.993	3967	tags=21%, list=20%, signal=26%	
MODULE_445	MODULE_445		15	0.41555363	0.9475188	0.5349301	1.0	0.993	3610	tags=40%, list=18%, signal=49%	
MODULE_99	MODULE_99		355	0.28605053	0.9469625	0.55795676	1.0	0.993	2110	tags=15%, list=10%, signal=16%	
MODULE_486	MODULE_486		99	0.23439533	0.94494534	0.515625	1.0	0.993	2361	tags=13%, list=12%, signal=15%	
MODULE_235	MODULE_235		81	0.32340312	0.9402599	0.54043394	1.0	0.994	4004	tags=26%, list=20%, signal=32%	
MODULE_146	MODULE_146		99	0.36993238	0.93539566	0.54969573	1.0	0.994	4267	tags=30%, list=21%, signal=38%	
MODULE_491	MODULE_491		79	0.33910915	0.93261635	0.5631068	1.0	0.994	5588	tags=47%, list=28%, signal=64%	
MODULE_243	MODULE_243		80	0.30313903	0.92736953	0.5519231	1.0	0.994	4563	tags=28%, list=22%, signal=35%	
MODULE_281	MODULE_281		28	0.33735934	0.9272204	0.5450902	1.0	0.994	3713	tags=25%, list=18%, signal=31%	
MODULE_63	MODULE_63		209	0.3362884	0.91735375	0.57309943	1.0	0.994	1676	tags=14%, list=8%, signal=15%	
MODULE_489	MODULE_489		32	0.31339383	0.9166337	0.587269	1.0	0.994	1552	tags=16%, list=8%, signal=17%	
MODULE_87	MODULE_87		44	0.3334377	0.90755534	0.60956174	1.0	0.994	5558	tags=39%, list=27%, signal=53%	
MODULE_97	MODULE_97		96	0.28507432	0.9050149	0.5392157	1.0	0.994	5118	tags=28%, list=25%, signal=37%	
MODULE_325	MODULE_325		53	0.29139143	0.89990044	0.6197183	1.0	0.995	5079	tags=38%, list=25%, signal=50%	
MODULE_331	MODULE_331		74	0.29833815	0.89942265	0.5862069	1.0	0.995	4227	tags=30%, list=21%, signal=37%	
MODULE_218	MODULE_218		20	0.30798525	0.89655507	0.5805169	1.0	0.995	115	tags=5%, list=1%, signal=5%	
MODULE_501	MODULE_501		15	0.43002546	0.8862031	0.63709676	1.0	0.996	5635	tags=47%, list=28%, signal=65%	
MODULE_181	MODULE_181		302	0.21734223	0.88538754	0.63779527	1.0	0.996	1107	tags=8%, list=5%, signal=8%	
MODULE_438	MODULE_438		66	0.28147683	0.8775693	0.66064256	1.0	0.997	2474	tags=18%, list=12%, signal=21%	
MODULE_492	MODULE_492		17	0.38180512	0.8642678	0.6240458	1.0	0.998	5845	tags=47%, list=29%, signal=66%	
MODULE_139	MODULE_139		79	0.2794482	0.8597019	0.68085104	1.0	0.998	1052	tags=9%, list=5%, signal=9%	
MODULE_195	MODULE_195		147	0.24704503	0.8583826	0.66191447	1.0	0.998	4492	tags=24%, list=22%, signal=30%	
MODULE_343	MODULE_343		25	0.31518486	0.85525864	0.6336032	1.0	0.998	2503	tags=20%, list=12%, signal=23%	
MODULE_357	MODULE_357		80	0.3149292	0.85519654	0.6286837	1.0	0.998	1678	tags=14%, list=8%, signal=15%	
MODULE_194	MODULE_194		15	0.37962228	0.83991486	0.674	1.0	0.998	3944	tags=40%, list=19%, signal=50%	
MODULE_59	MODULE_59		27	0.3288084	0.83884484	0.75714284	1.0	0.998	1986	tags=19%, list=10%, signal=21%	
MODULE_162	MODULE_162		19	0.30213594	0.83818585	0.7221135	1.0	0.998	115	tags=5%, list=1%, signal=5%	
MODULE_342	MODULE_342		211	0.2591213	0.8368527	0.7308448	1.0	0.999	3391	tags=20%, list=17%, signal=24%	
MODULE_356	MODULE_356		150	0.23464297	0.81965053	0.73170733	1.0	0.999	4144	tags=21%, list=20%, signal=26%	
MODULE_104	MODULE_104		348	0.19631179	0.81526953	0.8170974	1.0	0.999	947	tags=7%, list=5%, signal=7%	
MODULE_261	MODULE_261		98	0.26642016	0.813646	0.6944444	1.0	0.999	4476	tags=29%, list=22%, signal=36%	
MODULE_373	MODULE_373		22	0.39678395	0.8117301	0.6982592	1.0	0.999	3914	tags=32%, list=19%, signal=39%	
MODULE_285	MODULE_285		48	0.22007833	0.8068594	0.7504873	1.0	0.999	3117	tags=17%, list=15%, signal=20%	
MODULE_43	MODULE_43		99	0.28509474	0.80204606	0.706	1.0	0.999	5013	tags=29%, list=25%, signal=39%	
MODULE_301	MODULE_301		155	0.3029552	0.8015722	0.71115535	1.0	0.999	2674	tags=23%, list=13%, signal=27%	
MODULE_462	MODULE_462		15	0.3992564	0.7937036	0.73221755	1.0	0.999	147	tags=7%, list=1%, signal=7%	
MODULE_371	MODULE_371		26	0.29802632	0.7881812	0.7606491	1.0	0.999	3383	tags=23%, list=17%, signal=28%	
MODULE_495	MODULE_495		16	0.3582367	0.7863913	0.78612715	1.0	0.999	2316	tags=25%, list=11%, signal=28%	
MODULE_94	MODULE_94		366	0.2450226	0.78616667	0.7677165	1.0	0.999	2411	tags=14%, list=12%, signal=16%	
MODULE_154	MODULE_154		75	0.29019356	0.78389657	0.7326733	1.0	0.999	2467	tags=16%, list=12%, signal=18%	
MODULE_279	MODULE_279		141	0.22305372	0.77807367	0.7830375	1.0	0.999	2595	tags=15%, list=13%, signal=17%	
MODULE_297	MODULE_297		80	0.2823187	0.773243	0.7475345	1.0	0.999	1678	tags=13%, list=8%, signal=14%	
MODULE_525	MODULE_525		64	0.26703715	0.76983213	0.7645875	1.0	0.999	4694	tags=30%, list=23%, signal=39%	
MODULE_544	MODULE_544		88	0.2251352	0.766022	0.840691	1.0	0.999	2392	tags=13%, list=12%, signal=14%	
MODULE_238	MODULE_238		161	0.28855643	0.76578885	0.76	1.0	0.999	2674	tags=22%, list=13%, signal=26%	
MODULE_481	MODULE_481		89	0.2242532	0.76533884	0.85384613	1.0	0.999	2392	tags=12%, list=12%, signal=14%	
MODULE_4	MODULE_4		21	0.28818128	0.76352036	0.7108434	1.0	0.999	4497	tags=29%, list=22%, signal=37%	
MODULE_256	MODULE_256		60	0.22166894	0.75820154	0.7826923	1.0	0.999	7471	tags=47%, list=37%, signal=74%	
MODULE_220	MODULE_220		332	0.25235292	0.75412405	0.82723576	1.0	0.999	1738	tags=12%, list=9%, signal=13%	
MODULE_340	MODULE_340		26	0.2761222	0.7517595	0.81237525	1.0	0.999	4747	tags=35%, list=23%, signal=45%	
MODULE_12	MODULE_12		357	0.2874065	0.7400224	0.76666665	1.0	0.999	3102	tags=22%, list=15%, signal=26%	
MODULE_145	MODULE_145		108	0.27158764	0.73626065	0.7734375	1.0	0.999	2674	tags=19%, list=13%, signal=22%	
MODULE_157	MODULE_157		106	0.23177677	0.73577476	0.8666667	1.0	0.999	1196	tags=8%, list=6%, signal=8%	
MODULE_497	MODULE_497		29	0.2976988	0.72701806	0.87814313	1.0	0.999	3097	tags=28%, list=15%, signal=33%	
MODULE_147	MODULE_147		107	0.21422404	0.72623235	0.8531187	1.0	0.999	4449	tags=22%, list=22%, signal=29%	
MODULE_419	MODULE_419		34	0.309963	0.7208619	0.7292929	1.0	0.999	3746	tags=24%, list=18%, signal=29%	
MODULE_14	MODULE_14		15	0.353391	0.7205788	0.84016395	1.0	0.999	3539	tags=27%, list=17%, signal=32%	
MODULE_362	MODULE_362		21	0.33028063	0.72007114	0.83064514	1.0	0.999	3539	tags=24%, list=17%, signal=29%	
MODULE_166	MODULE_166		52	0.22455342	0.71602213	0.86105675	1.0	0.999	7431	tags=52%, list=37%, signal=82%	
MODULE_226	MODULE_226		27	0.27715963	0.71510035	0.8214286	1.0	0.999	2936	tags=22%, list=14%, signal=26%	
MODULE_358	MODULE_358		78	0.24704136	0.71468586	0.81557375	0.99414515	0.999	4694	tags=29%, list=23%, signal=38%	
MODULE_516	MODULE_516		16	0.33803928	0.7014709	0.8960499	1.0	0.999	3539	tags=25%, list=17%, signal=30%	
MODULE_116	MODULE_116		28	0.24786536	0.69381446	0.7572017	1.0	0.999	7251	tags=50%, list=36%, signal=78%	
MODULE_51	MODULE_51		36	0.27639642	0.693783	0.8888889	1.0	0.999	3991	tags=28%, list=20%, signal=35%	
MODULE_361	MODULE_361		146	0.27032077	0.6895417	0.8379447	1.0	0.999	2674	tags=21%, list=13%, signal=24%	
MODULE_233	MODULE_233		22	0.2638216	0.6882399	0.77327937	0.9960677	0.999	2684	tags=18%, list=13%, signal=21%	
MODULE_453	MODULE_453		44	0.21313858	0.66700697	0.9145631	1.0	0.999	3908	tags=23%, list=19%, signal=28%	
MODULE_178	MODULE_178		17	0.322329	0.6655922	0.8987854	1.0	0.999	3539	tags=24%, list=17%, signal=28%	
MODULE_307	MODULE_307		25	0.27911296	0.6578494	0.8096234	1.0	0.999	6743	tags=44%, list=33%, signal=66%	
MODULE_80	MODULE_80		32	0.2686098	0.657411	0.9271255	1.0	0.999	3991	tags=28%, list=20%, signal=35%	
MODULE_2	MODULE_2		380	0.2774614	0.6550979	0.8355641	1.0	0.999	2766	tags=19%, list=14%, signal=22%	
MODULE_93	MODULE_93		182	0.23564655	0.65418214	0.8562874	0.9977434	0.999	3157	tags=15%, list=16%, signal=18%	
MODULE_82	MODULE_82		24	0.24482852	0.65222216	0.7955912	0.9929986	0.999	6578	tags=42%, list=32%, signal=62%	
MODULE_327	MODULE_327		21	0.27437192	0.64622533	0.8666667	0.99274963	0.999	147	tags=5%, list=1%, signal=5%	
MODULE_519	MODULE_519		15	0.25710365	0.6453629	0.872093	0.98664963	0.999	3811	tags=27%, list=19%, signal=33%	
MODULE_112	MODULE_112		260	0.2325695	0.6431106	0.9765166	0.98230475	0.999	2708	tags=16%, list=13%, signal=18%	
MODULE_176	MODULE_176		230	0.23169492	0.63228077	0.9861111	0.98832124	1.0	2708	tags=16%, list=13%, signal=18%	
MODULE_42	MODULE_42		25	0.24381077	0.62263745	0.7927063	0.9915752	1.0	6677	tags=44%, list=33%, signal=65%	
MODULE_212	MODULE_212		328	0.20437728	0.6110025	0.96070725	0.9968573	1.0	2662	tags=14%, list=13%, signal=16%	
MODULE_19	MODULE_19		311	0.24314106	0.6084287	0.892	0.99257207	1.0	2446	tags=16%, list=12%, signal=18%	
MODULE_306	MODULE_306		26	0.22273055	0.59566414	0.8535156	0.9984709	1.0	5909	tags=35%, list=29%, signal=49%	
MODULE_524	MODULE_524		30	0.25492117	0.5901882	0.8625498	0.9963843	1.0	3746	tags=23%, list=18%, signal=29%	
MODULE_122	MODULE_122		141	0.2646193	0.5776534	0.92899406	1.0	1.0	1882	tags=13%, list=9%, signal=15%	
MODULE_199	MODULE_199		56	0.23532324	0.5765082	0.9663366	0.9952684	1.0	2392	tags=18%, list=12%, signal=20%	
MODULE_85	MODULE_85		50	0.23334013	0.57323897	0.9839357	0.9910118	1.0	2392	tags=16%, list=12%, signal=18%	
MODULE_40	MODULE_40		82	0.21373633	0.5731103	0.95703125	0.98451936	1.0	3954	tags=20%, list=19%, signal=24%	
MODULE_86	MODULE_86		43	0.22438237	0.5569274	0.8908382	0.9904399	1.0	5558	tags=40%, list=27%, signal=54%	
MODULE_27	MODULE_27		350	0.22070958	0.5380886	0.97795594	0.996851	1.0	2392	tags=13%, list=12%, signal=14%	
MODULE_77	MODULE_77		28	0.2075531	0.5344626	0.86534655	0.9928012	1.0	6743	tags=43%, list=33%, signal=64%	
MODULE_247	MODULE_247		37	0.22612509	0.5334775	0.9920792	0.9870934	1.0	1081	tags=5%, list=5%, signal=6%	
MODULE_363	MODULE_363		49	0.1732116	0.531073	0.9488636	0.98185647	1.0	6715	tags=41%, list=33%, signal=61%	
MODULE_367	MODULE_367		29	0.22353134	0.5037953	0.9843137	0.99188757	1.0	1256	tags=10%, list=6%, signal=11%	
MODULE_201	MODULE_201		50	0.18867496	0.5004661	0.9666012	0.9874033	1.0	5686	tags=24%, list=28%, signal=33%	
MODULE_62	MODULE_62		88	0.15876922	0.45716074	0.93503934	0.9989744	1.0	7073	tags=39%, list=35%, signal=59%	
MODULE_22	MODULE_22		44	0.15648228	0.44937876	0.91698843	0.99504375	1.0	7043	tags=41%, list=35%, signal=63%	
MODULE_352	MODULE_352		17	0.1860127	0.42137742	0.9558233	0.99670106	1.0	5271	tags=24%, list=26%, signal=32%	
MODULE_153	MODULE_153		34	0.123907804	0.33562	1.0	1.0	1.0	17780	tags=100%, list=88%, signal=807%	
MODULE_152	MODULE_152		123	0.10792241	0.33211806	0.99211043	0.9971869	1.0	6225	tags=25%, list=31%, signal=36%	
