"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"18","PADIRB",8.780684,5.246276,6.729484,8.504732,8.917979,8.144489,9.305751,9.38643,9.20721,4.57099,4.9388,3.846014,8.404191,9.722364,7.36193,"EFS_L5"
"19","PADKFS",8.211301,6.427612,8.40268,8.561013,8.530203,7.796861,8.568223,9.179449,9.121658,6.318588,5.625072,5.998479,8.268614,8.492098,7.64877,"EFS_L5"
"20","PADKFU",8.196988,5.012217,6.620028,7.851868,8.844669,9.246598,8.990467,8.867202,9.290115,4.540994,4.71942,3.858942,7.548356,8.179315,7.099024,"EFS_G5"
"21","PADKGF",7.484011,6.413621,6.252713,7.305297,8.052352,7.372196,8.871675,9.180459,8.258482,6.571925,4.898808,7.132944,8.409798,8.475788,8.291088,"EFS_G5"
"22","PADKNE",8.714159,5.529574,6.631236,8.057707,8.89288,6.905287,9.40664,9.514046,9.728385,4.626277,4.942374,3.850608,8.069082,8.998425,6.902446,"EFS_L5"
"23","PADKRU",7.333385,5.386531,7.491569,6.791809,8.254935,6.518495,8.401024,8.82336,8.803197,5.428221,5.229046,4.275133,7.269335,7.816443,7.092848,"EFS_L5"
"24","PADKVV",7.881245,5.030817,7.43395,7.709345,8.484255,8.011285,8.477432,8.8273,8.659475,5.064438,5.3587,5.229739,7.82575,7.763152,7.516778,"EFS_L5"
"25","PADKXS",8.281551,4.888978,6.449872,7.55998,9.152966,9.972287,9.059723,8.869374,7.7538,4.435437,4.870675,3.760185,8.376964,8.516269,7.110435,"EFS_L5"
"26","PADKYP",7.933684,5.286612,6.24823,7.311247,7.887535,6.943468,8.347044,8.696849,7.75311,6.595868,5.407189,6.584375,7.520985,8.183264,7.584632,"EFS_L5"
"27","PADLDA",7.334677,5.258827,6.367196,7.055077,7.958256,8.80998,8.44537,8.690289,7.971719,5.417469,4.892216,6.099968,8.147698,7.714999,8.151805,"EFS_L5"
"28","PADLDT",7.960769,6.580753,6.424345,6.970907,8.701423,7.582061,8.044543,8.556793,8.583055,4.598047,4.759798,3.835136,7.189809,8.490831,7.059213,"EFS_L5"
"29","PADLES",8.690249,4.939239,7.137354,6.599911,8.850162,8.164355,9.351142,9.264862,9.466522,5.553911,6.141556,4.937988,8.809806,9.442777,7.738731,"EFS_L5"
"30","PADLIC",8.043485,6.327683,7.379711,6.946897,7.717856,8.159639,8.472166,8.683334,9.211696,5.006824,4.708053,4.198141,7.879315,8.901059,6.74584,"EFS_G5"
"31","PADLJN",7.935693,5.847921,7.885741,7.390243,8.862108,7.822239,8.464378,8.837328,9.161471,4.741043,5.321701,4.514508,7.867632,8.661194,7.208193,"EFS_L5"
"32","PADLKJ",8.027818,6.089651,6.504194,7.699502,8.254971,8.724342,8.566944,9.010937,8.645227,5.371525,4.811716,5.578915,7.177953,8.521055,7.436223,"EFS_L5"
"33","PADLNM",7.81603,4.794314,6.583608,7.464577,8.486924,8.057838,9.322425,9.493515,9.579976,5.147521,4.544081,4.296487,8.011388,9.196755,6.914524,"EFS_L5"
"34","PADLPR",9.164403,4.919636,6.663671,7.610099,8.022378,7.506268,8.562221,8.299823,8.603713,4.567319,4.791522,3.957048,7.474727,8.731092,7.149334,"EFS_L5"
"35","PADLPZ",9.169259,5.093363,7.542056,8.378232,8.800061,7.686051,8.471335,9.056974,9.258511,4.752306,5.168136,4.019208,7.734189,8.327571,6.790327,"EFS_L5"
"36","PADLTD",8.73476,4.960845,6.331582,7.767442,8.306154,7.726878,8.360186,8.238311,8.969912,4.453616,4.766717,4.257294,7.375091,8.461605,7.245434,"EFS_L5"
"37","PADMGA",7.434522,6.63558,8.093194,7.669674,8.133772,6.128893,8.489379,9.028741,8.426957,6.612103,6.178197,6.834929,8.253991,7.796586,8.686866,"EFS_L5"
"38","PADMTD",7.781707,6.553045,6.538129,7.058515,8.458545,8.703448,9.29089,9.068584,8.970289,4.89567,5.776857,3.781922,7.258428,8.437313,6.816509,"EFS_L5"
"39","PADMVB",7.755855,5.342286,7.747502,7.85572,8.501589,6.430871,8.505186,8.614319,8.924782,5.224437,5.662628,4.306723,7.392747,8.224844,6.981218,"EFS_L5"
"40","PADMXD",7.643273,4.915232,6.248221,7.803626,8.981292,9.834279,8.894157,9.204841,9.270143,5.304906,5.10699,4.414657,7.684105,8.654526,7.456141,"EFS_L5"
"41","PADMYD",7.290635,5.416087,7.340833,7.202686,8.889168,7.871714,8.476956,8.887963,8.758874,5.246721,5.513677,4.956658,7.651685,8.160023,7.296784,"EFS_L5"
"42","PADNFT",8.481078,5.593711,7.013064,7.613417,8.991168,7.847655,9.236742,8.900504,9.65302,4.921263,5.242385,4.244483,7.855188,8.381302,7.118012,"EFS_L5"
"43","PADNNX",8.260645,6.794798,7.788839,7.815025,9.043647,8.289613,8.800478,8.933391,9.123724,5.594779,5.383797,4.543943,7.853612,8.716927,7.413394,"EFS_L5"
"44","PADNXC",7.749033,5.079498,6.49194,7.237826,8.197726,9.197164,8.575848,8.817937,8.333227,4.326416,4.897836,4.248874,7.315871,8.274708,6.86151,"EFS_L5"
"45","PADPCI",9.135724,4.899039,7.5538,8.211576,9.086996,8.929656,9.035681,9.444054,9.689885,4.527232,6.355806,3.823587,8.546736,8.620275,7.450068,"EFS_L5"
"46","PADPEY",8.20806,5.883456,6.489567,7.440436,8.43409,7.301307,8.043354,7.902503,8.384308,4.366524,4.876957,3.727577,7.725608,8.403335,6.728499,"EFS_G5"
"47","PADPHP",8.508729,5.159156,6.622421,7.558303,8.235879,9.654284,8.58156,8.96569,9.125287,4.539444,5.127421,4.048723,7.887465,8.109024,7.197354,"EFS_L5"
"48","PADPMU",9.423635,6.870973,7.143384,8.437344,8.808926,7.004102,8.225209,8.854999,8.937342,4.379281,5.298513,3.95692,7.372713,8.775081,7.309457,"EFS_L5"
"49","PADPRJ",9.101911,5.140262,7.551647,8.686289,8.497372,7.468463,9.116682,8.928751,9.458865,4.90669,4.957397,4.661471,7.919334,8.988709,7.131395,"EFS_L5"
"50","PADRYN",7.294424,5.190593,6.712181,6.927659,7.762849,5.701921,7.644927,7.448038,8.356413,4.820264,5.045494,3.727412,6.029916,7.974489,6.650552,"EFS_L5"
"51","PADSEC",7.776156,5.741517,7.727518,6.897635,8.482016,8.510495,8.859573,9.625199,9.271732,5.027277,5.519001,4.206501,8.031567,8.828477,6.97895,"EFS_L5"
"52","PADSMF",8.201927,6.048422,7.016417,7.010444,8.563081,7.714568,8.807565,8.878412,9.091559,4.873007,5.156979,4.155393,7.524893,8.032123,7.541493,"EFS_G5"
"53","PADSXE",8.887203,5.761004,8.37831,8.771328,9.057853,7.714722,9.094069,9.286784,9.694693,5.170658,4.956277,4.455429,8.347082,9.134928,7.957942,"EFS_G5"
"54","PADSXU",7.855987,4.743912,6.32749,7.324546,8.892398,8.440996,8.699343,9.244703,8.902683,6.531215,4.952711,5.465927,8.138553,9.237849,7.946164,"EFS_L5"
"55","PADTCU",8.258682,5.35943,8.454672,8.045206,8.429873,6.508682,8.170735,8.703444,8.918207,5.073407,5.23947,4.756512,7.672164,7.881291,6.588725,"EFS_L5"
"56","PADTJJ",7.763149,8.452933,6.402326,7.718945,8.339769,7.215105,8.793345,8.652959,9.315981,4.490479,4.767323,3.916998,8.171774,8.364096,6.962969,"EFS_G5"
"57","PADTRV",8.670547,6.475312,7.983212,7.855001,8.713668,7.758788,8.268969,8.438648,9.504101,5.346534,5.217888,4.806237,7.901048,7.963472,7.281167,"EFS_G5"
"58","PADUKP",8.460737,4.928246,6.485904,7.846982,8.482182,8.937854,8.12188,8.445777,9.248346,4.66041,4.938173,3.973445,8.062992,8.318076,7.013556,"EFS_L5"
"59","PADUWR",9.618031,6.471514,6.691254,8.664022,9.485697,8.645011,8.960008,9.741301,9.647446,5.001394,6.969431,4.261458,8.873248,8.852323,7.875767,"EFS_G5"
"60","PADUYJ",8.52398,5.602399,6.381131,7.737766,8.358799,8.624858,8.998138,8.730343,9.368468,4.729079,4.861986,3.928613,7.209992,7.988846,7.134452,"EFS_L5"
"61","PADVSN",8.170393,5.278503,7.131258,6.742726,8.826701,6.88246,8.056572,8.539825,8.65795,4.936129,5.825211,4.450886,6.994846,7.708156,7.11909,"EFS_G5"
"62","PADVWW",9.482466,5.73731,6.929258,7.984315,8.783324,7.89107,9.174581,8.744506,9.437159,5.706989,5.247608,4.663226,8.298213,8.594675,7.297758,"EFS_G5"
"63","PADWEN",8.461359,5.320084,6.32154,7.396514,8.317465,6.6533,8.718778,8.635085,8.074164,4.395896,6.40682,3.744339,7.413253,7.684621,6.466803,"EFS_L5"
"64","PADWIM",6.719756,5.688631,8.079424,7.579893,8.934283,8.080301,8.376076,8.878287,8.980828,5.842923,6.19774,5.524077,7.817868,8.899867,7.198917,"EFS_L5"
"65","PADWSM",7.913134,5.019743,7.128932,8.174989,9.521877,7.303047,9.100368,10.134316,9.492223,5.732403,5.655628,4.952274,8.455494,8.715413,8.112694,"EFS_G5"
"66","PADWVR",7.932105,6.034198,7.161443,7.304463,8.106118,6.347032,9.010979,8.541207,9.604643,5.009403,5.556447,3.776703,8.207273,8.522882,7.301485,"EFS_G5"
"67","PADXAS",8.101729,5.07634,7.168729,7.916588,9.093803,7.685259,8.68245,8.742729,9.252706,5.52984,5.535847,5.162889,8.094104,8.07341,7.297958,"EFS_G5"
"68","PADXBB",7.499748,5.581277,6.919922,7.525788,7.863076,5.896831,7.576125,8.045975,7.551917,5.142213,5.39098,4.567076,6.765224,8.048355,7.100416,"EFS_L5"
"69","PAIDJS",9.312186,6.426209,6.661804,7.723369,8.892115,8.095607,8.57454,9.054107,8.620587,4.604641,6.002133,4.937476,8.053245,8.186864,7.449103,"EFS_G5"
"70","PAIEIF",9.048925,7.955756,6.853648,8.55739,9.03153,9.977794,8.581722,9.165394,9.318863,5.645296,6.553858,4.673723,8.630157,9.43538,6.639037,"EFS_L5"
"71","PAILZJ",8.013914,4.932591,7.962245,7.587913,8.754102,8.524724,7.748104,9.168074,8.333387,5.548895,5.232383,5.037899,7.709434,8.373776,7.462035,"EFS_L5"
"72","PAIMDS",7.966241,6.011747,7.86823,7.650494,8.878837,7.851297,9.189346,9.461179,9.814018,6.277232,5.855907,5.819809,8.279038,9.312638,7.698551,"EFS_L5"
"73","PAIPGU",7.296294,4.706358,7.285945,6.705439,8.826352,9.085874,8.659847,8.916868,9.597065,4.542782,5.012258,4.317669,7.901045,8.711828,6.974531,"EFS_L5"
"74","PAIPUD",8.698192,5.748407,7.513923,8.009843,9.085777,8.668135,9.016011,8.88762,9.34958,5.868109,5.893496,4.919784,8.35015,8.898333,7.501648,"EFS_G5"
"75","PAIRDP",8.037996,4.938449,6.338732,7.496779,8.679783,8.38714,9.043715,8.595618,9.171823,4.770773,4.853334,3.793467,7.938452,8.311448,6.459357,"EFS_L5"
"76","PAIRIK",8.966469,6.42251,7.309266,8.195077,9.145488,8.404117,8.554062,8.570958,9.203292,4.797458,5.669809,3.813577,7.773428,8.707407,7.497109,"EFS_G5"
"77","PAIRLN",8.746795,4.895153,6.539001,8.090764,8.411668,7.61294,8.488215,8.592459,8.942376,5.459163,5.691265,4.879431,7.356514,8.635014,7.503052,"EFS_G5"
"78","PAISNS",8.654053,4.932056,6.476074,7.347148,8.84689,8.109533,8.78831,9.157727,8.995643,4.16758,4.792107,3.727991,6.923489,8.416261,6.754318,"EFS_L5"
"79","PAITCI",7.401158,7.49868,7.022162,6.630374,8.276457,8.359799,8.5218,8.687386,9.08885,5.515091,4.978187,3.866156,6.99439,8.577716,6.903932,"EFS_L5"
"80","PAITEG",7.268859,6.618858,8.044784,7.321049,7.858208,6.087328,8.126589,8.772533,7.364977,6.391132,5.166002,5.926043,7.549671,9.014139,8.386029,"EFS_L5"
"81","PAITRM",7.732282,5.010388,7.124148,6.201402,8.825124,8.556038,8.797714,8.948843,9.53444,5.008288,5.283285,4.181701,7.950468,7.971654,7.178538,"EFS_G5"
"82","PAITZV",9.672045,6.135795,7.653447,8.469557,8.092534,5.94007,8.207387,8.070783,9.143513,5.235257,5.343732,4.185059,7.320817,8.851509,7.06131,"EFS_G5"
"83","PAIUJB",8.397948,5.635381,6.26556,7.792835,8.229047,6.235694,8.908504,8.466573,9.270604,4.346813,4.721492,3.591965,8.228386,8.884869,6.757353,"EFS_L5"
"84","PAIVHE",7.957956,4.940532,7.063639,7.378384,8.326413,8.400994,7.913724,8.671633,8.443168,5.0099,5.481413,4.504921,7.50842,8.44019,7.400209,"EFS_L5"
"85","PAIVMJ",9.612458,4.975537,8.167914,8.366137,9.181228,9.263281,8.983875,9.581963,9.709297,5.54061,6.935451,4.512922,8.545141,8.771969,7.868274,"EFS_G5"
"86","PAIVZR",7.460022,5.323405,6.6139,7.503202,8.261473,7.783586,8.637682,8.41254,8.5642,4.298697,4.779456,3.975295,7.673898,8.204097,6.762716,"EFS_L5"
