"","Row.names","CDC42","CRK","EFNB2","EFNB3","EPHB3","GRB7","GRIA1","ITSN1","KALRN","KRAS","MAP2K1","MAP4K4","MAPK1","NRAS","PAK1","PIK3R1","PTK2","RAP1A","RAP1B","RASA1","SHC1","SYNJ1","WASL","EFS_fct"
"79","PAITCI",8.966586,8.865207,7.941417,8.176,6.862901,6.77996,6.303144,7.753199,7.395071,8.143937,7.752936,9.074977,8.687386,9.890776,7.10581,9.090919,8.555687,6.577057,7.888256,7.621592,9.154555,7.31317,8.479449,"EFS_L5"
"80","PAITEG",9.925513,8.532857,6.874143,6.432489,6.535024,6.32018,7.784471,7.550297,7.362311,7.831648,8.886988,8.26962,8.772533,9.322874,7.760144,8.627856,8.335087,7.951584,8.832403,7.724276,8.631818,7.35776,9.012355,"EFS_L5"
"81","PAITRM",9.357307,8.350996,8.090629,7.834735,6.888445,6.65161,8.071323,7.55093,8.372911,8.105128,7.920429,8.783887,8.948843,9.39915,7.685459,8.069729,9.004905,7.091251,8.142014,8.155603,8.047445,7.194442,8.201775,"EFS_G5"
"82","PAITZV",8.972367,8.391263,7.314838,7.57266,7.288217,6.89364,8.416387,7.487903,8.020676,7.909945,7.992853,9.057749,8.070783,9.792128,7.900366,7.388728,8.848951,6.807297,7.827073,7.301967,8.828248,7.762118,8.634087,"EFS_G5"
"83","PAIUJB",8.640286,8.188546,6.437636,6.543435,6.311131,6.48171,9.302323,8.115733,8.225435,8.333689,7.277274,9.067463,8.466573,8.738188,7.948372,8.717252,8.979189,6.862451,7.310516,8.471988,7.688685,7.752063,8.071455,"EFS_L5"
"84","PAIVHE",9.451962,8.142236,7.387705,7.38126,7.038865,6.50499,7.564609,7.012461,7.228207,8.903657,8.162994,8.341576,8.671633,9.125459,7.486831,8.738336,8.74156,6.991143,8.509302,7.262299,9.251965,7.555944,8.050382,"EFS_L5"
"85","PAIVMJ",9.61676,8.782091,8.329306,7.69984,7.376111,6.70866,8.067775,7.398475,8.466024,8.609752,7.824733,9.661405,9.581963,9.349034,8.524035,9.652335,9.341513,7.627938,8.730234,8.552096,9.142791,7.69422,8.458896,"EFS_G5"
"86","PAIVZR",8.590917,8.360887,7.785837,7.072188,6.705187,7.30798,8.186715,7.3118,7.865914,8.245233,7.776042,8.907355,8.41254,9.114006,8.302123,8.010708,8.608929,6.610776,7.2718,8.322134,8.235265,7.790243,8.053083,"EFS_L5"
"87","PAIWHU",8.923554,8.657677,8.559752,8.162182,7.267047,6.68725,8.654711,7.786428,7.975909,8.183391,8.452252,9.011826,9.034113,9.382355,8.233391,8.697194,8.882916,6.467252,7.56035,8.371844,8.5973,8.321412,8.27232,"EFS_G5"
"88","PAIWVG",8.899483,8.352066,8.252009,7.532593,7.131032,7.43518,7.952679,7.413445,7.540624,7.761389,7.768124,8.664788,8.332884,9.135361,6.886099,8.047182,8.475687,6.392428,7.62541,7.044245,8.539879,7.315306,8.021144,"EFS_L5"
"89","PAIXLC",9.385813,8.631227,7.639788,7.067392,7.311346,6.8162,8.041474,8.081734,8.418189,7.850112,8.021587,9.485932,8.859082,9.365011,8.199876,10.001395,8.867815,7.205714,8.108738,8.458815,9.753324,8.024253,8.419041,"EFS_G5"
"90","PAIXNG",8.26105,8.493149,6.951491,7.162813,8.479709,6.91435,4.832299,7.483628,7.027114,7.632574,7.652591,8.588008,8.476021,9.816944,8.719317,7.07076,8.882707,5.42218,7.597528,8.204456,8.708351,5.534126,8.109402,"EFS_L5"
"92","PAJYHP",9.254162,7.976256,8.169435,7.082444,6.551187,6.92636,8.577459,7.811495,7.995457,8.093799,7.80851,8.998774,8.772819,9.471005,7.624341,7.479534,8.486184,7.444412,7.934434,8.102232,7.933082,8.023115,8.568272,"EFS_L5"
"93","PAJYLA",9.675719,8.891802,7.918327,7.085757,6.616333,6.21466,7.106443,7.415352,7.322727,7.725448,8.162972,8.601606,8.47883,9.518262,6.897354,8.138767,8.593418,7.503382,8.25288,7.838843,9.10218,7.547201,8.431217,"EFS_L5"
"94","PAJYVA",8.307485,8.31726,7.604434,7.032363,6.55403,7.1313,7.678375,8.006652,7.726461,7.727176,7.609136,9.044422,8.204953,8.661789,7.643956,7.711403,9.023845,6.052968,7.272406,8.332532,8.659953,7.755743,7.872979,"EFS_L5"
"95","PAJZUU",8.345171,8.524697,5.80726,7.673185,6.301785,6.76962,5.459137,7.406914,6.649509,6.840601,8.08739,9.308982,8.170097,9.149188,8.142269,6.520632,8.423356,6.073375,6.800556,7.181926,8.912995,6.766165,8.511078,"EFS_L5"
"96","PAJZWL",8.823472,8.675526,8.473666,7.23758,7.200203,6.75183,7.737624,7.761078,8.02378,8.178456,7.56361,8.717412,9.320539,9.285579,7.975579,8.598417,9.119772,6.577878,7.466899,7.532006,9.127266,7.819847,8.265475,"EFS_L5"
"97","PAKACY",8.639376,8.303562,6.466824,6.849019,6.229351,6.58503,7.680358,8.039335,7.85026,7.76411,7.591226,9.045692,8.161571,8.59925,7.957646,7.738087,8.854161,6.792229,7.03911,8.946059,7.904586,8.01504,8.201193,"EFS_L5"
"98","PAKADI",9.426034,8.435613,8.234393,7.710743,8.069888,7.02214,8.406487,8.196632,8.65623,8.162234,8.087598,8.986744,9.172044,9.474779,7.766615,8.491354,8.906962,7.313863,8.331206,8.576438,8.156711,8.298499,9.263666,"EFS_L5"
"99","PAKAFK",8.634892,8.825419,7.938502,7.134118,8.237766,7.22653,6.427517,8.053772,8.189877,8.821786,8.357277,8.955597,9.274816,9.874355,8.385095,9.365447,8.390518,7.248763,8.450877,8.343668,9.535797,8.029964,9.01246,"EFS_G5"
"100","PAKANZ",9.108967,8.563706,8.475904,7.076511,6.905599,6.66297,6.646979,6.927402,8.963323,7.906218,7.690302,9.11933,8.833142,9.228369,7.266371,8.936336,8.885992,7.115442,7.890136,7.409975,8.09675,7.743359,8.30885,"EFS_L5"
"101","PAKDHL",9.28256,8.406663,7.863929,7.312635,7.343206,6.8931,5.961756,7.590209,8.685475,8.517556,7.340634,8.893614,8.872498,9.732365,8.185349,8.690272,8.06745,7.296214,7.742427,8.293875,9.962836,7.750969,8.83216,"EFS_L5"
"102","PAKGCI",9.122487,9.128087,7.693969,7.811968,7.120982,6.55974,8.320337,7.659452,8.237063,8.372032,8.056129,9.207764,9.238032,9.425108,8.422854,9.953679,8.699329,7.111525,7.983045,8.546106,9.095404,8.093119,8.47773,"EFS_G5"
"103","PAKGKH",9.435272,8.802377,9.407252,8.429119,7.919764,5.84847,8.117725,7.961382,7.661402,8.07807,8.600261,8.974271,9.311922,9.950793,7.790795,9.26457,8.275886,7.301062,8.071313,7.731208,9.612615,8.151734,8.466552,"EFS_L5"
