"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"31","PADLJN",6.450839,8.687887,8.780805,8.464378,6.177194,7.221991,8.162594,8.837328,6.801815,7.718743,8.099715,8.455318,7.063349,8.693142,8.653118,10.066478,12.040374,"EFS_L5"
"32","PADLKJ",6.580677,9.425096,8.186694,8.566944,7.705405,6.5767,7.861233,9.010937,6.999785,7.942771,8.110245,6.607831,6.914773,8.301696,8.957515,7.284658,11.697601,"EFS_L5"
"33","PADLNM",5.110973,8.643593,8.895818,9.322425,8.512471,7.341655,7.867614,9.493515,7.030131,8.711981,8.512634,6.910686,6.759105,8.065749,8.484602,9.508692,12.148952,"EFS_L5"
"34","PADLPR",5.218794,8.143628,8.44635,8.562221,8.231277,6.717096,7.475314,8.299823,7.072469,7.106653,7.416712,7.550682,6.678576,8.207594,8.814874,9.917029,11.711539,"EFS_L5"
"35","PADLPZ",6.12174,9.119285,8.556049,8.471335,7.877896,6.766395,7.911499,9.056974,7.119945,7.625069,8.013664,8.539502,6.557855,9.059684,9.259705,10.297389,12.030252,"EFS_L5"
"36","PADLTD",5.461336,8.583442,8.367532,8.360186,8.220121,6.666437,7.843267,8.238311,6.810188,8.143651,7.984446,6.839984,6.343282,8.527864,8.372832,8.714282,10.856935,"EFS_L5"
"37","PADMGA",8.571202,9.485523,8.520648,8.489379,6.739442,7.137877,8.400164,9.028741,7.140182,7.26914,8.427882,9.015829,7.246025,9.006754,8.600714,9.309057,11.721952,"EFS_L5"
"38","PADMTD",7.49068,8.123434,9.094871,9.29089,7.823337,7.794753,8.5537,9.068584,6.922903,8.333667,8.112401,6.75342,6.613976,8.752241,7.699383,7.720767,12.161254,"EFS_L5"
"39","PADMVB",5.486141,8.317336,8.408485,8.505186,6.157855,6.987178,7.814145,8.614319,6.777585,7.870344,7.5415,8.544633,6.618651,7.854515,8.398936,9.762544,11.843942,"EFS_L5"
"40","PADMXD",5.812023,8.89143,8.45111,8.894157,8.597447,7.092828,8.110308,9.204841,7.347142,8.611208,8.566282,7.814127,6.677229,8.465562,8.421942,9.325735,11.978661,"EFS_L5"
"41","PADMYD",5.089911,8.927526,8.333667,8.476956,6.203481,6.946467,8.061739,8.887963,7.06657,7.998063,7.969434,7.093721,6.949451,8.322081,8.942335,8.179545,11.568421,"EFS_L5"
"42","PADNFT",5.234629,8.958563,8.826211,9.236742,5.943573,7.132335,7.500078,8.900504,7.18264,8.233326,8.080728,8.284324,7.008819,8.204652,8.865683,9.422481,11.772215,"EFS_L5"
"43","PADNNX",6.892237,8.621653,8.697466,8.800478,6.849163,7.066741,7.879622,8.933391,7.286672,7.839347,8.837308,8.594736,7.260755,9.397616,9.383172,9.632998,11.859948,"EFS_L5"
"44","PADNXC",6.631665,8.60305,7.867842,8.575848,7.580769,6.446201,7.585477,8.817937,6.818206,8.031676,8.613477,6.875373,6.553752,8.677586,8.298165,7.833045,11.748581,"EFS_L5"
