"","Row.names","AFTPH","ARGLU1","ATP1A3","ATP8A1","AUTS2","B3GAT1","CAMK2A","CDK5R1","CHD9","CNR1","CPEB2","CREG2","CYFIP2","CYGB","DGKD","DLG4","EID1","ENDOD1","EPS15","FNDC3A","FOXP1","GNAI1","GRIA1","GSK3B","IGF1R","KIAA0100","KIAA0513","KIF5C","KLHL24","LIN7A","LRRC7","LSM11","MAP3K2","MAPRE2","MARCKS","MEG3","MIA3","MINK1","MYCBP2","NCDN","NUMBL","PBX1","PCDH19","PGM2L1","PIK3R1","PLXNC1","PPP2R2C","PRKAB2","PYGM","R3HDM1","RALGAPA1","RHOU","RICTOR","RIMBP2","RNF165","RSF1","SHOC2","SLC8A1","SMARCC2","SOBP","SP4","SPOCK2","SPTBN1","SRRM1","SRSF11","TIMP2","TMOD2","TNFRSF19","TRIM2","UBR2","ZBTB16","ZEB2","ZNF445","ZNF804A","EFS_fct"
"122","PALHVD",8.016771,9.042909,8.47852,8.193931,9.050768,6.762979,6.917173,8.364354,7.462135,7.00701,7.392879,6.490963,9.178123,7.555587,8.17873,7.892494,8.113845,5.938491,7.030121,8.770309,7.66175,7.601558,8.025224,9.015904,8.461774,8.961236,6.894725,9.198999,8.875462,5.785765,6.397137,7.61951,6.382898,7.157158,8.994664,9.400938,7.188285,7.849334,8.406142,7.811819,7.941255,9.031607,5.309781,7.909716,8.600046,8.02323,7.14187,8.429663,6.516505,7.732417,8.080687,9.089141,7.545396,9.09815,7.924682,7.083703,7.417923,8.029499,8.914007,7.769788,8.276042,7.648617,8.780349,8.21309,8.302119,9.608384,8.276689,7.329791,8.560206,7.003648,6.282168,6.272138,8.254884,9.788643,"EFS_L5"
"123","PALIIN",8.28846,9.663349,8.420256,9.092284,9.30022,6.657629,6.131129,8.27643,8.006934,5.95956,7.724405,5.715856,9.383642,7.27193,7.923389,7.584474,8.602039,6.254376,7.974412,9.148241,8.12079,8.193309,6.551515,9.526603,8.873688,9.158209,6.320265,9.418465,9.585279,4.672045,6.432576,7.44939,7.231842,7.266392,9.884331,6.20255,7.895283,7.494162,8.829147,7.621442,7.777432,8.27968,6.624801,8.614585,8.568444,8.411451,5.692709,8.061304,6.284127,8.28275,9.049728,9.113966,8.146286,9.376809,7.526686,8.183078,8.665473,8.453339,8.923566,7.499866,8.422855,7.124703,8.655907,8.383642,9.005901,9.281158,7.921199,8.392194,8.265727,8.072033,6.343884,7.460208,8.289552,9.639256,"EFS_L5"
"124","PALKKV",8.070442,9.82941,8.094234,8.624141,8.964908,7.768696,8.536577,8.753923,8.002404,8.079513,8.44812,7.324357,9.264426,7.3338,8.980067,8.357296,9.101134,7.355517,8.819408,9.043852,8.197721,8.59347,8.558079,9.471502,8.923619,9.171342,7.717265,10.300389,8.96305,5.787393,8.958529,7.565237,7.679422,8.454497,10.328519,9.641233,7.693948,8.161872,9.311297,8.381481,8.305672,9.960057,4.78354,9.853909,9.199634,9.708283,8.008935,8.115929,6.80977,8.366129,9.247073,9.294604,8.093024,9.029693,8.133839,8.380525,9.137373,7.796304,9.286444,7.787158,8.37151,9.114344,9.753905,8.403486,8.943658,10.085862,9.939989,7.318039,9.363541,7.921258,7.829066,7.785201,8.389391,10.496588,"EFS_G5"
"125","PALKUC",7.417566,8.251032,7.436312,6.751386,7.336009,6.625182,6.615743,7.997998,7.466735,5.489666,7.650009,6.244737,7.940873,7.199188,7.825352,7.185554,8.496908,7.250805,7.633317,8.260609,8.031663,6.551771,6.774046,8.284611,8.525653,8.332382,6.46209,7.41407,7.762003,5.023923,4.922622,7.843916,6.518041,6.560817,9.162547,9.093298,6.778066,7.508907,7.332722,7.880993,8.010292,8.462937,4.646866,6.845588,7.618729,7.223043,6.573711,8.108785,6.907792,6.838236,7.183513,8.223167,6.732033,8.236434,6.890877,7.46769,8.088591,6.625698,8.313692,7.048173,7.30554,6.702102,8.589094,7.832241,8.000658,10.138106,7.301511,7.076451,7.133405,6.463669,6.549016,7.228075,7.406904,6.771351,"EFS_G5"
"126","PALLJJ",8.437537,7.116884,8.785314,8.079732,7.086954,7.427051,8.033877,8.852546,7.628943,7.524585,9.069065,8.124107,10.469392,7.89612,8.588032,9.121766,9.129453,9.378268,9.870818,9.41228,7.562242,8.27916,7.629215,9.846305,9.049772,9.145979,8.345843,10.039739,8.43807,6.316947,7.720309,8.451567,8.110539,7.566679,9.458786,6.38581,8.330703,8.235014,8.253649,9.2098,8.531714,8.82512,4.713447,9.781951,8.176102,8.856448,8.441826,9.075063,6.866856,7.993158,7.996472,9.118778,8.334413,8.561641,6.816304,8.079193,9.317598,7.835013,8.666616,8.132107,7.805973,9.760665,9.803731,8.065874,7.409582,10.320388,9.310752,6.648652,9.041639,7.326325,6.486157,7.012339,7.508681,8.834676,"EFS_G5"
"127","PALNFE",7.843565,9.306892,8.886388,8.962434,9.035866,7.469896,7.149623,8.889772,8.002389,8.347712,7.897869,6.844488,9.716311,7.464507,8.047663,8.427178,8.150887,6.764706,7.886136,8.803947,8.217177,8.211674,8.541025,9.270578,8.913705,9.136547,7.188283,9.518127,8.72732,5.834965,7.803249,8.055623,7.195832,7.595841,9.501773,9.111682,7.540673,8.146411,8.89528,8.314681,8.409991,9.432658,6.170274,9.607051,9.270299,9.164743,6.82325,8.132064,6.921898,8.06344,8.409618,9.421843,8.029077,9.342688,7.476687,8.234692,8.623169,8.634928,9.135225,7.506885,8.223276,8.119763,9.094901,8.00933,8.657765,10.010737,8.818861,7.647769,9.023691,7.559006,7.26711,7.40114,8.313729,9.479288,"EFS_G5"
"128","PALNHZ",8.041638,8.942868,8.000364,8.690867,9.372839,7.652815,6.421011,8.258359,7.885846,4.901066,5.625539,6.554013,9.08771,6.29686,8.588017,7.18592,8.521481,6.294653,7.719323,8.629246,7.624428,7.876871,6.518694,8.81414,9.476454,8.534814,6.363445,9.535853,7.981776,6.11692,8.328646,7.677201,7.185189,6.647926,9.072728,8.596991,7.243768,7.752178,8.815906,8.012188,7.957376,8.414314,4.586992,7.484428,7.260221,6.47727,6.98217,8.153704,6.245462,8.069025,8.870719,8.742633,7.473015,8.129351,7.126061,8.154127,8.220142,6.669509,8.899175,7.11749,8.131428,6.813147,9.052987,8.683486,8.848368,9.273342,8.500294,8.214218,8.276779,7.066457,6.187892,7.084489,8.100794,7.933896,"EFS_L5"
"129","PALNVP",8.466859,8.538643,9.47775,8.833691,8.680281,7.780778,7.811546,9.160791,8.530061,7.926896,8.429488,7.413004,9.648467,8.386133,8.147056,8.915618,9.687807,8.244952,8.679501,9.240554,7.698436,8.031322,7.949175,9.316544,9.829778,9.056677,7.472501,9.751297,8.687791,6.632475,5.842363,8.202616,7.626241,8.251915,10.073617,9.298282,7.818662,7.993765,8.922933,8.836994,8.560848,9.44225,5.80674,9.907997,10.042348,9.160601,9.017227,8.209377,6.33469,7.909814,8.989842,9.344026,8.131271,9.120694,8.253503,8.892437,9.548489,7.736248,9.28032,8.31544,8.391203,9.329882,9.818652,8.409888,8.628346,10.218757,9.460644,7.796668,9.811883,7.788475,6.685043,7.211353,8.198537,8.408009,"EFS_G5"
"130","PALPIN",8.263574,9.465799,8.759026,9.054929,8.556636,7.544876,6.055298,8.436595,8.148908,7.493451,7.325555,7.520113,9.510286,7.474708,8.929542,7.651411,8.649574,7.391317,8.264818,8.43484,8.507301,7.972409,8.048898,9.393375,9.326126,8.789554,7.240199,10.167568,8.92822,5.691254,6.652078,7.161684,7.4465,7.557022,9.728152,9.851427,6.970092,7.906637,9.140707,8.174375,8.127626,9.722758,6.055754,9.581653,9.682768,8.985956,7.716682,8.094929,6.79478,8.155306,8.831855,9.304498,8.074268,9.078808,7.959837,8.215287,8.017487,7.784385,8.868132,7.745271,8.071224,7.603447,9.587691,8.205082,8.898785,9.85609,8.897571,6.999504,9.048405,7.901879,7.39924,8.254945,8.551129,9.848324,"EFS_G5"
"131","PALPSY",8.470027,9.22954,8.436946,9.147827,8.700278,7.525567,6.315022,8.331176,8.276304,7.085243,7.62284,7.551346,9.38009,8.11771,8.283198,7.890254,8.937622,7.428932,8.459713,8.837327,8.249711,7.929772,7.598477,9.47654,9.414591,8.99318,7.165204,9.869979,9.021433,7.14656,6.608358,7.593427,7.564379,7.797917,9.445659,9.75278,7.429134,7.983102,9.249999,8.095414,7.837027,8.672097,4.51816,9.407434,9.64678,8.890818,7.07122,8.194643,6.442065,8.330338,8.958826,8.80557,8.272336,9.734644,7.417883,8.470517,8.997967,8.325123,9.152647,7.703399,8.196859,7.285083,9.455054,8.153636,8.920429,9.969695,9.577974,8.012294,8.943744,7.784054,7.958076,7.721005,8.497135,9.527177,"EFS_G5"
