"","Row.names","AFTPH","ARGLU1","ATP1A3","ATP8A1","AUTS2","B3GAT1","CAMK2A","CDK5R1","CHD9","CNR1","CPEB2","CREG2","CYFIP2","CYGB","DGKD","DLG4","EID1","ENDOD1","EPS15","FNDC3A","FOXP1","GNAI1","GRIA1","GSK3B","IGF1R","KIAA0100","KIAA0513","KIF5C","KLHL24","LIN7A","LRRC7","LSM11","MAP3K2","MAPRE2","MARCKS","MEG3","MIA3","MINK1","MYCBP2","NCDN","NUMBL","PBX1","PCDH19","PGM2L1","PIK3R1","PLXNC1","PPP2R2C","PRKAB2","PYGM","R3HDM1","RALGAPA1","RHOU","RICTOR","RIMBP2","RNF165","RSF1","SHOC2","SLC8A1","SMARCC2","SOBP","SP4","SPOCK2","SPTBN1","SRRM1","SRSF11","TIMP2","TMOD2","TNFRSF19","TRIM2","UBR2","ZBTB16","ZEB2","ZNF445","ZNF804A","EFS_fct"
"142","PALWXP",8.50133,9.09009,8.596208,9.743556,8.877318,7.622587,8.500784,8.536587,8.394887,7.967773,8.05287,8.031696,9.842111,7.943395,8.709069,7.921639,8.719584,7.307715,8.719091,8.746354,8.706406,8.198311,8.889284,9.495787,9.433914,9.446004,7.544689,10.566046,8.912849,6.687738,8.901974,8.254443,7.923643,7.85184,9.683948,8.964038,7.743656,8.007278,8.864793,8.133687,8.212626,9.464714,5.273026,10.176904,9.667938,9.608006,7.864023,8.282891,7.423551,8.652278,9.100182,9.496893,8.77223,9.790408,7.553028,8.558017,8.847677,8.775971,9.69197,7.649275,8.526668,8.238423,9.506755,8.717981,8.977372,9.945315,9.793449,7.399315,9.562329,7.87456,7.790243,7.62633,8.339223,10.641776,"EFS_G5"
"143","PALXTB",8.401933,9.399883,8.83721,9.406198,8.684622,6.768187,8.181104,8.36984,8.61182,8.792637,8.319593,7.646563,10.073457,7.488168,8.371922,7.733835,8.770368,7.13057,8.907032,9.058916,8.315074,8.393407,9.144509,9.815991,8.771596,8.732402,7.68184,10.300346,9.342078,5.988812,7.163921,8.336403,7.803256,7.89645,9.413215,9.511371,7.77258,8.009995,9.346008,8.129438,8.220559,9.653894,6.233739,10.005699,9.407163,9.317847,7.756079,8.690353,6.793884,8.398126,9.388441,9.175877,8.481419,9.104816,7.554878,8.61012,8.893609,8.655207,9.106078,7.784943,8.244262,8.282077,9.330448,8.325314,8.774502,10.422143,9.285836,7.588528,9.800484,8.071628,6.683083,7.239811,7.827304,9.832679,"EFS_G5"
"144","PALXTE",8.61016,9.337013,7.837766,9.706034,8.657908,7.59097,6.264527,8.265901,8.085172,7.525703,7.744859,7.983686,9.127526,7.795339,8.22171,7.731338,8.379993,7.048558,8.322882,8.992715,8.605726,8.245632,8.700681,9.627321,9.236507,9.048506,6.802181,10.080303,9.328192,6.176378,5.032634,7.474747,7.663537,7.721162,9.667412,9.431348,7.23201,7.906052,8.994579,7.661997,7.874254,9.239026,4.249751,9.938402,9.732764,9.15316,7.813188,7.92423,6.903043,8.409398,8.820127,8.851216,8.414289,9.611287,7.832795,8.55461,8.709599,7.896616,9.377778,7.320697,8.389111,7.37722,8.980462,7.870254,8.645858,9.980092,8.899336,7.637321,9.133497,7.949879,7.271678,6.891967,8.283037,10.766945,"EFS_G5"
"145","PALXUM",8.539905,9.999814,8.888186,10.370985,8.330267,7.392346,7.349163,8.599879,8.271279,6.188953,8.270461,7.750238,9.386814,8.017,8.756242,8.228244,8.595637,7.504754,9.011035,9.186998,8.515589,8.63877,8.401244,9.938437,8.869627,8.943724,6.770756,10.510112,9.314365,5.892321,4.956829,7.891037,8.073209,8.198676,9.226253,6.695173,7.958646,7.650478,9.335487,7.996599,8.10133,9.131063,4.753894,9.875432,9.605834,9.406598,8.561602,8.158636,7.605487,8.712304,8.696883,9.14395,8.559785,8.801901,7.531193,8.157157,9.143279,8.332477,9.087002,7.486842,8.358439,8.027395,9.564799,8.335511,8.899038,9.894413,9.640495,7.629886,9.374489,7.717297,7.374729,7.718792,8.108078,9.679856,"EFS_L5"
"146","PALYEC",7.818025,8.717103,8.077154,8.462132,8.330011,7.289582,6.350871,8.189314,8.019388,5.7273,7.056491,5.898321,8.846089,7.802978,7.990029,6.689354,8.546165,6.530954,7.935966,8.051684,7.952434,7.20661,7.498245,9.014275,8.969837,9.215694,6.739601,9.240226,8.471076,6.914955,5.150871,7.554387,6.863508,6.627977,9.079138,10.107996,6.850956,7.484226,8.352831,7.692405,8.139392,8.446714,4.732447,7.990388,8.72845,6.819522,7.102358,8.093892,6.231869,7.835,8.314333,8.838692,7.828393,8.553586,7.204074,8.076662,8.09649,6.393104,8.882782,7.093625,7.944658,6.882415,8.912683,8.306911,8.760121,9.317428,8.441726,6.171009,7.835689,7.110672,7.01964,6.812092,8.164329,7.678322,"EFS_L5"
"147","PALYLZ",8.122471,9.481186,8.68297,9.404447,8.85558,7.481427,7.117831,8.667421,8.201203,6.360622,7.539371,7.701904,9.699253,7.810753,8.284753,7.794008,8.745295,7.116012,7.932347,9.022843,8.02165,7.922027,8.315221,9.047699,9.18398,8.945644,7.001583,9.564477,8.891556,5.858185,5.811881,7.658473,7.064956,7.864612,9.660018,9.965596,7.474436,7.97159,9.212953,8.113705,8.139406,9.028884,5.597097,9.582303,9.542822,9.264546,7.670327,8.020958,6.7958,7.802375,8.77183,9.174771,8.401645,8.957153,7.799593,8.308932,8.699909,8.167211,8.982386,7.464127,8.257653,7.98011,9.131273,8.302365,8.782263,9.851217,9.213251,7.782544,8.886662,7.764809,7.280333,7.656364,8.015284,9.155023,"EFS_G5"
"148","PALYPW",8.094618,8.714451,7.850196,7.755085,7.254943,6.487675,8.16413,7.551406,8.093456,5.772512,7.997782,7.804862,8.990354,7.681698,7.895789,7.405829,9.141394,9.114469,8.932785,8.72774,7.991726,7.145092,6.164572,8.844214,8.327413,8.342789,8.0526,8.140905,8.151921,5.172405,5.951068,7.099579,7.231457,7.514157,9.309873,9.162124,7.260496,7.943448,8.557817,8.333693,8.508383,8.464315,6.391,7.956722,9.535048,7.447733,7.270012,8.067495,6.819197,7.250938,8.619885,8.489712,7.708599,6.968582,6.299418,7.898183,9.02025,6.602628,8.735469,7.170483,7.360198,8.764632,10.368071,8.370927,8.67709,10.347102,9.679113,7.748695,8.203433,7.741376,7.234698,9.058056,7.486322,6.58157,"EFS_L5"
"149","PALZRG",7.886769,8.884145,8.621072,7.983832,8.339517,7.12694,6.153335,8.376143,7.568981,6.592957,7.079677,5.672048,9.288615,7.918795,8.154123,7.599364,8.729933,6.892089,7.694601,8.815548,7.90619,7.311073,4.982899,9.58493,8.338778,9.327878,6.255095,9.280405,8.496729,5.343268,8.642286,7.712756,7.100061,7.126424,9.599714,11.073202,7.455659,8.14148,8.433969,8.006481,7.503342,8.451909,5.147827,7.313951,8.484206,6.703581,5.878442,8.013665,6.309393,8.563848,8.226172,9.079479,8.122442,8.672687,7.754729,8.092523,8.098927,7.337178,8.770087,8.527026,7.931032,6.233903,9.190772,8.390034,8.583327,8.942038,8.315138,8.475477,8.151594,7.66042,6.457174,7.044804,8.325568,8.680578,"EFS_L5"
"150","PALZZV",7.962196,8.738844,8.0869,8.003443,8.477077,7.005854,6.212207,8.720002,7.980659,6.616937,6.729611,6.048059,8.763876,7.64011,7.986726,7.617993,8.729653,6.614984,6.690335,8.265055,7.489888,6.524565,8.527682,9.148923,8.516745,8.740457,6.051497,9.313236,7.868718,6.284404,7.982349,7.806219,6.96541,6.970467,9.480199,7.147815,7.034848,7.118444,7.961867,7.588112,7.668366,8.787943,4.846871,6.996418,7.413948,6.424517,6.86885,8.330122,6.147642,7.866845,8.023879,8.671084,7.708582,8.324215,7.997354,8.693287,8.263549,6.760967,8.842815,7.172603,8.790329,6.492091,8.515781,7.834303,7.924955,9.583046,8.566408,6.313031,8.689633,6.94734,6.110178,8.239177,7.752166,9.548141,"EFS_L5"
"151","PAMACS",8.302878,8.973508,8.693244,9.793414,8.11199,7.124007,6.389761,8.365277,7.816573,6.948161,8.169205,6.990616,9.45104,7.797223,8.08941,7.24214,8.462332,6.532511,8.284654,8.606795,7.894366,7.841211,8.202038,9.369005,9.126195,8.650737,6.713481,9.477612,9.122299,6.224946,5.879916,7.996132,7.284928,7.29221,9.233181,9.275816,7.870713,7.506733,8.500064,8.463774,8.182126,9.412666,5.622998,8.717583,8.793022,8.835235,7.942415,8.394534,6.520749,8.091995,8.807893,9.152206,8.161703,9.060702,6.804352,7.585165,8.034774,6.750484,8.92217,7.459229,8.178865,6.730325,8.788575,8.206557,8.508899,10.455107,8.624062,6.316812,8.521364,7.710062,6.394619,6.668664,8.325796,9.679303,"EFS_L5"
"152","PAMAFV",8.174096,8.954222,8.18136,9.048518,8.534492,7.885373,6.689806,8.47869,7.98236,6.570181,7.430908,6.917668,9.547825,7.963398,8.193359,8.0487,8.694057,6.78219,8.018022,8.550722,7.905177,7.860412,7.665724,9.109566,9.401643,8.963963,7.509064,9.47219,8.358255,6.183141,5.994062,7.84677,7.317041,7.410674,9.683842,9.777138,7.245965,8.104523,8.826733,8.058116,7.880438,8.883863,4.992215,9.015888,8.912082,8.771862,6.480561,7.583233,6.605733,7.840923,8.456242,8.870891,8.20185,9.609349,7.935188,7.925465,8.741769,7.471843,9.370203,7.554281,8.197123,6.839305,9.205507,8.053202,8.725102,9.782888,9.133054,7.184104,9.027346,7.707403,6.941196,7.236178,8.122482,10.095998,"EFS_G5"
"153","PAMAJT",7.920857,8.417715,7.45233,8.261689,8.317719,7.008532,6.929197,8.537944,7.863141,7.096744,7.690235,6.071669,9.202118,7.556557,8.550602,8.020028,8.113325,7.1657,8.481785,7.773446,8.005554,7.594406,8.955478,8.826707,8.546798,9.23835,7.623164,10.051327,8.190894,6.264585,7.553844,7.932227,7.535811,7.279926,9.502768,9.259558,7.084364,7.901211,8.10123,8.180577,7.9322,8.948623,4.339125,9.002568,8.824888,9.786635,7.461274,8.137696,6.803883,7.988334,8.431502,9.44246,7.714334,9.032698,7.549859,7.493135,8.094357,8.714778,8.880699,7.426426,8.164312,7.36203,9.445613,8.183393,8.667297,9.270328,8.472813,7.573345,8.712601,7.265607,6.964926,8.966915,7.884169,7.57455,"EFS_G5"
"154","PAMBDH",7.587376,8.168197,7.951384,8.166679,7.753467,6.867108,6.423271,8.179043,7.455698,5.170385,5.769412,6.24358,9.327628,7.944562,7.870392,7.448988,8.109702,6.26145,6.047668,7.794243,7.319376,6.696257,7.27986,8.845108,7.947387,8.320223,6.157725,8.791534,7.602203,4.622847,4.993933,7.950959,6.205397,6.695483,8.797621,8.717983,6.447854,7.459082,7.292865,7.587518,8.044141,8.179655,6.927645,6.535658,7.928707,7.379179,6.223994,7.680734,6.492537,7.575333,7.857495,8.32395,6.80177,8.504735,7.473588,8.162632,6.925925,6.257916,8.650932,7.262336,7.738279,6.790023,8.439563,7.281061,8.152642,10.128662,7.868934,7.593772,7.442382,6.68794,6.482687,7.280401,7.7412,9.084228,"EFS_G5"
"155","PAMBMJ",8.210022,9.538841,8.509662,8.168097,8.417613,6.545629,6.176457,8.455265,8.377397,7.446688,7.369516,5.500076,9.091484,7.65937,8.065162,7.473738,8.792853,7.394092,8.152456,9.226394,8.382125,7.415258,4.651253,9.350511,8.783794,9.106406,6.878694,9.26312,8.670198,5.589045,9.211779,7.702841,7.578634,7.267559,9.883332,9.984855,7.550757,8.014645,9.02518,7.954897,7.495339,8.505317,4.551804,7.764641,9.326641,7.796331,5.693447,7.794736,6.404435,8.571794,8.44019,8.438319,8.557041,9.582434,7.188507,8.04154,8.78195,7.029089,9.019011,8.005261,8.315278,6.596608,9.477292,8.490449,8.979714,9.811353,8.867453,8.890184,8.434915,7.722646,6.44071,8.282021,8.406395,6.723509,"EFS_L5"
"156","PAMBYG",8.014263,8.965659,7.874032,8.361695,8.813247,6.682326,6.139182,7.612782,8.246989,5.930604,7.353135,6.120507,9.039857,7.378667,7.807566,6.863825,8.766527,6.61654,7.145834,8.671809,7.787621,7.299809,8.137562,9.182631,8.838554,8.092969,5.745938,9.340845,8.473915,4.663026,8.214956,7.666203,6.941804,6.946548,9.133532,9.169128,7.156216,7.178651,9.126428,7.328767,7.765649,8.582565,4.991484,7.889855,7.78108,7.805964,7.121108,7.851785,6.144547,8.219405,8.36057,8.112968,8.017362,9.614121,7.455963,8.658937,8.509557,7.518559,8.837064,7.091477,7.933229,6.674917,8.713316,7.652416,8.10348,9.376508,8.751718,7.461587,8.564624,7.266627,5.972439,6.746803,8.084763,8.163955,"EFS_L5"
"157","PAMCXF",7.53569,9.060845,8.086796,7.927127,8.737981,6.637831,6.465194,8.815005,7.185418,5.318242,8.405582,5.786623,9.457556,7.634202,8.245631,7.364937,8.597106,6.715302,7.072209,8.184571,8.087906,7.51859,8.259104,9.617196,8.524304,8.44695,6.220712,9.299029,8.755142,5.498421,6.083392,7.800779,7.433213,7.295894,9.784337,10.517196,7.580937,7.775164,7.763496,7.600041,7.671498,9.06951,5.8966,6.95639,9.077702,6.491449,6.553829,8.278688,6.947066,7.592541,8.066841,9.201789,7.860108,8.616144,7.258177,7.213442,8.201799,6.768468,8.60761,7.722375,8.018803,6.798197,9.082379,8.419674,8.638239,9.562234,7.718259,7.703386,7.983823,7.411729,6.410622,7.143587,7.366377,8.151016,"EFS_L5"
"158","PAMEHH",8.432255,8.441992,8.63889,8.735808,7.605139,7.012211,8.039558,8.892704,8.053027,6.925427,8.823877,8.859141,10.139585,8.08428,8.051744,8.052817,9.272024,9.466661,9.589913,9.358205,7.830236,8.616247,8.049489,9.911695,8.10723,8.679045,7.830791,9.582468,8.668369,4.387742,5.305187,7.57535,7.651933,7.466219,9.144065,8.908676,8.014897,7.758305,8.899493,8.804212,7.85205,8.833383,5.141608,10.257561,8.678627,7.948951,8.434973,8.266966,7.022651,7.7952,8.599091,8.952316,7.916087,8.192323,6.632629,8.398643,9.293297,7.953141,8.72754,7.597366,7.383058,8.946493,9.891358,8.430642,8.461593,10.603748,9.080519,7.983515,9.306342,8.260324,6.675941,8.229535,7.86736,7.040392,"EFS_L5"
"159","PAMEZH",8.056349,8.469903,8.683802,8.415256,8.134516,7.151411,7.872061,8.070073,7.887241,6.89443,7.808107,8.594519,9.835513,7.519487,8.278627,7.52633,8.324826,8.082732,7.905708,8.712493,7.482752,7.12756,7.953023,9.351426,8.776921,8.437085,7.742133,9.25966,8.269026,5.281874,6.668211,7.936591,7.313519,7.429253,9.380719,7.790618,7.249504,7.584766,8.707018,8.376876,7.938064,9.09844,4.985434,8.299099,8.81886,7.726128,8.012838,8.25802,6.868975,7.727329,8.211934,9.076409,7.817662,8.513032,7.163124,7.666646,8.421337,7.368887,8.650364,7.586167,7.813704,8.4289,9.249937,7.803268,8.504673,10.726278,8.559028,7.591724,8.397937,7.304856,6.78393,7.445826,7.267439,8.766388,"EFS_L5"
"160","PAMJED",7.802829,8.50893,7.897272,8.136995,8.322689,6.844796,6.364985,8.866851,7.23903,5.606163,7.858747,6.277033,8.697442,7.431955,8.599906,7.220212,8.276723,6.825056,6.91665,6.993823,7.861722,7.375201,7.277163,8.755464,8.950737,8.409006,5.705061,9.330256,7.872169,5.644498,6.346386,7.566863,7.4469,6.584456,9.627191,8.536472,7.251828,7.370998,7.270479,7.525395,7.969853,9.150406,4.512809,7.428903,7.354914,7.442141,6.202549,8.298715,6.837149,7.252929,7.524141,8.567001,7.50977,8.11196,7.419637,8.156628,7.856597,7.184496,8.790983,7.212867,7.721651,6.950647,9.269747,8.020109,8.492968,9.830795,8.201603,6.856939,7.779721,6.580069,6.575579,7.158732,7.239489,7.460188,"EFS_L5"
"161","PAMLMY",8.209413,8.333624,8.761336,9.023911,9.518272,7.117384,6.642907,8.630399,7.616993,7.361442,7.125055,6.350487,9.617376,8.108098,8.054776,7.693018,8.308583,6.138116,8.08986,9.021221,8.13599,7.839062,7.669812,9.111716,8.995292,8.518234,6.712225,8.894308,8.990556,6.982051,6.546367,8.1326,6.717184,6.895826,9.836198,8.393421,6.961403,7.607881,8.422904,8.166051,8.048999,9.25291,5.198631,8.671964,8.657762,8.479536,6.296976,8.502861,6.417485,7.614454,8.342368,9.325391,8.121787,9.380656,7.888957,7.650035,8.034433,8.582639,9.573989,7.537704,9.015559,7.81048,8.560832,7.778663,8.109032,9.715415,8.085176,7.860581,8.12799,7.419043,6.604413,6.276625,8.173061,8.548797,"EFS_G5"
"162","PAMLNB",7.981438,8.745431,6.312164,7.761657,7.287618,5.938661,5.816199,6.712331,8.28121,5.190153,7.672824,5.631227,8.720132,6.51897,8.094237,7.288236,9.257684,8.890926,9.270906,9.052654,7.733452,8.279153,5.166293,8.936624,9.345844,9.237162,7.271325,6.405256,8.087686,4.76472,6.280978,7.565776,7.484633,7.256989,8.628715,10.586016,7.63979,8.221284,8.258714,7.935489,7.954497,9.515097,4.311867,6.775721,8.734873,7.598851,5.653381,8.92841,7.030547,7.523435,8.677098,8.937872,8.005968,6.536122,6.02163,8.476158,8.615554,6.996331,8.605526,7.483256,7.115092,6.633757,10.012036,8.287247,8.732027,9.829274,7.038913,6.190658,7.980598,7.89922,8.986209,8.308085,7.819854,5.433602,"EFS_G5"
"163","PAMMXF",7.923363,9.114963,8.859666,9.105255,8.940534,7.309949,5.830388,8.429511,8.584081,5.567828,7.139296,6.130105,9.265144,8.385287,8.224047,7.233308,8.997852,6.869334,7.289522,8.728186,8.489178,7.559014,7.736101,9.191795,8.923708,9.040284,5.689002,9.744558,8.629186,5.771354,6.774515,7.83947,7.238513,7.181738,9.762932,10.567906,7.714843,7.903683,8.700361,7.543063,8.322422,9.005137,5.30958,7.740357,8.711494,7.920346,7.797111,8.174489,6.626196,8.300868,9.020997,8.728586,7.907622,9.061645,7.914999,8.735875,8.619631,6.418257,9.181775,7.61639,8.098889,7.319469,9.307219,7.948979,8.208222,9.806918,9.113857,6.590545,8.564657,7.484866,5.988103,6.68042,8.472214,8.421414,"EFS_L5"
"164","PAMMYR",8.381214,9.141262,7.596864,8.59098,7.727689,6.907342,6.259054,7.573518,7.797195,6.164455,7.430713,6.034746,9.808427,7.686348,8.831996,7.282047,8.075134,7.041339,8.2979,8.437095,8.973,6.545832,7.623507,8.854445,8.367517,8.760268,7.136171,7.861224,8.255051,5.280819,5.470554,7.530722,7.212798,7.410465,8.942967,8.102978,7.299342,7.904864,9.026791,7.838126,7.478254,7.505799,4.358038,7.086763,8.242366,8.409872,6.074189,7.737885,7.07128,7.541473,8.243076,8.24266,8.30109,7.999423,6.910751,7.575103,8.367907,7.026538,8.913807,7.029432,8.358267,8.50252,9.080195,8.444895,8.674079,9.130314,7.485893,6.303319,7.504601,7.695648,6.468381,7.675801,7.794417,8.336338,"EFS_L5"
"165","PAMNAL",8.22476,9.042662,8.722998,8.484148,9.014927,7.434452,7.67374,8.347167,7.958916,7.454877,7.477807,6.419423,9.155972,7.991782,8.381563,8.122486,8.959826,6.751128,8.06341,8.800008,8.112095,8.415505,7.551517,9.323229,8.997558,9.550819,7.468033,9.932474,8.54565,6.431276,5.823904,7.579166,6.547131,7.583685,9.376204,9.844456,7.850561,8.194047,8.647636,7.768851,8.067854,8.966662,5.065707,9.195451,9.139236,8.496411,7.476293,8.128454,6.610689,8.231834,9.127964,9.024612,8.058678,9.181007,7.652876,8.08816,8.721949,7.453057,9.265637,7.40498,8.066427,8.043147,9.549994,8.578826,8.854623,9.722322,8.475653,8.311095,8.259516,7.699117,7.101443,7.761343,8.364298,9.643236,"EFS_G5"
"166","PAMNLH",7.91728,9.509463,7.066906,8.949143,8.423264,7.172446,6.730641,7.631827,7.617784,5.160909,7.175498,6.478268,9.241643,7.529872,8.231629,7.304881,8.094952,6.317851,7.540091,8.480238,8.09841,7.088166,7.145829,9.141437,8.416651,8.339484,6.770362,9.300372,8.734848,4.374449,4.608822,7.19086,6.478377,7.234733,8.564528,9.310018,6.981379,7.636766,8.558055,7.92157,7.795003,7.999856,4.570167,7.283898,8.697019,7.503102,6.001039,7.552035,6.539397,7.727976,8.101291,8.900086,7.841223,9.027766,6.980673,6.640643,7.956634,6.56302,9.087842,7.088676,7.565035,6.94234,8.88363,8.222863,8.489772,9.125982,7.330179,6.569505,7.36347,6.900414,7.539037,6.768214,7.566689,8.554646,"EFS_L5"
"167","PAMVCL",8.021192,9.929485,7.9845,8.995865,8.263207,7.843818,9.635214,8.385059,8.000363,6.587434,7.889022,7.031594,9.731673,7.916333,8.257084,8.277235,9.041286,7.138196,8.3477,9.050701,8.053717,7.942781,7.807725,8.982915,8.744524,8.889883,7.005223,9.714634,9.261787,5.655669,8.907968,7.989816,7.397452,7.750571,9.26479,9.836573,7.658455,7.90261,9.144195,8.154465,8.164948,9.73265,4.956177,9.631401,8.846816,9.243136,7.574548,8.130812,7.382219,7.557256,8.915567,9.420081,8.379138,9.081615,7.465048,8.638188,9.098665,8.029728,9.027051,7.556875,8.134565,8.710256,9.458883,8.555619,9.350713,9.588211,9.482657,7.528491,9.809202,7.330017,6.946762,7.049745,8.297895,9.744228,"EFS_G5"
"168","PAMXWF",7.94514,9.743695,8.94443,9.350739,9.03616,7.446222,7.198389,8.586773,8.199941,6.277063,7.445971,6.941116,9.76415,7.878608,8.388644,7.93737,8.718983,5.872471,7.874126,8.964226,8.213033,8.092248,8.963056,9.536032,9.171489,8.734159,6.729688,9.890014,8.900034,4.374544,6.381451,7.536279,7.39956,7.672341,9.602509,9.811447,7.536145,7.750165,9.249471,7.941175,8.180837,8.614954,5.757907,8.239578,8.389998,8.065572,6.426926,8.409951,7.485771,8.276434,8.631721,8.965981,8.036097,9.063719,7.681738,7.22969,8.712599,8.441566,9.097763,7.64437,7.891558,8.630941,9.05519,8.968436,9.125174,9.582416,9.00026,6.729515,8.889516,7.572426,6.512277,5.615962,7.793809,9.930293,"EFS_L5"
"169","PAMYCE",7.574905,9.078132,8.013164,9.254757,7.833705,6.833878,7.136655,7.842653,7.851377,5.229823,6.698653,7.148088,9.000549,8.409318,8.097208,7.752249,8.084943,6.238097,7.903191,7.919248,7.976932,7.292039,7.130002,8.852087,8.402729,8.646858,6.919102,9.801529,8.629185,4.774874,5.150418,7.856896,7.059158,7.405703,8.777396,6.764178,7.153078,7.905494,8.250603,7.978595,8.186978,8.646291,4.719312,7.578466,7.948453,7.158936,7.414127,7.397808,6.987774,7.467308,8.988419,9.347041,7.90725,8.989959,7.613597,6.769088,8.438199,7.180959,8.849758,6.774486,7.592737,7.309986,9.004832,7.742251,8.45933,9.749549,8.647107,6.20298,8.860741,7.212306,6.637546,6.123893,7.574453,9.245565,"EFS_L5"
"170","PAMYVA",7.819854,8.882113,7.89044,9.057375,8.749452,7.157671,7.596578,8.312678,7.696207,6.270074,7.011531,7.561563,9.195131,8.084592,7.945278,7.158756,8.26573,6.968122,7.826536,8.172316,7.729918,8.100608,7.821296,9.385513,8.817992,8.236451,6.6901,9.456774,8.73424,5.155996,4.630755,7.782869,6.594657,7.001286,9.257963,9.220708,6.832616,7.472234,8.033669,7.707412,8.185101,8.940578,4.903362,9.539233,9.130078,8.129372,6.810258,7.670093,6.830372,7.875763,8.237481,9.053315,7.675612,8.199051,7.369501,7.411533,8.50317,7.503304,8.71312,7.309245,7.953504,7.518904,8.628083,7.812311,8.317747,9.645067,8.334039,6.883091,8.888877,7.192465,6.879554,6.573256,7.98527,9.651005,"EFS_G5"
"171","PAMZCE",7.951135,8.512959,7.201744,8.291837,8.168651,6.791695,6.468476,7.955975,7.262209,6.027725,6.382221,6.054893,8.80858,7.520282,7.83281,6.964458,7.834401,6.118134,6.090978,7.656256,7.965336,6.592081,7.99175,8.614156,8.549791,8.144803,6.138038,9.493312,8.21198,4.580937,7.50865,7.747396,6.417339,6.62311,8.764745,8.7416,6.766594,7.251374,8.409008,7.599929,7.879362,8.715972,4.577769,6.944727,7.491698,8.488412,6.809952,7.685043,6.57417,7.358287,7.609431,8.837829,7.299873,8.699305,7.232184,7.628058,7.153105,7.975699,8.399005,6.780186,7.729449,6.893376,8.938847,6.924485,7.272699,9.156276,8.049217,6.762962,8.300492,6.632032,6.330764,5.840099,7.212868,7.156597,"EFS_G5"
"172","PAMZMG",7.660774,8.472949,8.300988,8.775459,8.364767,6.658647,6.488612,9.174231,7.960761,5.159576,6.8942,5.935953,9.334261,8.141118,8.38732,7.769116,8.381353,6.411399,7.349437,8.826175,7.352617,6.725947,8.935028,8.982762,8.120206,9.380382,5.765907,9.449611,7.992125,5.209282,7.955436,8.107906,6.60021,7.252574,9.259208,8.997117,6.957929,7.751622,8.413046,7.72676,7.890923,8.506693,4.465399,7.374636,7.7483,6.429876,7.597507,7.88616,6.617969,8.131006,8.047346,8.3913,7.463244,9.081525,7.235674,7.762682,7.905784,6.497383,9.101112,7.131159,7.88067,7.403478,8.746501,7.63971,8.372852,9.379505,8.63409,6.576112,7.959685,6.844009,6.334967,6.595038,8.019801,8.150971,"EFS_L5"
"173","PAMZYM",8.421888,9.374167,8.33398,9.322527,8.267277,7.163278,7.401486,7.773955,8.148123,6.733182,7.22135,6.249637,9.747633,8.163431,8.207684,7.550738,8.512669,6.468047,8.339548,9.165319,8.853511,7.761956,9.392168,9.527427,9.162486,8.584962,7.080393,9.427298,8.762277,5.661206,4.848822,7.597714,7.506639,7.681181,9.358562,8.800883,7.683939,7.658836,8.998054,7.64532,7.996696,8.490912,4.562313,8.071039,7.854136,8.098131,5.579657,8.195625,7.298087,8.254094,9.187301,8.364587,8.597583,8.889813,8.105516,7.724532,8.89146,7.439468,9.150139,7.404808,8.203057,8.672751,8.986371,8.461418,9.077842,9.206142,8.500922,6.3524,8.596187,7.824916,6.318175,6.715018,7.794276,9.924126,"EFS_G5"
"174","PANBJH",7.791736,8.856434,8.959442,9.189779,8.266111,7.343088,7.191867,8.107439,7.939792,6.157586,7.078994,6.605083,9.584603,7.909806,7.912752,7.466261,8.499294,5.926641,7.413368,8.47985,8.119132,7.717743,9.021142,9.221143,9.00753,8.479582,6.405164,9.177307,8.765215,4.546211,5.013484,8.11574,6.858125,7.425225,9.313213,9.181142,7.482884,7.614041,8.444559,7.991635,7.977091,9.114311,5.195308,7.924298,7.608693,8.135609,6.177834,8.01328,6.632334,7.935148,8.515692,9.347483,7.450677,8.86639,7.721541,7.42743,8.374417,8.237097,8.996303,7.4603,7.946688,7.129802,8.680083,8.177227,8.603992,9.646374,8.358295,7.074892,8.867038,7.131488,6.497297,5.657072,7.643037,9.631375,"EFS_L5"
"175","PANBMJ",8.065356,8.557828,7.859094,9.289488,7.682406,6.803211,8.831542,7.679434,7.581887,5.584343,7.635832,7.372596,9.509558,7.954585,8.544981,7.501412,8.371833,7.985126,8.99471,8.549901,7.888485,7.775067,7.244125,9.05205,8.204483,8.011145,7.969461,9.098143,8.847621,5.267518,5.067487,7.95609,7.536354,7.786805,8.775269,7.042039,7.309047,7.709113,8.529599,8.511612,8.211938,8.97571,5.675773,7.870424,9.046306,7.976616,8.284104,7.896714,6.887877,7.470324,8.347491,9.41912,8.292447,7.838035,7.163533,6.646328,8.592973,7.205798,8.529062,7.188869,8.073956,8.996158,9.830542,8.020537,8.316786,9.781262,8.966136,6.426169,8.898758,7.430578,7.975947,7.475103,7.771894,8.678295,"EFS_L5"
