"","Row.names","CDC42","CDK5R1","CDK5R2","CLIP1","DAB1","DCX","DYNC1H1","DYNLT1","KATNA1","LRP8","MAP1B","NDEL1","PAFAH1B1","PLA2G7","YWHAE","EFS_fct"
"87","PAIWHU",8.923554,8.7497,8.245986,7.194846,6.49194,9.383787,9.880303,8.516375,6.564569,8.282499,9.763742,7.781099,10.478311,6.95741,9.571329,"EFS_G5"
"88","PAIWVG",8.899483,8.172923,8.251564,7.143456,5.739759,9.289779,9.32683,7.796081,6.065491,7.208095,9.223903,7.558637,9.139436,6.106916,9.359403,"EFS_L5"
"89","PAIXLC",9.385813,8.750154,7.927493,6.962922,6.008808,9.215471,9.723815,8.56256,6.980188,7.143323,9.746452,7.97307,9.892991,7.732628,9.600766,"EFS_G5"
"90","PAIXNG",8.26105,7.395824,7.4157,6.610553,5.651463,5.726618,8.561475,8.38491,6.375974,6.752878,7.348257,7.301069,9.180424,5.479959,9.723379,"EFS_L5"
"92","PAJYHP",9.254162,8.398528,8.143162,7.254407,5.464684,9.052227,9.700499,8.287788,6.624605,7.904303,10.017219,7.360286,9.857966,8.254517,9.261399,"EFS_L5"
"93","PAJYLA",9.675719,7.630912,7.817113,6.745832,5.718615,7.641714,9.356225,8.61457,6.986787,7.692435,9.632617,7.431169,9.703324,8.432495,9.81872,"EFS_L5"
"94","PAJYVA",8.307485,8.156183,7.77605,6.705706,5.214825,9.256083,9.571317,8.126681,5.836081,7.782277,10.088229,7.445587,9.576924,7.193449,9.141916,"EFS_L5"
"95","PAJZUU",8.345171,8.075818,8.302861,6.726727,5.800773,7.9828,9.439465,8.250834,6.592069,7.403839,9.4311,6.854957,8.43738,4.930433,9.369984,"EFS_L5"
"96","PAJZWL",8.823472,8.246289,8.089531,6.798553,5.957715,9.388673,9.463009,8.239313,6.375206,7.64214,9.229969,7.477198,9.975323,7.628832,9.60895,"EFS_L5"
"97","PAKACY",8.639376,7.585679,7.414319,6.398554,5.569073,9.134556,9.111163,8.685865,6.749431,7.050921,9.583847,7.230717,9.6053,4.963045,9.484131,"EFS_L5"
"98","PAKADI",9.426034,8.71176,8.16823,7.307574,5.627753,9.409923,10.294363,8.268406,6.134945,7.962008,10.17125,7.634199,10.481704,7.564654,9.211765,"EFS_L5"
"99","PAKAFK",8.634892,8.205644,7.955672,6.791738,5.878225,8.234425,9.337638,8.650326,6.845583,7.55212,9.70827,7.782682,10.115198,6.819788,9.543162,"EFS_G5"
"100","PAKANZ",9.108967,7.628673,7.626301,7.39013,5.722872,8.416267,10.033645,7.986465,5.785673,7.4448,10.042634,7.411752,9.602935,6.862832,9.297339,"EFS_L5"
"101","PAKDHL",9.28256,7.627719,8.018291,7.158235,6.47493,8.998627,9.196686,8.658348,6.959866,7.603072,9.713428,7.098935,9.65338,6.821199,9.253982,"EFS_L5"
"102","PAKGCI",9.122487,8.290912,7.996027,7.184086,5.786052,9.207966,9.516162,8.390632,6.949893,7.372692,9.793833,7.406777,10.28291,6.769276,10.014235,"EFS_G5"
"103","PAKGKH",9.435272,8.968502,9.052976,6.953486,6.184711,9.583009,9.720021,8.058625,6.401539,7.563183,10.173922,7.424553,10.259747,6.826538,10.123349,"EFS_L5"
"104","PAKGMY",8.260216,8.147858,8.050469,6.371053,5.586355,9.508874,9.010033,7.950419,6.156094,7.476139,9.432066,7.005974,9.293555,4.872128,9.436,"EFS_L5"
"105","PAKHAV",9.478577,9.55066,9.125275,7.25024,6.417999,9.334163,10.137285,7.555622,6.524664,7.900341,9.988344,7.675612,10.443171,8.964023,10.161985,"EFS_L5"
"106","PAKINP",9.367313,8.904259,8.435465,7.321474,7.215908,8.309937,9.885153,8.362828,6.830447,7.931992,10.229324,7.920144,10.666342,7.185207,10.166154,"EFS_G5"
"107","PAKJBA",9.580608,9.447161,8.293974,7.326172,5.750379,9.608347,9.942048,8.661539,7.418276,7.996896,9.537009,7.879408,10.298153,6.217243,10.300852,"EFS_G5"
"108","PAKSWB",9.488237,8.617848,8.21676,7.347593,6.027064,9.063684,9.913,8.737465,6.855881,8.297005,10.030297,7.739077,10.377628,7.289414,10.033174,"EFS_G5"
"109","PAKUXT",9.667109,8.021083,8.517777,7.651359,5.760282,9.086311,9.741079,8.479427,6.511409,7.516396,10.317497,7.473954,10.406323,6.986754,9.995626,"EFS_L5"
"110","PAKWCJ",9.042193,8.624374,8.318109,7.017929,6.351421,9.127023,9.598895,8.105488,6.392701,7.978998,9.796626,7.757894,10.548384,5.629613,9.820798,"EFS_G5"
"111","PAKXDZ",8.946553,8.461642,8.087859,6.594112,5.422071,9.336278,9.291979,8.680588,6.705901,7.673888,10.363075,7.233724,9.556732,5.324293,9.73646,"EFS_L5"
"112","PAKYZS",9.039668,8.402786,8.115933,6.951906,6.75272,8.150939,9.359359,7.615663,5.943473,7.548856,9.985799,7.774523,10.185133,6.054658,9.094058,"EFS_L5"
"113","PALAWZ",9.778958,8.922374,8.374891,7.925799,5.836586,9.567065,9.663261,8.248872,6.470879,7.456598,9.848736,8.022986,9.654588,6.868663,9.894545,"EFS_L5"
"114","PALBFV",8.72297,8.547466,7.969425,7.056974,5.472587,6.723937,9.744797,7.894431,6.159524,7.08184,9.803147,7.571816,9.55438,5.674507,10.102766,"EFS_L5"
"115","PALBFW",9.499262,7.91733,8.108256,7.646711,6.1002,8.564434,10.088969,8.47978,6.551439,7.48619,10.114824,7.972082,10.126031,7.037178,9.737055,"EFS_L5"
"116","PALEAC",9.275603,8.587514,8.070326,7.53469,6.19733,9.205592,9.757542,8.173995,6.505244,7.83415,9.591724,8.82741,10.422973,8.000741,9.825796,"EFS_G5"
