"","Row.names","CDC42","CDK5R1","CDK5R2","CLIP1","DAB1","DCX","DYNC1H1","DYNLT1","KATNA1","LRP8","MAP1B","NDEL1","PAFAH1B1","PLA2G7","YWHAE","EFS_fct"
"186","PANVAN",9.178452,6.934156,7.90586,6.543451,5.852159,5.754211,8.625979,8.06147,6.436706,6.904109,8.126734,7.904947,8.886028,7.414922,8.81475,"EFS_L5"
"187","PANYGR",9.020787,8.212434,8.140712,6.851946,5.524921,9.029364,10.04914,8.159482,6.615101,7.599875,9.814825,7.230339,9.648407,7.319038,9.587384,"EFS_L5"
"188","PANZHT",9.184849,8.391978,8.087866,7.586922,5.283315,9.356465,9.558338,8.634713,6.593813,7.727559,9.163661,7.189118,9.821296,9.437855,8.948196,"EFS_G5"
"189","PANZPV",9.358485,8.639959,7.99218,7.40659,7.333113,9.249008,9.909232,8.672107,6.87938,7.775889,10.470038,7.401695,10.071375,7.081883,9.244802,"EFS_L5"
"190","PAPAKS",8.08321,7.793059,8.050324,6.080302,5.999901,8.10389,8.44005,8.129972,6.411189,7.363323,9.310259,6.412723,9.48034,5.349084,8.880172,"EFS_G5"
"191","PAPBGH",8.973715,8.643879,7.816261,6.761893,5.638226,9.996923,9.048057,9.23647,7.04122,7.894012,9.816625,7.643984,9.872146,6.600121,10.172846,"EFS_L5"
"192","PAPBZI",8.903719,8.074462,7.771973,6.962849,5.524551,9.912446,9.438234,8.792414,6.889214,8.016937,9.993584,6.814568,9.589521,5.887502,9.528237,"EFS_L5"
"193","PAPEFE",9.027896,7.592743,7.644598,6.232355,5.706136,8.041557,8.889331,7.905124,6.65621,7.525371,9.052381,7.527623,9.320644,7.607712,8.987573,"EFS_L5"
"194","PAPEJW",8.511368,8.002608,7.816416,6.517955,5.597036,9.322405,8.841945,8.228635,6.722191,7.217053,9.607396,7.280691,9.743504,6.258896,9.496547,"EFS_L5"
"195","PAPHPE",8.850434,8.273917,8.263031,7.171547,6.292532,8.736918,10.025502,7.998308,6.201051,7.684803,9.786138,7.298036,9.950014,6.72382,8.977594,"EFS_L5"
"196","PAPJLD",9.315782,7.783867,8.290046,7.017785,6.638439,6.920814,10.080863,8.157681,6.393364,7.95447,10.295111,8.165824,10.326248,6.40735,9.235457,"EFS_G5"
"197","PAPKWN",9.444231,7.858817,7.793474,7.168196,5.589404,8.545877,9.348722,9.021053,6.952005,8.06705,9.944086,7.914819,9.710761,8.576945,10.161164,"EFS_L5"
"198","PAPRTD",9.667203,7.126393,7.899891,7.769301,6.77946,7.069968,10.021966,8.279442,6.645577,7.760982,11.042117,8.340632,10.54995,6.518844,9.72141,"EFS_L5"
"199","PAPSEI",8.672964,8.642486,7.572012,6.871105,5.332244,9.860094,9.297356,8.713398,6.57256,7.752014,9.866848,7.222202,9.884864,7.202552,9.71645,"EFS_L5"
"200","PAPSKM",9.283332,7.629022,8.05429,7.027558,5.746665,9.367202,9.656696,8.739752,6.481543,7.67944,9.926803,7.712165,9.430882,7.877675,8.957337,"EFS_L5"
"201","PAPTIP",8.746073,8.264839,7.766211,7.37018,5.820056,9.501874,9.35778,8.793482,6.612977,8.143718,9.786896,7.197154,9.829341,7.414499,9.705045,"EFS_L5"
"202","PAPTLD",8.525711,7.784668,8.273344,6.808969,6.226705,7.950328,9.659664,8.274405,6.353409,7.597872,9.890144,7.076134,9.804263,7.005449,9.224094,"EFS_L5"
"203","PAPTLY",8.529741,8.042952,7.673776,6.55472,5.964441,8.765189,9.064623,8.352644,6.517419,7.445285,9.976017,7.247992,9.598321,6.37453,9.167311,"EFS_G5"
"204","PAPTMM",8.99457,7.509492,7.935981,7.382677,5.099582,9.326847,9.481706,8.722938,6.88096,8.239077,10.099086,7.423447,9.856224,8.169231,9.907,"EFS_G5"
"205","PAPUAR",9.292141,7.787048,7.925098,7.077108,5.706316,9.694751,9.615605,8.330288,6.719489,7.497666,9.66218,7.301453,10.076945,7.766214,9.269413,"EFS_G5"
"206","PAPUEB",9.551351,7.80203,7.604018,7.505216,5.547765,9.140743,9.341515,7.944038,6.517156,7.546803,9.778036,7.446816,9.817555,7.321418,9.289742,"EFS_G5"
"207","PAPUNH",8.917052,8.198184,7.705662,6.80331,5.383577,10.505717,9.200409,8.619498,6.693562,7.905021,9.69636,7.660994,10.013426,5.996321,9.786868,"EFS_G5"
"208","PAPUTN",8.604755,8.116392,7.694769,6.538993,5.717033,9.107102,9.282462,8.332822,7.019846,8.146885,9.63437,7.353515,8.822206,6.346457,9.006475,"EFS_L5"
"209","PAPWUC",9.727969,6.793076,7.195183,6.999251,5.946747,7.060987,9.043458,8.226151,6.771838,7.132325,9.013726,8.096181,9.464079,8.216102,9.24456,"EFS_G5"
"210","PAPZYP",9.154497,7.830906,7.883551,7.417197,5.708958,9.755617,9.375139,8.620592,6.687778,7.17676,10.030043,7.744098,9.943146,7.809323,9.852227,"EFS_G5"
"211","PARABN",8.343068,7.845533,8.119804,6.449187,5.710225,7.693277,8.741357,7.886789,6.119145,7.380507,9.146994,7.320296,9.468254,6.643223,8.970598,"EFS_L5"
"212","PARACM",9.538148,7.655519,7.690799,7.243203,5.9926,8.901908,9.843041,8.427628,6.805505,7.230283,10.106728,7.827867,10.156628,7.340208,9.329329,"EFS_G5"
"213","PARAHE",9.10321,7.804273,7.598434,7.827939,5.853042,7.822492,9.676125,8.610332,6.673728,7.505662,9.832523,8.033671,9.904009,7.996839,9.661543,"EFS_L5"
"214","PARCWT",9.721821,7.934386,7.930986,7.699172,6.245375,9.613846,10.110697,8.613322,6.666432,8.080443,10.405129,7.948372,10.1706,7.006026,9.889084,"EFS_L5"
"215","PARDUJ",9.24941,8.069601,7.994651,6.966136,6.024204,9.151633,9.031422,8.349802,6.496611,7.696671,9.583067,7.251401,10.225614,6.912141,9.05599,"EFS_L5"
"216","PAREGK",9.077919,7.412471,7.984956,7.110946,5.70234,7.968571,9.242705,8.183078,6.26449,7.055567,9.537449,9.021159,9.814166,7.29473,9.35329,"EFS_G5"
"217","PARFBW",8.541621,7.916979,8.458497,6.964754,6.737523,7.850466,9.199757,8.031721,5.931013,7.884179,10.05443,7.677247,10.106759,6.825303,8.890338,"EFS_G5"
"218","PARGDJ",8.90942,8.03681,8.388698,7.604407,6.345705,9.117883,10.247796,8.480546,6.297029,8.082799,10.345012,8.057696,10.318449,7.819357,9.457442,"EFS_L5"
"219","PARGUX",9.256755,7.776008,8.258805,6.838845,5.717652,8.984254,9.60905,8.158064,6.006607,7.742068,10.016728,7.737826,10.249952,7.302637,9.643549,"EFS_G5"
"220","PARHYL",9.436875,8.348062,7.928973,7.421184,5.641839,9.388937,9.537637,8.266042,6.462312,7.701258,10.071687,8.067686,10.091131,8.610791,9.93777,"EFS_G5"
"221","PARIKF",8.619607,8.355213,7.768928,7.000583,5.481772,9.831626,9.282293,8.657094,6.549189,7.855449,10.365351,7.180687,9.875834,6.116617,9.845762,"EFS_G5"
"222","PARIKT",9.221247,7.500532,8.77721,7.221792,6.351942,7.64936,10.417673,7.930906,5.651086,7.92045,11.166628,7.826193,10.485208,7.430206,9.297015,"EFS_L5"
"223","PARIRD",8.190155,8.244796,7.992145,6.436485,6.117358,9.227333,9.081486,7.878186,5.378604,7.803037,9.381865,6.629968,8.569064,5.409476,8.566675,"EFS_L5"
"224","PARJAR",9.696816,7.9427,8.139414,7.373659,6.226855,9.498379,9.239183,8.646245,6.38363,7.770479,9.962949,7.88079,9.967064,8.536551,9.400441,"EFS_L5"
"225","PARJTB",8.767756,8.318854,7.55625,7.081758,5.299526,9.352855,9.381684,8.56851,6.633612,8.641222,9.697213,7.36204,9.596732,7.49371,9.812655,"EFS_L5"
"226","PARMFA",9.7264,7.696012,7.954991,7.669733,6.993923,7.901315,9.971489,8.361103,6.55974,7.684066,10.925076,8.175011,10.422189,9.335761,9.554647,"EFS_G5"
"227","PARMTT",8.772761,8.063442,7.969562,7.114084,5.55839,9.872019,9.254466,7.998535,6.381439,7.855354,9.464274,7.174073,9.443109,6.434767,9.596511,"EFS_L5"
"228","PARNCW",8.568249,7.786638,7.696536,7.3431,6.005371,8.204587,9.390167,8.197608,6.412284,7.270145,9.577256,7.627646,9.933792,6.191388,9.396334,"EFS_L5"
"229","PARNEE",8.196652,7.729219,7.875632,6.739199,5.48503,8.745491,9.357804,8.133036,6.071089,7.550618,9.433805,7.430797,9.654947,5.347983,9.672342,"EFS_L5"
"230","PARRBU",8.992483,8.565009,7.835773,6.618716,5.53617,9.062874,9.259928,8.177666,6.332055,8.311944,9.548257,7.294699,9.749099,6.576744,9.592226,"EFS_L5"
"231","PARSEA",8.847928,7.485253,8.644785,6.572961,6.078588,9.249317,8.695506,7.936824,6.029601,7.687698,9.91897,7.09142,10.028334,6.503599,9.158138,"EFS_G5"
"232","PARSHT",8.219706,7.728695,7.739594,6.557336,5.758855,8.44303,9.117475,7.877334,6.033971,7.081282,8.757372,7.179868,9.765377,6.556101,8.90736,"EFS_G5"
"233","PARUXY",8.788437,7.998993,8.272719,6.686744,6.546339,8.480869,9.650843,7.97247,6.027756,7.89979,10.134719,7.298622,9.885179,6.753846,9.026224,"EFS_G5"
"234","PARVME",9.173527,8.561688,8.11062,7.470704,5.40274,9.549547,9.930439,8.418169,6.069559,8.032029,9.830028,7.529515,9.752154,8.857446,9.143524,"EFS_L5"
"235","PARVRR",8.782316,8.177209,7.659072,6.93325,5.952899,8.665078,9.52446,8.860024,6.440147,8.221415,10.029556,7.454651,9.85142,7.189869,9.451115,"EFS_L5"
"236","PARXLM",8.448405,7.561962,8.147217,6.769323,5.639688,9.086537,9.022817,7.939227,6.224448,7.478776,9.744416,7.145947,9.500608,6.255079,9.217204,"EFS_L5"
"237","PASATK",8.610877,7.820288,8.113452,6.957563,5.617856,9.675338,9.334924,7.753074,5.841625,7.664163,9.39149,6.951976,9.929926,7.990075,9.023744,"EFS_L5"
"238","PASAZJ",9.221981,8.335853,7.740083,7.143809,5.446337,9.598467,9.437294,8.254138,6.355514,7.345173,10.103013,7.557845,9.998401,7.076407,9.542354,"EFS_G5"
"239","PASBEN",9.153218,7.806913,8.312199,7.163334,5.38559,9.262234,10.041493,8.657408,6.047973,7.969925,9.884353,8.03423,9.821839,6.936117,9.028566,"EFS_L5"
"240","PASCKI",9.334752,7.982478,7.762778,7.085139,5.94658,9.422327,9.481751,8.25522,6.705619,7.519765,9.690518,7.469357,9.722001,8.742463,9.44289,"EFS_G5"
"241","PASCLP",8.8504,7.987998,7.537381,7.225435,5.84576,10.00449,9.457386,8.711916,7.019649,7.319852,9.78269,7.617981,9.986239,5.232618,9.85428,"EFS_L5"
"242","PASCUF",9.561688,8.107062,7.817731,7.424349,5.472707,10.400001,9.879847,8.140262,6.078834,8.191173,10.493427,7.515084,10.136249,6.253306,9.148607,"EFS_L5"
"243","PASDZJ",9.442151,6.879877,7.676477,6.667968,5.679102,6.53449,8.771641,8.302106,6.437104,7.16882,7.8756,8.147138,9.06954,8.142491,8.926925,"EFS_L5"
"244","PASFRV",9.507525,7.687293,7.653336,7.459101,5.241054,9.506115,9.589803,8.456275,6.448874,7.336543,9.421608,7.812376,10.005841,8.147855,9.609238,"EFS_L5"
"245","PASGPY",9.131123,8.571481,8.177966,7.506422,5.939081,9.362614,9.723495,8.385095,6.787984,7.986042,9.880164,7.658294,10.64053,7.246344,9.839803,"EFS_L5"
"246","PASJRT",8.380389,8.262229,7.620959,6.905033,5.528784,8.988772,9.482843,8.392103,6.367327,7.362502,9.839837,7.139195,9.808839,5.190161,9.686296,"EFS_L5"
"247","PASJYB",8.523424,8.252274,7.770369,6.877619,6.172044,9.300753,9.522078,8.37732,6.224899,7.905025,9.457075,7.424121,9.68173,6.641553,9.469246,"EFS_L5"
"248","PASKJX",8.645588,8.261689,8.003044,7.191584,5.660818,9.593478,9.573471,8.319787,6.522419,7.211339,9.846426,7.68077,10.383307,7.836151,9.751045,"EFS_L5"
"249","PASLGS",9.697877,7.815349,8.255479,7.641823,5.410479,9.282153,9.789473,8.388162,7.012874,7.470188,10.008265,7.591311,9.93495,8.093354,9.316569,"EFS_L5"
