"","Row.names","CDC42","CREB1","GNAI1","GNAO1","GNAZ","GNB1","GNG2","MAP2K1","MAPK1","PELP1","PIK3R1","PLCB1","PTK2","EFS_fct"
"34","PADLPR",8.444855,8.562221,7.041421,8.388967,8.272182,10.078867,8.378741,7.307134,8.299823,7.704349,8.207594,6.811072,8.782345,"EFS_L5"
"35","PADLPZ",8.519922,8.471335,7.532224,9.372043,8.874352,10.605468,8.227178,7.712133,9.056974,7.862474,9.059684,6.769781,9.28219,"EFS_L5"
"36","PADLTD",8.635257,8.360186,7.095772,8.683059,7.876264,9.830503,8.389593,7.667974,8.238311,7.598578,8.527864,6.767856,8.929493,"EFS_L5"
"37","PADMGA",9.844926,8.489379,7.422831,8.322276,7.921786,10.754119,8.594743,8.635237,9.028741,7.491834,9.006754,6.670805,8.787076,"EFS_L5"
"38","PADMTD",9.238452,9.29089,8.18249,8.779699,7.994014,10.378708,7.82916,7.643502,9.068584,7.889792,8.752241,7.524844,8.880715,"EFS_L5"
"39","PADMVB",8.540513,8.505186,7.130617,9.083562,8.657171,10.703875,8.136635,7.343761,8.614319,7.782241,7.854515,5.7462,8.331716,"EFS_L5"
"40","PADMXD",9.18229,8.894157,8.079454,9.53886,8.028942,10.516367,8.355324,8.310664,9.204841,7.977912,8.465562,7.185421,9.074833,"EFS_L5"
"41","PADMYD",9.306727,8.476956,6.971756,8.845665,8.206705,10.601493,7.79495,8.208092,8.887963,7.547345,8.322081,7.254613,8.604989,"EFS_L5"
"42","PADNFT",9.462702,9.236742,7.249476,9.360721,8.656593,10.771694,8.015741,8.377641,8.900504,7.210688,8.204652,6.536843,8.86702,"EFS_L5"
"43","PADNNX",9.316987,8.800478,7.300927,9.371331,8.826051,10.939548,8.853959,8.164091,8.933391,7.81722,9.397616,7.833722,8.830296,"EFS_L5"
"44","PADNXC",8.794851,8.575848,7.014707,8.516825,7.989652,10.142193,8.081145,8.140719,8.817937,7.74932,8.677586,6.805493,8.894201,"EFS_L5"
"45","PADPCI",9.665419,9.035681,8.215523,9.625124,9.069087,11.340874,8.540488,8.497132,9.444054,7.711469,8.744799,5.763175,8.783792,"EFS_L5"
"46","PADPEY",8.507318,8.043354,6.91834,9.017366,7.584832,9.58027,8.333272,7.427453,7.902503,7.59303,7.783018,7.616232,8.720938,"EFS_G5"
"47","PADPHP",9.454582,8.58156,7.233305,8.831996,8.648789,10.750904,8.486729,8.340215,8.96569,7.766362,9.738682,6.46078,8.619006,"EFS_L5"
"48","PADPMU",9.07365,8.225209,7.405358,9.482932,8.617955,10.54107,8.396909,8.083553,8.854999,8.000677,8.411241,7.611801,8.385729,"EFS_L5"
"49","PADPRJ",9.431139,9.116682,8.311989,9.003158,8.624529,11.048762,8.034233,8.184047,8.928751,7.631971,8.959881,6.934011,8.790098,"EFS_L5"
"50","PADRYN",7.406239,7.644927,5.710944,7.764845,7.816632,9.153712,6.837991,7.193751,7.448038,7.421993,7.008784,7.051616,8.2678,"EFS_L5"
"51","PADSEC",9.497368,8.859573,7.959006,8.955208,9.000545,10.881399,8.743428,8.360214,9.625199,7.511125,8.621654,7.523352,8.744091,"EFS_L5"
"52","PADSMF",8.956871,8.807565,7.116204,9.344897,8.52691,10.750568,8.445261,8.072889,8.878412,7.844511,8.332364,6.498927,8.445432,"EFS_G5"
"53","PADSXE",9.675424,9.094069,8.345459,9.3264,8.740229,11.25065,8.435746,8.385446,9.286784,7.695062,8.612043,6.658084,8.953123,"EFS_G5"
"54","PADSXU",9.090387,8.699343,7.446293,8.692194,8.077122,10.176203,8.128723,8.618624,9.244703,7.433381,9.233486,8.366671,9.001204,"EFS_L5"
"55","PADTCU",8.980755,8.170735,7.120203,9.052474,8.392424,10.392906,8.094588,7.532036,8.703444,7.529994,8.058632,7.198135,8.240416,"EFS_L5"
"56","PADTJJ",8.597849,8.793345,7.59267,8.896519,8.051255,10.041293,8.560518,7.808574,8.652959,7.857169,8.22798,6.052395,9.064311,"EFS_G5"
"57","PADTRV",9.249795,8.268969,7.532051,8.818376,7.742745,10.33172,9.109191,7.49267,8.438648,7.374212,8.985503,7.229692,9.313869,"EFS_G5"
"58","PADUKP",7.963138,8.12188,6.174052,8.836309,8.403207,9.739957,8.368297,8.386521,8.445777,6.812765,8.40561,7.790483,8.111847,"EFS_L5"
"59","PADUWR",9.581727,8.960008,8.2833,9.428738,8.676992,11.505307,9.643986,8.811261,9.741301,7.813058,9.476678,7.758409,9.280611,"EFS_G5"
"60","PADUYJ",8.550957,8.998138,7.474557,8.868566,8.388746,10.118644,8.099747,7.241491,8.730343,7.830403,8.644463,7.442301,9.011414,"EFS_L5"
"61","PADVSN",8.733221,8.056572,6.727187,9.585685,8.941681,10.852241,8.493132,7.056956,8.539825,7.86011,7.339002,5.644082,8.517423,"EFS_G5"
"62","PADVWW",9.451785,9.174581,7.733873,9.17316,8.52799,10.856167,7.971295,8.330497,8.744506,7.304456,9.314224,7.864546,8.848487,"EFS_G5"
"63","PADWEN",9.222669,8.718778,7.421944,8.553716,8.507939,10.696147,6.377552,8.004359,8.635085,7.756326,8.339718,6.405934,9.308577,"EFS_L5"
"64","PADWIM",9.403553,8.376076,7.221481,8.679435,8.521905,10.57251,8.90841,8.242574,8.878287,7.844687,8.93276,7.824942,8.730006,"EFS_L5"
"65","PADWSM",9.564889,9.100368,8.911379,9.643812,9.69872,11.269885,8.927434,8.505796,10.134316,8.137788,9.565572,7.548892,9.142577,"EFS_G5"
"66","PADWVR",9.713835,9.010979,8.381679,8.246233,8.025124,10.957704,8.194398,7.885218,8.541207,7.270689,9.046068,5.724083,8.729107,"EFS_G5"
"67","PADXAS",9.322225,8.68245,7.713429,8.974384,8.673025,10.812107,8.443386,8.400657,8.742729,7.900296,8.714195,7.326815,8.952515,"EFS_G5"
"68","PADXBB",8.579809,7.576125,6.573825,8.140801,8.027205,10.142795,7.905705,7.459692,8.045975,7.332885,7.76581,5.896044,8.089356,"EFS_L5"
"69","PAIDJS",9.099817,8.57454,7.431156,9.079561,8.304008,10.882116,8.723107,7.674152,9.054107,7.890299,9.935598,8.100466,8.789021,"EFS_G5"
"70","PAIEIF",9.82421,8.581722,7.862261,9.759474,8.573242,11.073929,8.62973,8.587451,9.165394,7.184523,9.920556,7.259166,8.716763,"EFS_L5"
"71","PAILZJ",9.742716,7.748104,7.404136,9.035082,8.642143,10.804871,8.687555,8.584679,9.168074,7.391133,9.480736,6.957356,8.853558,"EFS_L5"
"72","PAIMDS",9.37208,9.189346,8.370877,9.240323,8.293521,10.441348,9.09601,8.420471,9.461179,7.391982,9.458092,7.221582,9.781172,"EFS_L5"
"73","PAIPGU",9.167172,8.659847,7.450133,8.926416,8.758456,10.32414,8.533496,7.937038,8.916868,7.570492,8.317201,6.51951,8.477472,"EFS_L5"
"74","PAIPUD",9.488483,9.016011,8.340564,9.432367,8.478837,11.081478,8.831689,7.896661,8.88762,7.518695,9.45007,7.368256,9.00145,"EFS_G5"
"75","PAIRDP",9.108469,9.043715,7.652244,9.417429,8.031976,10.550936,7.331628,7.631779,8.595618,7.112293,8.39992,7.638319,8.897739,"EFS_L5"
"76","PAIRIK",8.953384,8.554062,7.980869,9.26462,8.675877,10.992407,9.106904,7.970272,8.570958,7.478001,8.968163,7.293954,8.559756,"EFS_G5"
