"","Row.names","AHRR","BRD9","C5orf38","CEP72","CLPTM1L","IRX2","IRX4","LPCAT1","LRRC14B","MRPL36","NDUFS6","PDCD6","PLEKHG4B","SLC12A7","SLC6A18","SLC6A19","SLC6A3","SLC9A3","TERT","TRIP13","EFS_fct"
"84","PAIVHE",7.306586,7.226097,7.076878,7.182229,7.91162,7.294418,6.88035,7.544825,5.651307,6.9908,8.473606,7.610074,6.173764,7.408641,6.771269,6.485046,6.804467,7.043813,7.923843,7.048335,"EFS_L5"
"85","PAIVMJ",6.961595,7.194635,6.526962,6.866407,7.951539,7.162343,6.501846,7.458425,5.183993,6.859344,8.346188,7.514206,6.037313,7.043266,6.311707,5.882987,6.440645,6.716149,6.645934,6.811715,"EFS_G5"
"86","PAIVZR",7.271495,7.27905,7.186245,7.156811,7.87775,7.311475,6.755382,7.370629,5.94431,6.926836,8.424668,7.508199,7.055023,6.918823,6.795713,6.42991,6.835395,7.023251,6.994076,6.776682,"EFS_L5"
"87","PAIWHU",7.276614,7.049371,7.114493,6.988295,8.224871,7.37016,6.788176,7.729627,6.08498,7.038744,8.554748,7.836293,5.948594,7.02616,6.56938,6.432663,6.710709,6.864099,7.035635,6.349817,"EFS_G5"
"88","PAIWVG",7.439209,6.905828,7.395138,6.985193,8.061636,7.705864,7.210823,7.567959,5.825133,7.189284,8.792386,7.173827,6.229298,7.209747,6.947026,6.391736,7.022126,7.421851,7.286592,6.608551,"EFS_L5"
"89","PAIXLC",6.790754,7.176854,6.221115,6.890236,8.436931,7.090641,6.517132,7.661644,5.40473,7.115777,8.301092,7.626629,5.664698,6.933249,6.425278,5.838801,6.346621,6.571176,6.677255,6.329835,"EFS_G5"
"90","PAIXNG",7.141299,7.233603,7.023403,7.556232,8.468101,7.397549,6.929066,7.743124,5.829603,7.279093,8.857018,7.82003,7.252485,7.866075,6.603218,6.183798,6.523997,6.986092,7.018593,7.392862,"EFS_L5"
"92","PAJYHP",7.129544,7.270662,6.9693,7.095838,8.05966,7.16098,6.446355,7.315269,5.825613,6.882606,8.389494,8.028032,6.008106,7.459319,6.643306,6.16603,6.642427,6.797292,6.935798,7.11743,"EFS_L5"
"93","PAJYLA",7.195115,7.174833,7.302383,6.907237,9.289683,7.514579,7.067397,7.723497,5.931117,7.474733,8.806902,7.806253,6.778423,7.611221,6.87682,6.621468,7.128335,7.262268,7.338674,7.438507,"EFS_L5"
"94","PAJYVA",6.974696,7.601051,6.744658,7.41312,8.394915,7.200561,6.808402,7.892231,5.842127,7.012999,8.306474,7.884502,6.635132,7.684315,6.359693,6.02477,6.683786,6.810991,7.231523,7.047857,"EFS_L5"
"95","PAJZUU",7.350477,7.264078,7.438103,6.999088,9.113635,7.67807,7.235194,8.039457,5.48475,7.373516,9.140064,7.6368,7.071573,6.7683,6.824649,6.30438,7.002125,7.336567,7.384259,6.889245,"EFS_L5"
"96","PAJZWL",7.037802,7.076533,6.895907,7.165588,8.61833,7.06714,6.672959,7.423736,5.57844,6.805459,8.548388,7.849853,5.924834,7.238764,6.497841,5.969251,6.534038,6.592558,6.91167,7.212583,"EFS_L5"
"97","PAKACY",7.046212,6.976242,7.025803,7.028038,8.262784,7.116575,6.730063,7.222126,5.66566,7.273773,9.108246,7.427889,6.442297,6.807752,6.428313,6.046845,6.703456,6.560447,6.870853,7.226826,"EFS_L5"
"98","PAKADI",6.978624,6.979387,6.761307,6.591427,8.192997,7.038459,6.434743,7.875767,5.697987,7.133163,8.559442,8.126851,6.07426,7.168798,6.373513,6.041304,6.506933,6.525162,6.8578,5.752835,"EFS_L5"
"99","PAKAFK",6.997904,7.230675,6.458832,7.072942,8.492327,6.910001,6.589332,7.402893,5.77208,6.630451,8.5751,7.918512,5.8516,6.902028,6.394356,5.643816,6.352459,6.686551,6.761031,6.662476,"EFS_G5"
"100","PAKANZ",6.953188,6.978226,6.444447,7.195093,7.997084,7.238573,6.241406,7.537257,4.938487,6.752501,9.00514,7.570063,5.812749,6.764295,6.663699,5.953432,6.543748,6.7023,6.7625,7.00616,"EFS_L5"
"101","PAKDHL",7.165833,7.085512,6.989263,7.15664,8.260242,6.992918,6.451687,7.601487,5.767733,7.085796,8.51697,7.843324,6.20164,7.080141,6.639512,6.281856,6.839841,6.805681,7.208586,6.974444,"EFS_L5"
"102","PAKGCI",7.138443,6.833415,6.902343,7.001069,8.003357,6.833863,6.918528,7.269185,5.5097,6.956014,8.450924,7.616583,6.027661,6.824015,6.519063,6.101517,6.573502,6.699679,6.874361,6.319267,"EFS_G5"
"103","PAKGKH",7.511142,6.790499,7.243465,7.041084,8.942567,7.667379,7.374216,8.197918,6.18125,7.535674,9.595858,7.504038,6.160796,7.165034,7.006697,6.709333,6.741276,7.433899,7.305292,7.27031,"EFS_L5"
"104","PAKGMY",7.454536,7.137755,7.522645,7.443536,8.606759,7.618691,7.115253,7.755541,6.36787,7.070043,8.567648,7.66784,7.200327,7.076206,6.837426,6.536914,6.892498,7.349674,7.473552,7.519176,"EFS_L5"
"105","PAKHAV",7.508643,6.593627,7.242193,7.202241,8.735251,7.769719,7.49083,8.195196,6.24548,7.449321,8.82257,7.288782,6.075972,7.505632,6.839678,6.689481,6.882471,7.481369,7.287393,7.253059,"EFS_L5"
"106","PAKINP",6.90062,7.169427,6.347513,6.828234,8.32108,7.126086,6.764023,7.813716,5.590233,7.032316,8.550562,7.717192,5.654379,6.639346,6.187382,5.964866,6.39691,6.752582,6.718409,6.48476,"EFS_G5"
"107","PAKJBA",7.136622,6.87432,6.591415,7.477768,8.682313,7.227549,6.875959,8.156809,5.356367,7.426913,8.754496,7.246941,6.981849,7.421144,6.302489,5.78119,6.614885,6.733908,6.872532,8.007447,"EFS_G5"
"108","PAKSWB",6.858378,7.198389,6.642173,7.034311,8.454373,7.005463,6.492061,7.821329,5.785917,6.846581,8.475902,7.626436,5.62948,6.601981,6.127336,5.785286,6.495286,6.547783,6.659169,7.043766,"EFS_G5"
"109","PAKUXT",7.288205,7.265367,6.75601,7.003614,8.778664,7.200547,6.476188,8.025108,5.55532,7.275064,8.775432,7.879321,6.067729,7.610606,6.557583,6.206199,7.583231,6.846104,6.868316,7.417645,"EFS_L5"
"110","PAKWCJ",7.184125,6.967062,7.123103,6.882542,8.091217,7.264131,6.944933,7.43414,6.240503,6.819181,8.3329,7.501114,5.940791,6.984835,6.783416,6.324382,6.782761,6.992367,7.044715,6.326868,"EFS_G5"
"111","PAKXDZ",7.183183,7.992605,6.854892,7.516142,8.990083,7.247979,6.881688,8.063231,5.84411,7.81111,9.49539,8.08971,7.414337,6.847068,6.639729,6.110617,6.693173,6.902528,7.335279,7.841548,"EFS_L5"
"112","PAKYZS",7.340063,6.551809,7.261073,6.612154,7.849175,7.523839,7.108248,7.467258,5.988233,6.826814,8.285626,7.463104,6.292764,7.075819,6.728893,6.45154,6.783362,7.171478,7.157563,5.345806,"EFS_L5"
"113","PALAWZ",7.059191,7.505916,6.732622,6.567753,9.444811,7.141924,6.716684,7.520584,6.078363,7.230507,8.413488,7.943428,5.933197,7.720172,6.529687,5.966453,6.942069,7.057189,6.904935,7.463885,"EFS_L5"
"114","PALBFV",6.906733,7.676966,6.585278,7.648176,8.844306,6.983866,6.536021,7.757548,5.170493,7.407653,8.764054,7.797079,6.326727,6.792987,6.241306,5.92685,6.771511,6.478006,6.898822,8.204495,"EFS_L5"
"115","PALBFW",7.167772,7.088209,6.654982,6.736732,8.115953,7.016024,6.524769,7.75373,5.12248,6.914902,8.632412,7.712184,5.738859,6.87411,6.440413,5.978786,6.843409,6.639861,6.82829,6.025607,"EFS_L5"
"116","PALEAC",7.017283,6.83578,7.006683,6.906646,8.01136,7.028365,6.642764,7.62231,5.774743,6.81504,8.139318,7.346684,6.043696,6.929351,6.383053,6.068814,6.560555,6.630099,6.620204,6.277445,"EFS_G5"
"117","PALEBK",6.88319,7.074057,6.569267,6.807852,8.104936,6.948127,6.638465,7.471472,5.748533,7.061699,8.360582,7.544126,5.730751,6.77865,6.250003,6.01297,6.4394,6.611699,6.725399,7.086738,"EFS_G5"
"118","PALETP",7.170517,6.963442,7.093233,7.318694,8.438666,7.163124,6.593691,7.535794,5.845097,7.110477,8.868544,7.617016,6.630724,6.903349,6.523686,6.285593,6.676802,6.846648,7.041533,7.525586,"EFS_L5"
"119","PALFRE",7.582608,6.719221,7.556487,7.024908,8.127685,7.719231,7.390904,7.715642,6.28418,7.484797,8.377974,7.649471,6.660034,7.790622,6.843231,6.654429,6.981726,7.342403,7.171463,5.90838,"EFS_L5"
"120","PALFSE",7.075215,6.966133,6.869507,6.855974,8.736099,7.239749,6.494185,8.000803,5.196227,7.727126,9.43094,7.772005,5.903004,7.42524,6.375025,5.963482,6.363487,7.080433,6.877462,6.056498,"EFS_G5"
"121","PALGFF",7.188864,7.191111,6.921853,6.870482,8.324589,7.312148,6.875296,7.709131,5.87262,7.14393,8.859494,7.899058,6.206374,6.883363,6.451204,6.217991,6.803006,6.945247,6.932606,6.324827,"EFS_L5"
