"","Row.names","ATIC","BARD1","CAD","CENPF","HMGA1","LDHB","MYBL2","NCAPD2","NME4","RPL10A","RPL27A","RPL29","RPL35A","RPL7A","RPS10","RPS14","RPS18","RPS19","RPS25","RPSA","SNRPD2","TKT","TRAP1","EFS_fct"
"64","PADWIM",7.43893,6.089597,7.070668,7.728646,8.217479,9.112813,7.891091,8.829789,7.858635,10.19628,8.330823,9.455936,9.070729,8.860318,9.966424,8.552679,10.244235,9.234421,9.856182,9.385271,8.214012,7.685347,8.170358,"EFS_L5"
"65","PADWSM",8.09574,6.685587,8.085664,7.480982,8.608069,7.921944,8.88497,9.042857,7.85614,10.238841,8.859316,9.864302,9.120626,9.312353,10.092352,8.982894,10.147747,9.305683,9.720767,9.578172,8.347252,8.608931,9.311765,"EFS_G5"
"66","PADWVR",7.682503,7.430879,7.118012,9.04777,8.237636,9.129951,8.411081,7.955353,7.650915,9.509075,8.125443,9.191342,9.119455,8.523829,9.442775,8.489881,9.792435,8.735967,9.616167,9.89653,7.61984,8.213358,8.387581,"EFS_G5"
"67","PADXAS",7.590045,6.218363,7.552776,8.004112,8.150606,8.452289,8.398557,8.471518,7.78185,9.263014,8.582644,8.942526,9.191077,8.410477,9.192604,8.065718,9.397629,8.883034,9.470798,9.344843,7.032492,8.011489,8.63695,"EFS_G5"
"68","PADXBB",6.741941,5.538607,6.96718,6.763204,8.524458,7.851131,7.789905,7.074073,8.295384,9.953206,8.228579,9.651707,9.080626,8.647306,9.471842,8.43459,10.384439,9.782203,9.454438,9.320163,8.186165,7.957402,8.089328,"EFS_L5"
"69","PAIDJS",7.962499,6.85637,7.698216,5.375934,8.200123,8.874102,6.482994,7.74427,7.932884,9.594668,7.929494,9.29428,9.14001,8.393598,9.097677,8.60942,10.127649,8.96538,10.264075,9.511815,7.56784,7.406087,8.17436,"EFS_G5"
"70","PAIEIF",8.627081,5.870957,7.561572,6.135833,8.139364,9.071029,6.548536,7.879762,7.718255,10.031668,8.449984,10.20269,9.075844,8.989669,9.626849,9.042038,10.542951,8.898694,10.726083,10.043312,8.266022,8.43682,8.662042,"EFS_L5"
"71","PAILZJ",7.116047,6.486715,7.113472,7.766179,8.246573,8.510601,8.242119,8.112198,7.649376,9.789193,8.918954,9.595137,8.976732,8.780901,9.480155,8.30236,9.898233,8.872989,9.983698,9.610197,7.767661,8.254989,8.137635,"EFS_L5"
"72","PAIMDS",7.449443,5.744272,7.178262,5.072038,8.024094,8.400978,6.077644,7.714084,7.560144,9.502111,8.606559,9.130463,8.841049,8.416473,9.091649,8.109524,9.649867,8.328327,9.526148,9.318373,7.602187,7.85548,8.502217,"EFS_L5"
"73","PAIPGU",7.571024,6.766944,7.834329,8.80284,8.440506,9.112982,9.131016,9.534158,7.719498,9.818521,8.984025,9.823941,9.269386,9.379488,10.172964,9.198408,10.261764,9.967233,10.036137,9.813708,8.439181,8.347897,8.502172,"EFS_L5"
"74","PAIPUD",7.411564,6.011726,7.351504,6.623548,8.087383,8.483377,6.901702,7.560345,7.76841,9.664792,8.625711,8.878325,9.004647,8.448005,9.324716,8.392323,9.653627,8.600347,9.420682,9.121334,7.483451,7.621821,8.355238,"EFS_G5"
"75","PAIRDP",9.0478,7.863453,8.329543,8.713925,8.838277,9.607087,8.021895,8.681822,8.368118,11.045584,9.530341,10.890488,9.855086,9.711054,10.242085,9.339874,10.838027,9.934688,11.012253,11.030646,8.611831,8.796307,9.462981,"EFS_L5"
"76","PAIRIK",7.300355,5.901847,7.348193,6.956041,8.185756,8.486846,7.529476,7.799809,8.028733,9.440812,8.272232,8.915132,8.702253,8.368887,8.967837,8.122968,9.351123,8.899758,9.44591,9.310867,7.698331,7.962359,8.381068,"EFS_G5"
"77","PAIRLN",7.830606,6.475235,7.521314,9.405964,8.891339,9.090622,9.200402,8.866256,8.126406,10.380491,8.807477,9.646639,9.680118,9.499998,10.067583,8.707527,10.344504,9.696263,10.277795,9.50232,8.479895,8.173065,8.619446,"EFS_G5"
"78","PAISNS",7.381654,6.839899,7.16753,8.509843,8.391333,9.034288,9.220219,10.232865,7.922571,10.151159,8.297487,8.914575,8.985677,8.906463,9.883184,8.342119,9.888535,9.340625,10.126987,9.181056,7.606355,7.432623,8.671107,"EFS_L5"
"79","PAITCI",8.483626,6.200403,7.830768,7.633255,8.198367,9.116488,8.183443,8.807725,8.132053,9.748657,8.597152,9.768403,9.034885,8.840691,9.323305,8.554151,9.984651,8.433464,9.477468,9.651626,8.115661,8.248484,8.90709,"EFS_L5"
"80","PAITEG",7.456525,6.352108,7.103343,5.583088,8.530568,8.415014,6.545508,7.163201,8.01392,10.266727,8.828433,9.784897,9.420454,8.914987,10.061097,8.880058,10.317581,9.234807,10.629277,9.561902,7.949998,9.044725,8.176569,"EFS_L5"
"81","PAITRM",7.625745,7.20376,7.342532,8.664655,8.193353,8.634088,8.682492,8.767432,7.768312,9.822698,8.73517,9.044226,9.075998,8.723128,9.434984,8.514215,9.692808,8.936782,9.730413,9.483517,8.143235,7.817897,8.362761,"EFS_G5"
"82","PAITZV",7.823895,6.363021,7.795487,8.346287,8.558117,8.767259,8.86894,8.150973,8.193112,10.307525,8.876814,9.592755,9.439788,8.997495,9.819922,8.826463,10.287931,9.980759,10.467213,9.805105,8.605756,8.045888,8.583564,"EFS_G5"
"83","PAIUJB",8.500469,6.482192,8.081932,8.615941,8.548613,9.621148,8.104721,8.775288,7.819565,10.583905,9.277269,10.685219,9.619811,9.585453,10.125654,9.564143,10.746472,9.724649,10.849353,10.884327,8.495784,8.865069,9.334064,"EFS_L5"
"84","PAIVHE",7.173979,6.527797,7.184912,7.839004,8.305443,8.706515,8.253036,8.500413,8.000668,9.856016,8.932071,9.496424,9.32377,8.944107,9.378035,8.28875,9.876425,8.995942,10.013535,9.291896,7.85927,7.931894,8.034791,"EFS_L5"
"85","PAIVMJ",7.592675,6.853403,7.431974,7.530073,8.250927,8.788358,7.949659,8.425678,7.691447,9.7137,8.311737,9.484809,9.327236,8.842863,9.44579,8.698618,9.92213,8.890162,10.120933,9.885817,7.30017,7.793468,8.172621,"EFS_G5"
"86","PAIVZR",7.960486,6.401324,7.251758,7.894775,8.530554,9.63982,7.849679,8.054924,8.146141,10.487419,9.392658,10.250755,9.837218,9.318932,9.905596,9.031937,10.162963,9.317222,10.23154,9.999673,7.96972,8.485444,8.833796,"EFS_L5"
"87","PAIWHU",7.546182,6.030839,7.771815,6.689608,8.20178,8.804646,7.10641,7.730598,7.990216,9.298128,7.658883,8.493446,8.681937,8.295271,9.230459,8.26719,9.584054,8.428354,9.454138,9.002221,7.072808,7.583324,8.773205,"EFS_G5"
"88","PAIWVG",7.192967,6.1213,7.421408,7.81198,8.621257,8.880258,9.348208,8.683978,8.029528,9.608685,8.87511,9.18202,9.30594,8.877703,9.427008,8.661118,9.844257,9.286932,9.951552,9.343739,8.264203,7.93864,8.312607,"EFS_L5"
"89","PAIXLC",7.771959,6.178759,8.237966,6.734131,8.288373,9.005178,7.523579,8.211578,7.993748,9.491195,8.197129,9.353333,9.260431,8.262473,9.385702,8.750451,9.843145,9.171146,10.049338,9.962605,7.850602,7.943836,8.376787,"EFS_G5"
"90","PAIXNG",8.464194,7.751023,8.369038,9.548161,8.238123,9.49133,8.503054,9.317353,8.504672,9.876552,8.257101,9.493251,9.512707,9.081267,9.621148,8.562419,9.911858,9.593688,10.003122,9.68212,8.349691,7.854535,8.736168,"EFS_L5"
"92","PAJYHP",7.512515,6.032701,7.532234,8.816962,8.190959,8.749851,8.700088,8.589632,8.191742,9.41235,8.090048,9.126665,8.855052,8.54259,9.299352,8.109355,9.498199,8.592394,9.211342,9.458218,7.441869,7.786883,8.188876,"EFS_L5"
"93","PAJYLA",7.839627,6.901732,7.565362,8.530351,8.418425,9.233821,7.938411,7.901433,8.396312,10.085101,8.558292,9.813318,9.392176,8.670831,9.768469,8.726564,10.341727,9.209734,10.186675,10.080606,8.603244,8.363417,8.541851,"EFS_L5"
"94","PAJYVA",7.915873,6.064732,8.162976,8.220777,8.653102,9.485601,8.377066,8.718431,8.574844,9.632355,8.203446,9.448199,8.942358,9.160606,9.545344,8.400853,10.029664,9.157986,10.025038,9.995702,7.688897,8.785964,9.340968,"EFS_L5"
"95","PAJZUU",8.414284,7.481512,7.814698,7.344325,8.890486,8.948196,8.741398,8.238728,8.791202,10.427679,8.721475,9.981798,9.395016,9.145956,10.014821,9.439355,11.019359,10.351134,10.81307,10.551823,9.135735,8.356409,8.989572,"EFS_L5"
"96","PAJZWL",7.739314,6.543722,7.765057,7.657915,8.590244,9.386989,8.65138,8.987065,8.246315,9.640849,8.236942,8.789251,9.507876,8.499233,9.596695,7.998928,9.961694,9.341514,9.824738,9.018582,7.789487,7.742456,8.70951,"EFS_L5"
"97","PAKACY",8.256596,6.243994,7.680587,8.709751,8.248844,9.82976,7.688999,8.327778,7.964565,10.284261,8.629632,10.265103,9.619582,9.672736,10.014672,9.521766,10.952212,9.603493,10.767162,10.625164,8.739763,8.700798,9.059001,"EFS_L5"
"98","PAKADI",7.778035,5.635272,7.599522,6.23452,7.826511,8.616136,6.417916,7.021539,7.482248,9.460762,8.156398,9.101701,9.023291,8.504608,9.217702,8.476856,9.999799,8.77837,9.403287,9.713663,7.268469,7.817339,8.599173,"EFS_L5"
"99","PAKAFK",7.902476,6.932981,7.663991,7.729412,8.073687,9.023561,8.301905,8.566605,8.191631,9.789728,8.238682,8.872445,9.192081,8.802636,9.713232,8.244744,9.742376,9.085295,10.34105,9.218199,7.442323,7.519175,8.471574,"EFS_G5"
"100","PAKANZ",7.264835,6.888322,7.725612,8.739589,7.927199,8.719368,9.102171,9.244426,7.534679,8.915838,7.99391,8.759625,8.713106,8.387274,9.003956,8.011003,9.470609,8.758968,10.078722,9.57614,7.852939,7.624248,7.982936,"EFS_L5"
"101","PAKDHL",7.469123,6.363012,7.27385,9.067573,8.329218,8.700482,8.0433,8.844854,7.875056,9.796003,8.170347,9.227287,9.293639,8.397682,9.479329,8.141689,10.055838,8.497397,9.198173,9.70469,7.607336,7.499989,8.115504,"EFS_L5"
"102","PAKGCI",7.713395,6.174437,7.463689,6.996012,8.174634,8.920552,7.785336,8.458306,7.829656,9.833642,8.4585,9.265972,9.306386,8.600898,9.887255,8.887889,10.20464,9.338362,10.116668,9.779257,7.565668,7.918256,8.179046,"EFS_G5"
"103","PAKGKH",8.138998,6.131171,8.098536,8.385973,9.137879,9.221371,8.550913,8.791335,8.327935,9.848229,8.85837,9.220625,9.359436,8.901096,9.904584,9.324272,9.997786,9.689345,9.693063,9.203265,8.570309,8.234774,9.136366,"EFS_L5"
"104","PAKGMY",8.22934,6.383599,8.003561,8.587284,8.756512,9.139392,8.799903,8.913476,8.425395,10.052275,8.292224,9.841671,9.255628,8.820203,9.868211,8.711907,9.939734,8.953062,10.599553,9.796433,8.173143,8.69896,9.238188,"EFS_L5"
"105","PAKHAV",8.208752,7.72217,8.007759,7.522274,8.815841,9.003842,8.731143,9.396716,8.172886,9.838213,8.139851,9.744239,9.069266,8.669447,9.714501,8.732665,9.883099,9.768242,9.921352,9.948182,8.466699,8.437233,8.867486,"EFS_L5"
"106","PAKINP",7.349423,5.866395,7.726371,6.122518,8.201718,8.743458,7.090365,7.731014,7.708158,9.17935,7.984375,8.780267,8.95964,8.301133,9.166389,8.573778,9.529916,8.551154,9.78371,9.485594,7.430564,7.441068,8.651375,"EFS_G5"
"107","PAKJBA",8.816587,8.896272,8.227103,9.830331,8.905551,9.638838,9.931241,10.195412,8.076105,10.37889,8.981042,9.798497,9.445648,8.975622,10.150502,8.805238,10.250126,10.096826,10.434547,10.398935,8.852282,8.261401,8.816034,"EFS_G5"
"108","PAKSWB",7.899273,7.89871,7.48207,7.896369,8.331593,8.915029,7.83589,8.352492,7.718513,9.241131,7.888693,8.82225,8.693553,8.128625,9.296942,8.665561,9.632762,8.604368,9.524587,9.243468,7.448021,7.570944,8.379507,"EFS_G5"
"109","PAKUXT",8.043652,6.322626,7.982049,8.428996,8.575431,9.180026,9.233509,8.623008,8.037649,9.646697,8.520886,9.077832,9.334052,8.551425,9.276321,8.395631,9.339457,8.80062,9.685853,9.40775,8.055309,7.883979,8.933802,"EFS_L5"
"110","PAKWCJ",7.532678,5.990656,7.479707,6.449817,8.224289,8.688338,7.607107,7.726246,7.829787,9.316062,7.981087,8.665019,8.890613,8.492586,9.188781,8.41656,9.658901,8.438466,9.482318,8.817422,7.415957,7.501382,8.322907,"EFS_G5"
"111","PAKXDZ",8.629463,6.388972,8.354103,8.735844,9.052083,9.664417,8.738385,8.910879,8.321094,10.195909,9.474914,10.119435,9.613647,9.766272,10.555467,10.03144,10.879599,10.378984,10.902982,10.35438,9.452254,8.763116,9.62321,"EFS_L5"
"112","PAKYZS",7.254516,5.993659,7.120685,4.751092,8.067788,8.027882,6.435623,7.264263,7.750375,8.805079,7.8828,8.759621,8.464269,7.996086,8.305638,7.973602,9.277911,7.611741,9.219882,8.323993,7.57444,7.873908,8.622368,"EFS_L5"
"113","PALAWZ",7.744167,6.303858,7.073764,7.127716,8.868693,8.973593,7.821825,7.605206,8.250719,10.322823,9.193006,10.034018,9.693359,9.498636,10.023124,9.495339,10.595458,9.690676,10.539052,9.829637,8.571492,8.291047,8.478994,"EFS_L5"
"114","PALBFV",8.820508,7.583582,8.463779,9.693864,8.968581,10.054929,9.578164,9.368235,8.487666,9.871618,9.064671,10.028403,9.688698,9.368519,9.963662,8.968087,10.010795,9.627783,10.65966,10.172673,8.674382,8.592021,9.374622,"EFS_L5"
"115","PALBFW",7.826653,5.654791,7.327423,5.708346,8.104113,8.583413,6.657279,7.408455,7.615949,9.073763,8.332735,8.459151,8.957226,8.457005,9.105244,8.466203,9.513803,8.698091,9.486647,8.874924,7.509242,7.33492,8.721012,"EFS_L5"
"116","PALEAC",7.879081,6.410442,7.579184,7.198116,8.123032,9.052892,7.702081,8.41435,7.880165,8.981099,7.777675,8.994137,8.786252,8.315154,9.102486,8.169996,9.504927,8.582873,9.600757,9.506111,7.55565,7.611073,8.330215,"EFS_G5"
"117","PALEBK",7.877889,6.855363,7.613036,7.474399,8.345772,9.000664,8.342622,8.421036,7.700088,9.484703,7.866454,8.971166,8.904998,8.605065,9.420166,8.517106,9.883947,8.775309,9.642682,9.367561,7.650899,7.685208,8.246261,"EFS_G5"
"118","PALETP",8.132698,6.415135,7.814945,8.393238,8.282089,9.438524,8.704893,8.559407,7.829716,9.245935,8.440935,8.850682,9.13253,8.352268,9.112207,8.800639,9.563997,8.389049,9.61818,9.150818,7.751442,7.515985,8.713716,"EFS_L5"
"119","PALFRE",7.996821,6.839998,7.556466,6.25023,8.53158,8.986105,7.301712,8.144922,8.027489,10.311142,8.516822,9.813597,9.388414,8.972625,10.146193,8.992379,10.43933,10.264371,10.503953,9.837547,8.256504,7.977851,8.165052,"EFS_L5"
"120","PALFSE",8.080739,7.268897,7.595378,5.475728,8.237381,9.233171,6.50953,8.305306,7.993396,10.106155,8.450938,10.043795,9.046203,9.016372,9.925125,9.401492,10.453761,9.274791,10.928512,10.389753,8.431684,8.788731,8.642015,"EFS_G5"
"121","PALGFF",8.313071,6.608906,7.778743,6.534972,8.122127,8.406298,7.174155,7.571079,7.864001,9.569188,7.836783,9.201153,8.539493,8.513245,9.830935,8.750648,10.219055,9.362938,9.901257,9.616395,7.707322,7.814148,8.517592,"EFS_L5"
