"","Row.names","ABCF1","ASF1B","ASS1","CDCA7","CHAF1B","DDX21","DNMT1","DUT","EMB","FEN1","GRWD1","HELLS","HMGA1","HMGB2","IFI16","IFRD2","LY6H","MCM3","MCM5","MCM6","MSH6","NAP1L4","POLA2","POLD1","PRPS1","RAD51","RNASE2","RRM2","SERPINA3","SMC2","SNX5","VCAN","EFS_fct"
"68","PADXBB",7.048884,7.035357,7.240389,5.98902,5.519563,6.995936,7.602081,6.914518,5.150222,6.989793,7.465009,5.791031,8.524458,8.626051,6.759273,6.947432,7.16603,6.409901,8.029122,7.268648,6.768789,7.992727,6.103197,7.322703,6.46219,5.395882,4.972281,6.732924,7.734987,6.287472,6.973936,6.772182,"EFS_L5"
"69","PAIDJS",8.16397,6.340427,6.543871,5.939172,5.565419,7.959142,7.755446,6.684195,5.859281,7.299877,7.336994,5.855461,8.200123,7.290936,6.69476,6.938414,6.526595,6.997705,7.439504,6.988657,7.550395,8.353491,6.481924,7.220068,6.950367,5.313382,3.879711,5.818969,5.109405,5.972348,7.514103,7.305839,"EFS_G5"
"70","PAIEIF",8.424346,6.327499,7.987952,6.086685,5.176741,9.123166,7.209522,7.556921,7.27471,7.683465,7.386909,6.206021,8.139364,8.596604,6.53963,6.994544,6.754558,7.532535,7.52401,7.43215,7.516569,8.229766,6.450173,7.065331,8.015523,5.560866,3.652686,6.528186,5.303956,7.032901,7.72759,7.73348,"EFS_L5"
"71","PAILZJ",8.211744,7.148539,7.468906,6.175234,6.149062,8.850804,8.099891,7.019122,5.733939,8.060698,7.621428,6.522984,8.246573,8.947542,7.820293,7.125594,6.86286,7.575728,8.152038,7.972378,7.456739,8.827006,7.55231,7.367673,7.772314,6.136791,4.152373,7.74222,5.727042,7.537054,7.663022,9.213276,"EFS_L5"
"72","PAIMDS",7.929878,5.835264,7.189093,4.659497,5.586408,7.256068,7.748063,7.235762,5.573507,7.235389,7.194333,6.623795,8.024094,7.682426,7.05145,6.610128,6.996157,6.917795,7.64005,6.587762,7.71877,8.916279,6.854541,6.960484,8.027099,5.015458,4.416547,5.583446,7.050505,7.195354,7.749535,8.96383,"EFS_L5"
"73","PAIPGU",8.008082,8.098944,6.433675,7.436415,6.927622,8.039809,8.780794,7.829803,6.1521,9.107407,7.448103,8.382214,8.440506,9.512486,6.51105,7.088632,6.585292,8.4959,9.227543,8.83373,8.276515,8.80316,8.941995,7.733207,8.077214,7.346935,3.74575,9.224964,4.566201,8.168716,7.747401,6.092567,"EFS_L5"
"74","PAIPUD",8.000958,6.066549,6.381097,5.798644,5.877837,7.555558,7.903137,6.928772,5.36911,7.19732,7.14338,7.118623,8.087383,7.991186,6.532254,6.645788,7.09753,7.08666,7.61739,7.311665,7.975409,8.377517,6.732633,7.048522,7.247917,5.375725,3.646843,6.750166,4.616197,7.081084,7.360618,8.684276,"EFS_G5"
"75","PAIRDP",7.854215,6.575034,8.13259,7.39001,6.444098,8.750655,8.17919,7.677694,5.65932,7.783064,7.254941,8.151529,8.838277,9.316973,6.848527,7.2487,6.494053,8.205443,8.782082,8.954167,8.135853,8.512921,7.613821,7.553604,7.349084,6.781545,3.599884,8.116226,4.612209,7.5387,8.027695,8.140184,"EFS_L5"
"76","PAIRIK",7.862659,6.483213,6.351878,6.058803,6.039846,7.112991,7.974385,6.901634,4.835413,7.594772,7.128227,6.885504,8.185756,9.265255,5.513673,6.822866,6.717122,7.20324,7.948501,7.646941,7.417694,8.18554,6.935372,7.392761,6.696059,6.202609,3.95403,7.238796,4.552456,6.762348,7.204052,6.229167,"EFS_G5"
"77","PAIRLN",8.565691,7.295626,6.978548,7.837246,7.051976,8.601364,8.726581,7.645575,5.429635,8.672693,7.544226,8.112197,8.891339,10.097373,6.77908,7.019335,6.906068,8.819249,9.311197,9.107462,7.926596,8.662047,8.516075,7.942386,7.580395,7.380096,3.5882,8.210961,4.640319,7.492329,8.020486,8.323223,"EFS_G5"
